DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;P6290;P6290S1;DPTO;fex_c_2011
1016129;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;6012,24625710537
1016138;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1054,69473306538
1016138;1;2;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1054,69473306538
1016138;1;3;1;50;2;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ; ; ;05;1054,69473306538
1016138;1;4;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1054,69473306538
1016138;1;5;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1054,69473306538
1016138;1;6;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1054,69473306538
1016139;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3882,68242314102
1016139;1;2;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3882,68242314102
1016139;1;3;1;50;2;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3882,68242314102
1016139;1;4;1;50;2;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3882,68242314102
1016139;1;5;1;50;2;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3882,68242314102
1016139;1;6;1;50;2;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3882,68242314102
1016139;1;7;1;50;2;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3882,68242314102
1016139;1;8;1;50;2;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3882,68242314102
1016141;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;937,266300173418
1016141;1;2;1;50;2;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;937,266300173418
1016142;1;1;1;50;2;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1644,54531024812
1016142;1;2;1;50;2;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1644,54531024812
1016142;1;3;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1644,54531024812
1016144;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;8725,13906113947
1016362;1;1;1;50;2;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;05;6150,82757003968
1016362;1;2;1;50;2;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;6150,82757003968
1016362;1;3;1;50;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;6150,82757003968
1016369;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1523,55918762284
1016369;1;2;1;50;2;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ; ; ;05;1523,55918762284
1016370;1;1;1;50;2;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;743,32374774406
1016370;1;2;1;50;2;4;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;05;743,32374774406
1016370;1;3;1;50;2;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;743,32374774406
1016370;1;4;1;50;2;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;05;743,32374774406
1016370;1;5;1;50;2;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;743,32374774406
1016371;1;1;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1200,75593629135
1016371;1;2;1;50;2;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1200,75593629135
1016372;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1102,17018090916
1016372;1;2;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1102,17018090916
1016373;1;1;1;50;2;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;2; ;05;1849,23810183875
1016373;1;2;1;50;2;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;05;1849,23810183875
1016374;1;1;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1909,80181441102
1016374;1;2;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1909,80181441102
1016374;1;3;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1909,80181441102
1016374;1;4;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1909,80181441102
1016374;1;5;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1909,80181441102
1016374;1;6;1;50;2;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;2; ;05;1909,80181441102
1016374;1;7;1;50;2;7;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1909,80181441102
1016374;1;8;1;50;2;8;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1909,80181441102
1016374;1;9;1;50;2;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1909,80181441102
1016376;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;5148,13145133658
1016376;1;2;1;50;2;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ; ; ;05;5148,13145133658
1016377;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;4763,25936086314
1016377;1;2;1;50;2;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;4763,25936086314
1016377;1;3;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;4763,25936086314
1016377;1;4;1;50;2;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;4763,25936086314
1016378;1;1;1;50;2;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;2; ;05;5947,61144291676
1016378;1;2;1;50;2;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;05;5947,61144291676
1016378;1;3;1;50;2;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;5947,61144291676
1016378;1;4;1;50;2;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;5947,61144291676
1016379;1;1;1;50;2;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;7997,6514375521
1016379;1;2;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;7997,6514375521
1016381;1;1;1;50;2;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;5578,67490259518
1016382;1;1;1;50;2;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;8799,02158642045
1016382;1;2;1;50;2;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;8799,02158642045
1016382;1;3;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;8799,02158642045
1016382;1;4;1;50;2;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;8799,02158642045
1016382;1;5;1;50;2;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;8799,02158642045
1016383;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3522,54466549798
1016383;1;2;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3522,54466549798
1016383;1;3;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3522,54466549798
1016383;1;4;1;50;2;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3522,54466549798
1016383;1;5;1;50;2;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3522,54466549798
1016384;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;7132,84790405146
1016384;1;2;1;50;2;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;2; ;05;7132,84790405146
1016402;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3107,73119211415
1016402;1;2;1;50;2;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;3107,73119211415
1016403;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1506,92690868682
1016403;1;2;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1506,92690868682
1016403;1;3;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1506,92690868682
1016403;1;4;1;50;2;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1506,92690868682
1016405;1;1;1;50;2;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;05;1659,61552296538
1016405;1;2;1;50;2;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;05;1659,61552296538
1016405;1;3;1;50;2;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;1659,61552296538
1016406;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1255,34710849923
1016406;1;2;1;50;2;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;05;1255,34710849923
1016406;1;3;1;50;2;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;2; ;05;1255,34710849923
1016406;1;4;1;50;2;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1255,34710849923
1016407;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;671,622812125809
1016407;1;2;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;671,622812125809
1016407;1;3;1;50;2;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;2; ;05;671,622812125809
1016407;1;4;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;671,622812125809
1016407;1;5;1;50;2;5;4; ;2;2;2;1; ; ; ; ; ; ; ;1;2; ;05;671,622812125809
1016407;1;6;1;50;2;6;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;671,622812125809
1016407;1;7;1;50;2;7;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;05;671,622812125809
1016408;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1994,54045315196
