DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;P5070;DPTO;ORDEN;fex_c_2011
1010018;1;2;2;1;1;1;1;4;3; ; ; ; ;150000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;1;2;2;01;05;2;05;1;1175,99796240271
1010019;1;4;2;1;1;1;1;3;4; ; ; ;300000; ;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1149,74876862519
1010020;1;4;3;1;1;1;1;1;3; ; ; ; ;180000;2;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;1;2;2;01;05;1;05;1;908,32684011473
1010021;1;4;2;1;1;1;1;4;1; ; ;22000000;150000; ;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;917,327007194806
1010022;1;3;2;1;1;1;1;1;1; ; ;14000000;180000; ;1;1;2;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;05;1;1194,82421570455
1010023;1;5;2;1;1;1;1;4;4; ; ; ;200000; ;2;2;2;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;05;1;1149,74876862519
1010024;1;3;2;1;1;1;1;1;1; ; ;35000000;250000; ;1;1;2;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;05;1;1128,53123806181
1010026;1;5;3;1;1;1;1;3;1; ; ;55000000;350000; ;1;1;1;1;1;1;2;2;1;1;1;1;2;1;2;2;2;1;2;1;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;908,412831763243
1010027;1;4;2;1;1;1;1;3;3; ; ; ; ;280000;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1;1;2;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1083,45579098246
1010028;1;3;2;1;1;1;1;1;3; ; ; ; ;130000;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;894,168948230467
1010029;1;3;2;1;1;1;1;1;3; ; ; ; ;280000;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;917,327007194806
1010030;1;3;2;1;1;1;1;1;1; ; ;10000000;120000; ;1;1;2;2;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;1056,17463048996
