DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5443741;1;3;1;70; ;1;120;48;1; ;2;120;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;96;57;57;1;2;05;9602;68;3289,51893455893
5443742;1;2;1;70; ;1;8;48;1; ;2;24;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;33;21;1;1;05;4769;68;1979,43120716581
5443766;1;1;1;70; ;1;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;420000;908500;2; ;41;95;95;1;1;05;4111;68;3916,7158770989
5443766;1;2;1;70; ;1;52;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908500;2; ;06;39;39;1;2;05;0610;68;3916,7158770989
5443767;1;2;1;70; ;1;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;32;03;03;1;2;05;3210;68;2628,99099577716
5443785;1;1;1;70; ;1;52;48;1; ;2;104;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;95;32;33;1;2;05;9522;68;1979,43120716581
5443785;1;2;1;70; ;1;4;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;45;40;1;1;05;4711;68;1979,43120716581
5443785;1;3;1;70; ;1;2;50;1; ;2;16;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;1;05;5619;68;1979,43120716581
5443785;1;4;1;70; ;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;19; ;1;1;05;.;68;1979,43120716581
5443787;1;3;1;70; ;1;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;1700000;2; ;86;59;59;1;1;05;8610;68;3998,52286397241
5443788;1;1;1;70; ;1;72;48;1; ;2;72;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;06;84;84;1;2;05;0610;68;3066,04903891042
5443791;1;3;1;70; ;1;16;50;1; ;2;96;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;45;45;1;2;05;4771;76;3635,41629255059
5443839;1;1;1;70; ;1;48;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1200000; ; ; ;33; ;1;2;05;.;76;4129,81326885763
5443869;1;1;1;70; ;1;2;48;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;850000;908000;2; ;56;53;53;1;1;05;5611;50;1357,48062238537
5443873;1;2;1;70; ;1;2;48;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;908000;2; ;25;83;83;1;1;05;2511;50;1325,20678514522
5443875;1;1;1;70; ;1;4;60;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;1500000;2; ;49;98;98;1;1;05;4921;50;1073,81407706636
5443876;1;2;1;70; ;1;26;48;1; ;2;28;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;42;44;70;1;2;05;4290;50;967,346416343114
5443878;1;1;1;70; ;1;2;48;1; ;2;2;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;350000;900000;2; ;01;95;62;1;1;05;0113;50;1113,49400200784
5443880;1;3;1;70; ;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ; ;03; ;1;2;05;.;50;849,743959722628
5443886;1;1;1;70; ;1;16;48;1; ;2;17;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;86;39;39;1;2;05;8610;50;449,49734648785
5443889;1;1;1;70; ;1;4;50;8; ;2;2;8; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;900000;2; ;01;62;62;1;1;05;0113;50;1204,71700574255
5443892;1;1;1;70; ;1;52;48;1; ;2;156;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;56;53;53;1;2;05;5611;50;494,794409399404
5443895;1;1;1;70; ;1;4;50;1; ;2;4;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;1;700000;1200000;2; ;49;98;98;1;1;05;4923;50;1632,21625103766
5443910;1;2;1;70; ;1;4;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;41;95;95;1;1;05;4111;50;1181,84572537526
5443912;1;2;1;70; ;1;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1000000;908000;2; ;49;98;98;1;1;05;4923;50;1317,75694206318
5443913;1;1;1;70; ;1;2;48;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;908000;2; ;41;95;95;1;1;05;4111;50;1148,09737735964
5443918;1;3;1;70; ;1;40;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ; ;45; ;1;2;05;.;50;774,173506303759
5443921;1;2;1;70; ;1;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;850000;900000;2; ;41;95;95;1;1;05;4111;50;967,346416343114
5443926;1;1;1;70; ;1;6;52;1; ;2;6;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;56;53;53;1;1;05;5630;50;610,959547815917
5443932;1;2;1;70; ;1;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;33; ;1;2;05;.;50;771,386980408994
