DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;CLASE;MES;DPTO;fex_c_2011
5443741;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3289,51893455893
5443741;1;2;1;90;2; ;1;35;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3289,51893455893
5443741;1;3;1;90;2; ;1;21;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3289,51893455893
5443741;1;4;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3289,51893455893
5443742;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;1979,43120716581
5443742;1;2;1;90;2; ;1;6;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;1979,43120716581
5443742;1;4;1;90;2; ;1;1;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;1979,43120716581
5443743;1;1;1;90;2; ;1;6;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2661,79753401439
5443743;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2661,79753401439
5443743;1;4;1;90;2; ;1;24;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2661,79753401439
5443744;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2263,75472441297
5443745;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;1979,43120716581
5443745;1;2;1;90;2; ;1;30;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;1979,43120716581
5443746;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;1;4;2; ;1;2; ;1;05;68;4903,44335464469
5443750;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3208,33566472605
5443750;1;2;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3208,33566472605
5443751;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3305,38107055151
5443751;1;2;1;90;2; ;1;21;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3305,38107055151
5443762;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;4728,70665744085
5443765;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2665,46935479905
5443765;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2665,46935479905
5443765;1;3;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2665,46935479905
5443766;1;1;1;90;2; ;1;14;2; ;2; ;1;14;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3916,7158770989
5443766;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3916,7158770989
5443766;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3916,7158770989
5443767;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2628,99099577716
5443767;1;2;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2628,99099577716
5443767;1;3;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;2628,99099577716
5443768;1;1;1;90;2; ;1;28;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3305,38107055151
5443768;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3305,38107055151
5443769;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3066,04903891042
5443769;1;2;1;90;2; ;1;35;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3066,04903891042
5443769;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;3; ;1;05;68;3066,04903891042
5443769;1;4;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;3066,04903891042
5443772;1;1;1;90;2; ;1;7;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;1;05;68;4107,83916829988
5443772;1;2;1;90;2; ;1;14;2; ;1;14;2; ;2; ;2; ;2; ;1;4;2; ; ;1;05;68;4107,83916829988
