DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,fex_c_2011
990931,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,115.424.841.485.577
990932,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,609.528.738.800.996
990932,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,609.528.738.800.996
990932,2,2,2,80,2,2,,,,2,,2,,2,,.,,,1,5,609.528.738.800.996
990949,1,2,1,80,2,1,3,2,,2,,2,,,,,9,2,1,5,904.509.945.525.365
990949,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,5,904.509.945.525.365
990954,1,1,1,80,2,1,4,3,,2,,2,,,,,4,2,1,5,113.638.127.524.259
990957,1,1,1,80,2,1,1,3,,2,,1,180000,,,,4,2,1,5,141.031.926.263.479
990959,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,141.665.164.108.341
990961,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,191.415.901.749.273
990961,1,6,1,80,2,1,4,2,,2,,2,,,,,9,2,1,5,191.415.901.749.273
990963,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,53.652.979.229.921
990964,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,624.016.421.632.126
990966,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,110.179.505.903.072
990982,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,190.350.395.810.008
990985,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,159.074.325.386.284
990985,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,159.074.325.386.284
990988,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,105.709.560.762.081
990989,1,2,1,80,2,1,2,2,,2,,2,,,,,9,2,1,5,206.451.787.645.959
990991,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,83.939.183.280.308
990991,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,83.939.183.280.308
990994,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,407.973.931.734.752
990995,1,2,1,80,2,1,1,2,,2,,2,,,,,9,2,1,5,831.749.136.212.903
990995,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,831.749.136.212.903
991014,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,255.910.165.367.615
991014,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,255.910.165.367.615
991016,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,261.747.685.338.268
991017,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,377.360.543.097.275
991019,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,240.827.504.048.611
991020,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,173.962.696.151.227
991020,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,173.962.696.151.227
991020,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,173.962.696.151.227
991020,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,173.962.696.151.227
991020,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,5,173.962.696.151.227
991020,1,7,1,80,2,2,,,,2,,2,,2,,.,,,1,5,173.962.696.151.227
991020,1,8,1,80,2,2,,,,2,,2,,2,,.,,,1,5,173.962.696.151.227
991022,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,227.494.275.530.085
991025,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,377.360.543.097.275
991025,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,377.360.543.097.275
991030,1,2,1,80,2,2,,,,2,,2,,1,2,,9,,1,5,322.552.696.329.766
991030,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,322.552.696.329.766
991031,1,2,1,80,2,1,1,2,,2,,2,,,,,9,2,1,5,23.929.166.563.942
991037,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,514.007.076.583.672
991041,1,1,1,80,2,2,,,,2,,2,,2,,.,,,1,5,146.567.377.343.734
991042,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,240.445.582.860.042
991042,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,240.445.582.860.042
991044,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,217.813.082.708.997
991044,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,217.813.082.708.997
991046,1,2,1,80,2,1,1,7,,2,,2,,,,,9,2,1,5,513.121.586.113.886
991047,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,5,376.206.625.876.653
991048,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,363.377.668.714.725
991048,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,363.377.668.714.725
991048,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,363.377.668.714.725
991048,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,363.377.668.714.725
991049,1,1,1,80,2,1,4,3,,2,,2,,,,,4,2,1,5,242.484.325.558.632
991050,1,1,1,80,2,1,3,3,,2,,2,,,,,4,2,1,5,235.110.967.178.788
991050,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,235.110.967.178.788
991053,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,258.149.246.374.444
991058,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,5,456.900.784.655.769
991058,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,456.900.784.655.769
991061,1,1,1,80,2,2,,,,2,,2,,2,,.,,,1,5,258.555.025.419.056
991061,1,2,1,80,2,1,4,5,,2,,2,,,,,9,2,1,5,258.555.025.419.056
991064,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,350.669.694.653.627
991064,1,3,1,80,2,1,1,7,,2,,1,32000,,1,,2,1,1,5,350.669.694.653.627
991064,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,350.669.694.653.627
991064,1,5,1,80,2,1,4,2,,2,,2,,,,,9,2,1,5,350.669.694.653.627
991064,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,5,350.669.694.653.627
991064,1,7,1,80,2,2,,,,2,,2,,2,,.,,,1,5,350.669.694.653.627
991074,1,1,1,80,2,1,3,3,,2,,2,,,,,4,2,1,5,682.570.350.756.858
991074,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,682.570.350.756.858
991074,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,682.570.350.756.858
991078,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,143.639.887.852.467
991085,1,2,1,80,2,1,1,7,,2,,1,30000,,,,1,2,1,5,233.454.145.668.767
991085,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,233.454.145.668.767
991085,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,233.454.145.668.767
991093,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,642.341.478.206.716
991094,1,1,1,80,2,2,,,,2,,2,,2,,.,,,1,5,136.852.096.620.238
991096,1,2,1,80,2,1,2,2,,2,,2,,,1,CAMBIO DE MUNICIPIO,12,1,1,5,877.758.905.764.374
991097,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,116.879.034.160.327
991097,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,116.879.034.160.327
991099,1,1,1,80,2,2,,,,2,,2,,2,,.,,,1,5,23.929.166.563.942
991101,1,1,1,80,2,1,3,5,,2,,2,,,,,1,2,1,5,256.995.329.153.822
991102,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,220.746.171.607.669
991102,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,220.746.171.607.669
991102,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,5,220.746.171.607.669
991105,1,2,1,80,2,1,2,2,,2,,2,,,,,9,2,1,5,241.599.500.080.664
991105,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,241.599.500.080.664
991105,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,241.599.500.080.664
991107,1,1,1,80,2,1,4,8,EDAD,2,,2,,,,,8,2,1,5,281.011.045.117.904
991107,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,281.011.045.117.904
991107,1,3,1,80,2,1,4,3,,2,,2,,,,,4,2,1,5,281.011.045.117.904
991108,1,1,1,80,2,1,4,3,,2,,2,,,,,4,2,1,5,261.747.685.338.268
991109,1,2,1,80,2,1,1,7,,2,,1,100000,,,,9,2,1,5,240.445.582.860.042
991112,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,245.320.289.212.516
991112,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,245.320.289.212.516
991113,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,201.156.448.884.274
991115,1,1,1,80,2,1,1,3,,2,,2,,,,,4,2,1,5,235.110.967.178.788
991115,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,235.110.967.178.788
991122,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,102.782.071.270.813
991122,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,102.782.071.270.813
991124,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,226.462.708.477.492
991124,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,226.462.708.477.492
991124,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,226.462.708.477.492
991127,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,199.184.559.002.346
991127,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,199.184.559.002.346
991127,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,199.184.559.002.346
991127,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,5,199.184.559.002.346
991130,1,2,1,80,2,1,3,2,,2,,2,,,,,9,2,1,5,29.686.451.554.798
991132,1,1,1,80,2,2,,,,2,,2,,2,,.,,,1,5,262.398.698.269.491
991132,1,2,1,80,2,1,2,5,,2,,2,,,2,NO TIENE DOCUMENTOS,12,1,1,5,262.398.698.269.491
991134,1,1,1,80,2,1,3,8,EDAD,2,,2,,,,,8,2,1,5,284.785.964.533.925
991135,1,2,1,80,2,1,1,7,,2,,1,100000,,,,9,2,1,5,233.454.145.668.767
991135,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,233.454.145.668.767
991135,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,233.454.145.668.767
991137,1,1,1,80,2,1,4,2,,2,,2,,,,,9,2,1,5,285.939.881.754.547
991138,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,23.994.077.795.289
991140,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,336.535.570.712.316
991143,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,467.994.932.167.466
991143,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,5,467.994.932.167.466
991148,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,5,329.544.133.521.041
991148,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,329.544.133.521.041
991149,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,177.316.373.885.549
991149,1,7,1,80,2,2,,,,2,,2,,2,,.,,,1,5,177.316.373.885.549
991149,1,8,1,80,2,2,,,,2,,2,,2,,.,,,1,5,177.316.373.885.549
991149,1,9,1,80,2,2,,,,2,,2,,2,,.,,,1,5,177.316.373.885.549
991151,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,377.360.543.097.275
991159,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,5,627.094.180.113.869
991159,1,3,1,80,2,2,,,,2,,2,,1,2,,8,,1,5,627.094.180.113.869
991160,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,5,114.383.079.879.393
991160,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,114.383.079.879.393
991162,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,149.908.847.294.365
991164,1,1,1,80,2,1,4,3,,2,,2,,,,,4,2,1,5,187.684.117.717.457
991164,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,187.684.117.717.457
991166,1,1,1,80,2,1,4,3,,2,,2,,,,,9,2,1,5,124.018.434.699.372
991168,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,129.864.748.132.751
991168,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,129.864.748.132.751
991168,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,129.864.748.132.751
991180,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,5,123.345.476.026.463
991180,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,123.345.476.026.463
991180,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,5,123.345.476.026.463
991180,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,123.345.476.026.463
991180,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,5,123.345.476.026.463
991209,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,5,855.206.491.311.914
991209,1,8,1,80,2,2,,,,2,,2,,2,,.,,,1,5,855.206.491.311.914
991210,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,5,129.765.595.401.065
991808,1,2,1,80,2,1,2,2,,2,,2,,,,,9,2,1,8,38.170.766.797.617
991809,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,635.284.314.838.652
991810,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,8,50.521.812.492.043
991810,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,8,50.521.812.492.043
991812,1,2,1,80,2,1,4,5,,2,,2,,,,,9,2,1,8,411.806.043.611.904
991812,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,411.806.043.611.904
991905,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,653.937.037.414.703
991905,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,653.937.037.414.703
