DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S2,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S2A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,AREA,FT,DPTO,fex_c_2011
973701,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,6,,,,,,,,,5,987.579.171.355.339,5,988.924.105.061.753
973701,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,12,,,,,,,,,5,987.579.171.355.339,5,988.924.105.061.753
973701,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,16,,,,,,,,,5,987.579.171.355.339,5,988.924.105.061.753
973703,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,24,,,,,,,,,5,839.406.949.603.384,5,839.461.633.689.915
973703,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,839.406.949.603.384,5,839.461.633.689.915
973704,1,1,1,90,,2,,1,2,2,2,2,2,2,2,1,,,21,,,,,,,,20,5,706.342.177.609.861,5,704.727.217.440.268
973704,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,5,,,,,,,,,5,706.342.177.609.861,5,704.727.217.440.268
973704,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,706.342.177.609.861,5,704.727.217.440.268
973706,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,93.600.525.004.876,5,93.449.755.746.406
973707,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,112.971.366.106.279,5,113.081.272.070.167
973707,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,5,,20,,,,,,,5,112.971.366.106.279,5,113.081.272.070.167
973707,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,112.971.366.106.279,5,113.081.272.070.167
973710,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,77.733.041.867.015,5,775.546.613.245.756
973710,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,28,,14,,,,,,,5,77.733.041.867.015,5,775.546.613.245.756
973710,1,3,1,90,,2,,1,2,1,2,2,2,2,2,2,,,15,,18,,,,,,,5,77.733.041.867.015,5,775.546.613.245.756
973712,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,2,,,,,,,,,5,999.243.366.226.014,5,100.021.051.640.861
973712,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,999.243.366.226.014,5,100.021.051.640.861
973712,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,999.243.366.226.014,5,100.021.051.640.861
973712,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,999.243.366.226.014,5,100.021.051.640.861
973714,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,5,94.167.303.553.537,5,936.155.368.370.691
973714,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,94.167.303.553.537,5,936.155.368.370.691
973714,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,94.167.303.553.537,5,936.155.368.370.691
973714,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,94.167.303.553.537,5,936.155.368.370.691
973716,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,116.716.966.828.694,5,116.782.150.722.544
973716,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,116.716.966.828.694,5,116.782.150.722.544
973717,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,111.290.656.086.988,5,11.138.437.868.492
973720,1,1,1,90,,2,,1,2,2,1,2,2,2,2,2,,,24,,,50,,,,,,5,864.484.490.955.738,5,863.718.679.124.425
973721,1,1,1,90,,2,,1,2,2,2,2,2,2,2,1,,,14,,,,,,,,28,5,708.647.138.959.116,5,706.738.751.537.556
973721,1,2,1,90,,2,,1,2,2,2,2,2,2,2,1,,,24,,,,,,,,28,5,708.647.138.959.116,5,706.738.751.537.556
973722,1,1,1,90,,2,,1,2,2,2,1,2,2,2,2,,,35,,,,30,,,,,5,864.484.490.955.738,5,863.718.679.124.425
973723,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,115.664.695.614.869,5,115.566.407.162.155
973723,1,2,1,90,,2,,1,2,2,2,2,2,2,2,1,,,7,,,,,,,,3,5,115.664.695.614.869,5,115.566.407.162.155
973725,1,1,1,90,,2,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,15,5,813.632.462.075.989,5,812.911.697.999.459
973727,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,873.828.770.410.944,5,87.232.987.882.663
973727,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,873.828.770.410.944,5,87.232.987.882.663
973727,1,3,1,90,,2,,2,2,1,2,2,2,2,2,2,,,,,10,,,,,,,5,873.828.770.410.944,5,87.232.987.882.663
973727,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,873.828.770.410.944,5,87.232.987.882.663
973728,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,4,,,,,,,,,5,120.032.076.487.921,5,120.148.851.574.552
973728,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,15,,10,,,,,,,5,120.032.076.487.921,5,120.148.851.574.552
973728,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,15,,,,,,,,,5,120.032.076.487.921,5,120.148.851.574.552
973729,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,35,,25,,,,,,,5,63.250.216.043.019,5,630.226.087.739.572
973729,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,15,,10,,,,,,,5,63.250.216.043.019,5,630.226.087.739.572
973729,1,4,1,90,,2,,1,2,1,2,2,2,2,2,2,,,15,,10,,,,,,,5,63.250.216.043.019,5,630.226.087.739.572
973733,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,20,,28,,,,,,,8,467.596.975.657.364,8,467.573.262.553.886
973733,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,20,,24,,,,,,,8,467.596.975.657.364,8,467.573.262.553.886
973733,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,467.596.975.657.364,8,467.573.262.553.886
973733,1,5,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,467.596.975.657.364,8,467.573.262.553.886
973733,1,6,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,467.596.975.657.364,8,467.573.262.553.886
973735,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,40,,,,,,,,,8,550.439.444.048.049,8,550.397.686.972.449
973735,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,16,,,,,,,,,8,550.439.444.048.049,8,550.397.686.972.449
973735,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,12,,,,,,,,,8,550.439.444.048.049,8,550.397.686.972.449
973735,1,4,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,8,550.439.444.048.049,8,550.397.686.972.449
973736,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,8,524.606.094.798.693,8,523.248.207.547.155
973736,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,32,,,,,,,,,8,524.606.094.798.693,8,523.248.207.547.155
973738,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,36,,24,,,,,,,8,494.067.924.068.385,8,495.404.113.183.621
973739,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,40,,24,,,,,,,8,529.633.513.940.191,8,530.240.052.739.534
973739,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,529.633.513.940.191,8,530.240.052.739.534
973739,1,3,1,90,,2,,1,2,1,2,2,2,2,2,2,,,20,,60,,,,,,,8,529.633.513.940.191,8,530.240.052.739.534
973739,1,4,1,90,,2,,1,2,1,2,2,2,2,2,2,,,14,,14,,,,,,,8,529.633.513.940.191,8,530.240.052.739.534
973740,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,12,,20,,,,,,,8,625.257.084.350.683,8,625.779.170.200.714
973740,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,40,,60,,,,,,,8,625.257.084.350.683,8,625.779.170.200.714
973740,1,6,1,90,,2,,1,2,1,2,2,2,2,2,2,,,28,,32,,,,,,,8,625.257.084.350.683,8,625.779.170.200.714
973741,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,14,,20,,,,,,,8,624.285.416.208.498,8,624.351.377.834.146
973741,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,40,,40,,,,,,,8,624.285.416.208.498,8,624.351.377.834.146
973741,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,624.285.416.208.498,8,624.351.377.834.146
973741,1,6,1,90,,2,,1,2,1,2,2,2,2,2,2,,,24,,60,,,,,,,8,624.285.416.208.498,8,624.351.377.834.146
973742,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,10,,20,,,,,,,8,597.953.423.771.798,8,597.338.753.912.344
973742,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,40,,50,,,,,,,8,597.953.423.771.798,8,597.338.753.912.344
973743,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,621.936.162.840.725,8,619.407.820.443.342
973743,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,24,,,,,,,,,8,621.936.162.840.725,8,619.407.820.443.342
973743,1,3,1,90,,2,,1,2,1,2,2,2,2,2,2,,,24,,28,,,,,,,8,621.936.162.840.725,8,619.407.820.443.342
973743,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,621.936.162.840.725,8,619.407.820.443.342
973743,1,7,1,90,,2,,2,2,1,2,2,2,2,2,2,,,,,28,,,,,,,8,621.936.162.840.725,8,619.407.820.443.342
973743,1,8,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,621.936.162.840.725,8,619.407.820.443.342
973743,1,10,1,90,,2,,1,2,1,2,2,2,2,2,2,,,21,,35,,,,,,,8,621.936.162.840.725,8,619.407.820.443.342
973743,1,11,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,621.936.162.840.725,8,619.407.820.443.342
973744,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,352.840.075.198.843,8,353.797.128.028.376
973744,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,352.840.075.198.843,8,353.797.128.028.376
973744,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,8,352.840.075.198.843,8,353.797.128.028.376
973744,1,4,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,8,352.840.075.198.843,8,353.797.128.028.376
973744,1,6,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,352.840.075.198.843,8,353.797.128.028.376
973746,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,482.288.064.518.422,8,483.797.765.611.197
973746,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,8,482.288.064.518.422,8,483.797.765.611.197
973746,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,482.288.064.518.422,8,483.797.765.611.197
973746,1,4,1,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,8,482.288.064.518.422,8,483.797.765.611.197
973747,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,8,44.819.758.758.978,8,450.657.528.378.759
973747,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,8,44.819.758.758.978,8,450.657.528.378.759
973748,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,553.521.274.793.303,8,554.165.867.419.113
973748,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,21,,40,,,,,,,8,553.521.274.793.303,8,554.165.867.419.113
973749,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,577.270.079.672.093,8,577.273.455.390.758
973749,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,8,577.270.079.672.093,8,577.273.455.390.758
973749,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,577.270.079.672.093,8,577.273.455.390.758
973749,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,577.270.079.672.093,8,577.273.455.390.758
973749,1,5,1,90,,2,,1,2,2,2,2,2,2,2,2,,,24,,,,,,,,,8,577.270.079.672.093,8,577.273.455.390.758
973749,1,6,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,577.270.079.672.093,8,577.273.455.390.758
973750,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,8,524.606.094.798.693,8,523.248.207.547.155
973750,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,24,,,,,,,,,8,524.606.094.798.693,8,523.248.207.547.155
973751,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,32,,,,,,,,,8,406.066.431.677.275,8,405.211.067.772.965
