DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,CLASE,P5070,DPTO,ORDEN,fex_c_2011
990931,1,3,2,1,1,1,1,4,3,,,,,300000,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,5,1,115.424.841.485.577
990932,1,4,2,2,2,4,1,5,1,,,12000000,90000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,5,1,609.528.738.800.996
990932,2,1,1,2,2,4,1,5,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,2,,5,1,609.528.738.800.996
990935,1,3,2,2,1,4,2,4,4,,,,50000,,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,3,,,1,2,1,5,1,650.920.659.353.809
990949,1,2,2,1,1,1,1,1,3,,,,,110000,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,5,1,904.509.945.525.365
990954,1,3,2,1,1,1,1,1,1,,,12000000,150000,,1,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,5,1,113.638.127.524.259
990957,1,2,2,1,1,1,1,4,1,,,15000000,150000,,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,2,1,5,1,141.031.926.263.479
990958,1,3,2,1,1,1,1,1,1,,,6000000,100000,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,5,1,141.665.164.108.341
990959,1,3,2,1,1,1,1,1,1,,,8000000,90000,,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,2,1,5,1,141.665.164.108.341
990961,1,3,2,1,1,1,1,4,3,,,,,140000,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,5,1,191.415.901.749.273
990963,1,3,1,2,1,4,1,5,4,,,,60000,,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,5,1,53.652.979.229.921
990964,1,4,2,2,1,4,1,4,4,,,,200000,,1,2,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,3,4,1,2,2,2,1,1,,1,1,2,1,5,1,624.016.421.632.126
990966,1,3,2,1,1,1,1,4,1,,,22000000,130000,,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,2,1,5,1,110.179.505.903.072
990967,1,1,1,6,,4,2,,4,,,,15000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,,,1,2,6,5,1,660.989.224.102.577
990969,1,1,1,2,1,4,2,,4,,,,15000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,,,1,2,6,5,1,660.989.224.102.577
990982,1,3,2,1,1,1,1,1,1,,,20000000,200000,,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,2,1,5,1,190.350.395.810.008
990985,1,2,2,1,1,1,1,1,1,,,20000000,120000,,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,5,1,159.074.325.386.284
990988,1,1,1,1,1,1,1,4,3,,,,,70000,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,5,1,105.709.560.762.081
990989,1,1,1,1,1,1,1,1,1,,,3000000,80000,,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,5,1,206.451.787.645.959
990991,1,4,3,1,1,1,1,4,1,,,30000000,180000,,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,5,1,83.939.183.280.308
990994,1,4,3,2,1,4,2,4,4,,,,100000,,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,1,,,1,2,1,5,1,407.973.931.734.752
990995,1,3,3,2,1,4,2,5,4,,,,50000,,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,5,1,831.749.136.212.903
990997,1,2,1,2,1,4,2,5,4,,,,50000,,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,,,1,2,1,5,1,642.341.478.206.716
991010,1,1,1,1,1,1,2,4,3,,,,,120000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,2,1,2,1,5,1,131.316.645.539.983
991011,1,3,1,1,1,1,2,4,1,,,45000000,150000,,1,1,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,3,1,2,1,1,2,2,2,,1,2,1,5,1,143.639.887.852.467
991012,1,2,1,2,1,4,2,4,4,,,,80000,,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,2,2,2,3,,,1,2,1,5,1,199.620.610.475.083
991014,1,4,3,3,1,4,2,4,4,,,,150000,,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,2,2,,,1,2,1,5,1,255.910.165.367.615
991016,1,3,2,2,1,5,2,4,2,,500000,1000000,400000,,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,1,3,,1,1,2,1,5,1,261.747.685.338.268
991017,1,2,2,2,1,4,2,5,1,,,5000000,400000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,5,1,377.360.543.097.275
991019,1,3,1,6,,4,2,5,4,,,,150000,,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,2,1,,,1,2,1,5,1,240.827.504.048.611
991020,1,4,3,2,1,4,2,5,1,,,20000000,70000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,2,1,,,1,2,1,5,1,173.962.696.151.227
991022,1,2,2,6,,4,2,5,1,,,7000000,200000,,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,,,1,2,1,5,1,227.494.275.530.085
991025,1,3,3,2,1,4,1,4,1,,,2000000,50000,,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,,1,1,2,1,5,1,377.360.543.097.275
991029,1,3,1,2,1,4,1,4,1,,,1500000,100000,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,1,2,,2,1,2,1,5,1,199.620.610.475.083
991030,1,2,2,2,1,4,1,5,1,,,1000000,250000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,1,2,,1,1,2,1,5,1,322.552.696.329.766
991031,1,3,1,2,1,4,1,5,4,,,,20000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,3,2,1,2,2,2,1,2,,1,1,2,1,5,1,23.929.166.563.942
991037,1,3,3,3,1,3,2,5,1,,,3000000,40000,,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,,,1,2,1,5,1,514.007.076.583.672
991039,1,6,1,1,1,4,2,4,1,,,30000000,40000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,2,1,2,,2,1,2,1,5,1,646.760.596.289.078
991041,1,3,1,1,1,1,2,1,1,,,40000000,100000,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,1,2,2,1,1,2,1,5,1,146.567.377.343.734
991042,1,3,2,3,1,4,2,4,1,,,15000000,100000,,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,4,1,2,2,2,2,2,,,1,2,1,5,1,240.445.582.860.042
991044,1,2,2,2,1,4,2,5,1,,,15000000,80000,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,2,,,1,2,1,5,1,217.813.082.708.997
991046,1,6,2,2,1,4,2,4,4,,,,100000,,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,1,2,,2,1,2,1,5,1,513.121.586.113.886
991047,1,2,1,6,,4,2,5,1,,,15000000,100000,,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,2,,,1,2,1,5,1,376.206.625.876.653
991048,1,5,4,2,1,4,2,5,1,,,12000000,100000,,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,4,1,2,2,2,2,1,,,1,2,1,5,1,363.377.668.714.725
991049,1,3,1,2,1,4,1,4,1,,,15000000,80000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,1,2,,1,1,2,1,5,1,242.484.325.558.632
