DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4116584;1;2;1;80;05;1;3;3; ;2; ; ;9; ;1;4;2; ;1;08;05;1146,75945888007
4116585;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1127,1294312855
4116586;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1131,86284877179
4116587;1;1;1;80;05;1;2;4; ;2; ; ;4; ;1;2;2; ;1;08;05;1096,40612220317
4116587;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;1096,40612220317
4116588;1;2;1;80;05;1;1;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1067,8793096311
4116588;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;1067,8793096311
4116590;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1150,90584156462
4116591;1;2;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;08;05;1126,85479445911
4116592;1;1;1;80;05;1;4;4; ;2; ; ;4; ;3; ;2; ;1;08;05;1093,97867943212
4116592;1;2;1;80;05;1;4;3; ;2; ; ;8; ;2; ;2; ;1;08;05;1093,97867943212
4116593;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ;1;08;05;1088,13548498533
4116594;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1118,86486667174
4116594;1;3;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;08;05;1118,86486667174
4116595;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;967,07826439199
4116595;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;967,07826439199
4116596;1;2;1;80;05;2; ; ; ; ;1;4;9; ;2; ;2; ;1;08;05;1106,14152139807
4116599;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1067,8793096311
4116599;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;1067,8793096311
4116601;1;1;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ;1;08;05;854,389526985105
4116601;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;854,389526985105
4116601;1;9;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;854,389526985105
4116603;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;708,340694473645
4116603;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;708,340694473645
4116603;1;6;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;708,340694473645
4116604;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1172,75542308018
4116604;1;3;1;80;05;1;1;3; ;2; ; ;9; ;2; ;1;700000;1;08;05;1172,75542308018
4116606;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;713,121681787086
4116606;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;713,121681787086
4116607;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;909,491246877348
4116607;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;909,491246877348
4116608;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1385,03347756591
4116609;1;1;1;80;05;1;1;7; ;2; ; ;12;DESEA UN TRABAJO INDEPENDIENTE;2; ;2; ;1;08;05;1108,29432734273
4116611;1;2;1;80;05;1;3;9;DICE QUE NO LE CONVIENE DECIR;2; ; ;4; ;2; ;2; ;1;08;05;1118,86486667174
4116613;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;08;05;1023,39569889502
4116613;1;2;1;80;05;1;1;6; ;2; ; ;11; ;2; ;2; ;1;08;05;1023,39569889502
4116616;1;1;1;80;05;1;3;4; ;2; ; ;4; ;2; ;2; ;1;08;05;1093,97867943212
4116616;1;2;1;80;05;1;4;4; ;2; ; ;9; ;2; ;2; ;1;08;05;1093,97867943212
4116617;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;1338,15559283333
4116619;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;726,119663887142
4116620;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;712,840972356623
4116621;1;2;1;80;05;2; ; ; ; ;1;4;9; ;2; ;2; ;1;08;05;1285,26938870689
4116622;1;3;1;80;05;1;2;2; ;2; ; ;2; ;2; ;2; ;1;08;05;922,214592151012
4116624;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;960,960433118812
4116627;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1150,90584156462
4116627;1;4;1;80;05;1;4;7; ;2; ; ;9; ;1;2;2; ;1;08;05;1150,90584156462
4116628;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;942,367361904336
4116628;1;3;1;80;05;1;2;8; ;2; ; ;11; ;2; ;2; ;1;08;05;942,367361904336
4116629;1;2;1;80;05;1;1;8; ;2; ; ;12;SOLO TRABAJA EN TEMPORADA DE DICIEMBRE;2; ;2; ;1;08;05;1226,92612424262
4116629;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;1226,92612424262
