DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4116591;1;4;1;70;1;6;48;1; ;2;16;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;44;44;65;1;1;6512;08;05;1126,85479445911;05
4116600;1;1;1;70;1;4;48;4; ;2;4;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;150000;54;54;95;1;1;9500;08;05;1068,74098125923;05
4116602;1;2;1;70;1;1;48;1; ;2;1;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;840000;39;38;74;1;1;7499;08;05;1146,75945888007;05
4116606;1;1;1;70;1;16;48;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;32;52;1;2;5272;08;05;713,121681787086;05
4116606;1;2;1;70;1;4;48;1; ;2;4;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;85;85;45;1;1;4542;08;05;713,121681787086;05
4116609;1;3;1;70;1;2;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;38;74;1;1;7499;08;05;1108,29432734273;05
4116612;2;2;2;70;1;24;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;38;64;1;2;6421;08;05;901,684695523608;05
4116613;1;3;1;70;1;8;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5211;08;05;1023,39569889502;05
4116615;1;2;1;70;1;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;08;05;947,375416217021;05
4116615;1;4;1;70;1;3;72;1; ;2;3;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;1;50000;97;97;70;1;1;7010;08;05;947,375416217021;05
4116620;1;1;1;70;1;3;16;1; ;2;24;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;38;53;55;1;1;5529;08;05;712,840972356623;05
4116633;1;1;1;70;1;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;56;50;55;1;2;5522;08;05;1029,99514029143;05
4116639;1;3;1;70;1;20;48;1; ;2;48;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;97;15;1;2;1589;08;05;1076,25335244984;05
4116640;1;2;1;70;1;16;48;1; ;2;16;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;2;5521;08;05;1438,77694997774;05
4116640;1;5;1;70;1;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;03;03;15;1;1;1589;08;05;1438,77694997774;05
4116652;1;1;1;70;1;20;60;1; ;2;20;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;60;62;92;1;2;9249;08;05;929,369379804281;05
4116658;1;3;1;70;1;8;48;2; ;2;96;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;02;21;74;1;1;7493;08;05;1196,35654860734;05
4116662;1;3;1;70;1;4;48;1; ;2;12;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;74;1;1;7430;08;05;1209,35453070739;05
4116667;1;2;1;70;1;104;24;1; ;2;104;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;55;1;2;5521;08;05;1119,90182305183;05
4116690;1;1;1;70;1;4;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;99;90;1;1;9000;08;05;1146,75945888007;05
4116696;1;2;1;70;1;4;48;1; ;2;6;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;97;99;50;1;1;5020;08;05;1108,01361791226;05
4116704;1;4;1;70;1;4;48;1; ;2;4;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;70;1;1;7010;08;05;1021,19920238475;05
4116705;1;2;1;70;1;2;48;1; ;2;2;1; ;8;2;9;POR COBERTURA; ; ; ; ; ; ; ; ; ;1;1;150000;79;79;18;1;1;1810;08;05;1133,00522983038;05
4116710;1;1;1;70;1;2;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;660000;55;45;55;1;1;5522;08;05;891,765919895071;05
4116737;1;1;1;70;1;12;48;1; ;2;28;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;02;02;45;1;1;4530;08;05;1076,52798927623;05
4116738;1;4;1;70;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;08;05;904,763901995126;05
4116743;1;2;1;70;1;3;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;08;05;1069,09996398826;05
4116755;1;3;1;70;1;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;2; ;08;05;922,489228977403;05
4116760;1;1;1;70;1;48;48;1; ;2;72;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;50;50;55;1;2;5522;08;05;897,328404911394;05
