Directorio;Secuencia_p;Orden;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Clase;Dpto;Fex_c_2011
386866;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;13;2094,59808979233
386871;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;17;316,59330253752
386871;1;2;50;2;4; ;2;2;2;2; ; ;1;2; ;2; ;2; ; ;2;17;316,59330253752
386872;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;17;262,927617782873
386872;1;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;17;262,927617782873
386874;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;17;392,878762831285
386874;1;2;50;2;4; ;2;2;2;2; ; ;1;2; ;2; ;2; ; ;2;17;392,878762831285
386874;1;3;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;17;392,878762831285
386875;1;1;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2;17;330,185542409018
386875;1;2;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;17;330,185542409018
386877;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;17;169,514344186985
386877;1;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;17;169,514344186985
386878;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;17;325,036491287749
386878;1;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;17;325,036491287749
386880;1;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;17;350,613912531634
386880;1;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;17;350,613912531634
386881;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;17;361,708965570866
386882;1;1;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2;23;995,355204508106
