Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
392184;1;5;70;3;48;1; ;1;1;2;8;1; ;5;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4337000;2;39;39;5233;52;08;794,790016479739
392191;1;5;70;2;48;3; ;1;1;2;4;3; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;54;54;9500;95;08;1766,2098129632
392198;1;3;70;2;48;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;61; ; ; ;08;1823,86724926392
392201;1;2;70;52;48;8; ;1;1;2;8;4; ;1;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;62;62;0121;01;25;7583,47091105972
392213;1;1;70;48;48;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;25;8829,64135630966
392216;1;3;70;40;50;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;37; ; ; ;25;3776,52484410817
392224;1;2;70;5;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;53; ; ; ;25;7246,79351361546
392234;1;3;70;10;40;1; ;2;2;2;24;1; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2448000;2;58;60;0121;01;15;1863,55834395549
392234;1;5;70;7;40;1; ;1;1;2;28;1; ;8;2;2; ;4; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1632000;2;98;45;5125;51;15;1863,55834395549
392234;1;6;70;3;40;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;39; ; ; ;15;1863,55834395549
392244;1;1;70;2;48;8; ;1;1;2;2;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;2;62;62;0118;01;15;1771,98988336175
392247;1;3;70;16;48;8; ;1;1;2;20;8; ;5;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;2;62;62;0118;01;15;1548,12795556916
392249;1;4;70;8;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;15;1566,73510676519
392255;1;3;70;24;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;37; ; ; ;17;1257,42558012347
392259;1;3;70;24;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;37; ; ; ;17;1294,09214250431
392290;1;1;70;1;40;8; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;19;1179,75445873115
392313;1;1;70;200;8;4; ;1;1;2;200;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ;1; ; ; ; ; ;2; ;1;720000;2;95;95;4530;45;19;1647,30763958713
392313;1;2;70;96;8;3; ;1;1;2;4;8; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;62;0121;01;19;1647,30763958713
392320;1;2;70;2;48;4; ;1;1;2;6;4; ;1;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;54;54;7493;74;19;1402,62022680868
392327;1;3;70;1;36;8; ;1;1;2;8;8; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;62;62;0118;01;19;1980,76237316529
392334;1;1;70;8;40;8; ;1;1;2;8;8; ;5;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;120000;2;62;62;0118;01;19;1508,86555226035
392393;1;1;70;12;40;1; ;1;1;2;4;1; ;5;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3900000;2;39;37;6412;64;23;1884,16546499796
