Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Dpto;Orden;Fex_c_2011
386866;1;3;1;6; ;4;2;5;5;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;2;2; ; ; ;01;2;13;1;2094,59808979233
386871;1;1;1;1;1;1;1;1;4;4; ; ; ;30000; ;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;5;3;1;2;1;1;1;1;1;1;01;2;17;1;316,59330253752
386872;1;3;1;1;1;1;1;1;4;1; ; ;6000000;30000; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;5;3;1;2;1;1;1;1;1;1;01;2;17;1;262,927617782873
386874;1;3;2;1;1;1;1;1;4;1; ; ;5000000;40000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;3;1;2;1;1;1;1;1;1;01;2;17;1;392,878762831285
386875;1;3;2;1;1;1;1;1;4;4; ; ; ;30000; ;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;3;1;2;1;1;1;1;1;1;01;2;17;1;330,185542409018
386877;1;3;2;1;1;1;1;1;4;3; ; ; ; ;30000;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;3;1;2;1;1;1;1;1;1;01;2;17;1;169,514344186985
386878;1;3;2;1;1;1;1;1;4;1; ; ;12000000;30000; ;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;3;1;2;1;1;1;1;1;1;01;2;17;1;325,036491287749
386880;1;3;2;1;1;1;1;1;4;3; ; ; ; ;30000;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;3;1;2;1;1;1;1;1;1;01;2;17;1;350,613912531634
386881;1;3;1;1;1;1;1;1;4;1; ; ;8000000;30000; ;2;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;3;1;2;1;1;1;1;1;1;01;2;17;1;361,708965570866
386882;1;3;3;6; ;4;6;1;5;4; ; ; ;30000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;23;1;995,355204508106
