Directorio;Secuencia_p;Orden;Area;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Dsi;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
373310;1;2;05;70;18;60;1; ;1;1;2;28;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;98;1;45;45;1521;15;05;669,625870708184
373324;1;1;05;70;4;48;1; ;1;1;2;4;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;1800000;1;95;95;4521;45;05;856,327874119908
373327;1;1;05;70;50;48;1; ;1;1;2;52;1; ;2;1; ;.;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;98;98;6021;60;05;768,479505963471
373330;1;2;05;70;40;48;3; ;1;1;2;150;3; ;1;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;05;625,794387614142
373336;1;4;05;70;120;48;1; ;2;2;2;18;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;1;98;98;6031;60;05;904,44671528642
373353;1;2;05;70;104;24;1; ;1;1;2;104;1; ;4;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;45;5233;52;05;706,781901906731
373376;1;1;05;70;4;48;1; ;1;1;2;6;1; ;7;1; ;.;6; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;5400000;1;80;80;1921;19;05;739,888280689175
373379;1;3;05;70;12;48;1; ;2;2;2;12;4; ;9;1; ;.;6; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4200000;1;17;16;8512;85;05;849,766957820271
373382;1;1;05;70;8;48;1; ;2;2;2;8;2; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ;1; ;ESPERANDO  LA   EDAD PARA  PENSIONARSE;2; ;1;300000;1;21;20;7512;75;05;708,506510554497
373385;1;3;05;70;50;48;1; ;1;1;2;32;1; ;4;1; ;.;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;180000;1;16;16;7430;74;05;778,031317076062
373413;1;1;05;70;12;48;1; ;2;2;2;12;8; ;7;2;4; ;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3600000;1;87;60;0121;01;05;838,679684036619
373416;1;1;05;70;24;48;4; ;1;1;2;998;2; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ;1; ;LA PENSION;2; ;2; ;1;07;07;8512;85;05;698,029926161409
373420;1;3;05;70;48;48;1; ;2;2;2;20;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;70;40;5132;51;05;815,113420294222
373420;1;4;05;70;32;48;1; ;2;2;2;156;1; ;3;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5211;52;05;815,113420294222
373425;1;2;05;70;48;48;4; ;2;2;2;104;3; ;1;2;2; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;1;54;54;9500;95;05;829,927708291297
373427;1;2;05;70;8;48;1; ;1;1;2;12;1; ;9;1; ;.;9;BUSCAR SISBEN;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3341100;1;44;44;8512;85;05;624,934296494666
373433;1;3;05;70;12;48;1; ;2;2;2;20;1; ;8;1; ;.;5; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4800000;1;45;45;5269;52;05;831,899543102398
373438;1;4;05;70;4;48;1; ;1;1;2;4;1; ;5;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;120000;1;1200000;1;93;93;4552;45;05;913,1364591239
373440;1;1;05;70;4;48;1; ;1;1;2;4;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;220000;1;1200000;1;36;92;2219;22;05;777,969085168219
373455;1;2;05;70;4;48;1; ;2;2;2;4;1; ;4;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;440000;1;600000;1;79;79;1810;18;05;707,76890709507
373461;1;5;05;70;3;48;1; ;2;2;2;3;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;250000;1;4800000;1;95;95;4521;45;05;868,008512770341
373462;2;1;05;70;2;48;1; ;1;1;2;2;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;1200000;1;8000000;1;45;45;5235;52;05;616,980179960978
373462;2;2;05;70;24;24;1; ;1;1;2;52;1; ;6;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;92;92;1810;18;05;616,980179960978
373477;1;2;05;70;4;20;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;05;769,27934133074
373480;1;2;05;70;52;48;1; ;1;1;2;360;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;84;37;2610;26;05;788,069353763531
373482;1;3;05;70;48;48;4; ;1;1;2;48;4; ;2;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;99;1;51;51;5521;55;05;732,995372011813
373482;1;4;05;70;8;48;1; ;1;1;2;4;1; ;4;1; ;.;3; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;7200000;1;19;19;8532;85;05;732,995372011813
373483;1;3;05;70;150;48;1; ;2;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;34; ; ; ;05;663,657261213776
373489;1;4;05;70;12;48;1; ;2;2;2;12;1; ;7;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3800000;1;39;39;7499;74;05;769,154877515054
373493;1;3;05;70;16;48;1; ;2;2;2;16;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;50000;1;300000;1;84;99;5020;50;05;777,969085168219
373506;1;2;05;70;6;48;1; ;2;2;2;6;2; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ;1; ; ; ;2; ;1;3000000;1;44;39;7512;75;05;919,904903985577
