Directorio;Secuencia_p;Orden;Area;Regis;P7480;P7480s1;P7480s2;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s12;P7480s1a1;P7480s2a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;P7480s12a1;Dpto;Fex_c_2011
373301;1;1;05;90; ;2;2;1;1;1;2;2;2;2;2;2;2; ; ;4;10;12; ; ; ; ; ; ; ;05;617,729479492948
373301;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;617,729479492948
373301;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;617,729479492948
373302;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;694,447406943687
373302;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;28; ;28; ; ; ; ; ; ; ;05;694,447406943687
373302;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ; ;05;694,447406943687
373303;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ; ;05;724,367860082176
373303;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ; ;05;724,367860082176
373304;1;1;05;90; ;2;2;1;1;2;2;2;2;2;1;2;2; ; ;42;3; ; ; ; ; ;28; ; ;05;687,929657566097
373304;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;687,929657566097
373304;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;05;687,929657566097
373305;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;696,79440105456
373305;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;21; ;50; ; ; ; ; ; ; ;05;696,79440105456
373306;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;919,967135893419
373306;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ; ;05;919,967135893419
373306;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;919,967135893419
373307;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;15; ;15; ; ; ; ; ; ; ;05;735,318756283114
373308;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;21; ;28; ; ; ; ; ; ; ;05;781,152835246596
373308;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;7; ;10; ; ; ; ; ; ; ;05;781,152835246596
373308;1;5;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;14; ;60; ; ; ; ; ; ; ;05;781,152835246596
373309;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;14; ;35; ; ; ; ; ; ; ;05;626,594222981411
373309;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;35; ;70; ; ; ; ; ; ; ;05;626,594222981411
373310;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;14; ;66; ; ; ; ; ; ; ;05;669,625870708184
373310;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;14; ;48; ; ; ; ; ; ; ;05;669,625870708184
373311;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;794,735433199437
373311;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;34; ;16; ; ; ; ; ; ; ;05;794,735433199437
373311;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;794,735433199437
373311;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;794,735433199437
373311;1;6;05;90; ;2;2;2;2;2;2;2;2;2;2;1;2; ; ; ; ; ; ; ; ; ; ;2; ;05;794,735433199437
373311;1;7;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;794,735433199437
373312;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;50; ;20; ; ; ; ; ; ; ;05;715,522181579509
373312;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;14; ;49; ; ; ; ; ; ; ;05;715,522181579509
373312;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;715,522181579509
373313;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ; ;05;698,029926161409
373314;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;689,527352145
373314;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;28; ;28; ; ; ; ; ; ; ;05;689,527352145
373315;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;699,079163257591
373315;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;28; ;28; ; ; ; ; ; ; ;05;699,079163257591
373316;1;1;05;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;28; ; ; ; ;8; ; ; ; ;05;757,330000271977
373316;1;2;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;757,330000271977
373316;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;757,330000271977
373316;1;4;05;90; ;2;2;2;2;2;2;2;1;2;2;2;2; ; ; ; ; ; ; ;10; ; ; ; ;05;757,330000271977
373317;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;766,19474376044
