Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;P5220;P5220s1;P6006;P6008;P6007;P6007s1;Hogar;P4000;P4010;P4020;P4030s1;P4030s1a1;P4030s2;P4030s3;P4030s4;P4030s4a1;P4030s5;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
4094036;1;4;3;1;1;1;1;1;3;2; ;480000;85000000;400000; ;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;1;1;2;2;1;4; ;4;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;05;07;05;943,114844396931
4094037;1;4;2;1;1;1;1;1;3;2; ;600000;300000000;1800000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;2;1;2; ;2;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;05;07;05;971,582800512301
4094038;1;5;1;1;1;1;1;1;3;1; ; ;240000000;1000000; ;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;07;05;1087,81422685986
4094039;1;4;3;1;1;1;1;1;3;3; ; ; ; ;750000;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;2;2;1;2;2;1;2; ;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;07;05;1267,11893469852
4094040;1;3;1;1;1;1;1;1;1;1; ; ;98;98; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;05;07;05;1045,04168521891
4094041;1;1;1;1;1;1;1;2;4;3; ; ; ; ;300000;2;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;05;07;05;1264,34678839472
4094042;1;5;3;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;3; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;07;05;1354,6376641333
4094043;1;4;1;1;1;1;1;1;3;1; ; ;130000000;600000; ;2;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;1; ;1;1;3;1;2;1;4;1;3;1;1;1;2;1;1;01;05;07;05;898,77166522143
4094044;1;4;3;1;1;1;1;1;3;1; ; ;130000000;900000; ;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;5; ;6;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;07;05;1532,58284518878
4094046;1;3;2;1;1;1;1;1;1;1; ; ;200000000;1200000; ;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;2;1;1;2;1;2; ;2;2; ;1;2;1;4;1;5;2;1;1;2;1;1;01;05;07;05;1087,81422685986
4094047;1;4;2;1;1;1;1;1;3;3; ; ; ; ;1070000;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;05;07;05;1236,30263380763
4094048;1;4;3;1;1;1;1;1;3;2; ;300000;100000000;500000; ;1;1;1;1;1;2;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;1; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;07;05;959,044740220042
4094049;1;4;1;1;1;1;1;1;3;1; ; ;80000000;500000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;1;2;2;1;2;1;1; ;1;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;05;07;05;1221,57424675377
4094050;1;6;4;1;1;1;1;1;4;3; ; ; ; ;1000000;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;2;1;2;1;4; ;4;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;05;07;05;824,888978986549
4094051;1;6;4;1;1;1;1;1;3;2; ;600000;98;1200000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;4; ;4;2; ;1;2;1;4;1;4;1;1;1;7;1;1;01;05;07;05;2346,71862028354
4094052;1;5;2;1;1;1;1;1;3;2; ;1600000;180000000;1400000; ;1;1;2;1;1;1;1;2;1;1;1;2;2;2;2;2;1;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;7;1;1;01;05;07;05;2296,23072409432
4094053;1;5;2;1;1;1;1;1;3;4; ; ; ;1200000; ;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;1;1;2;1;2;1;3; ;3;2; ;1;2;1;4;1;4;1;1;1;7;1;1;01;05;07;05;2381,77580737623
4094054;1;4;1;1;1;1;1;1;4;1; ; ;250000000;150000; ;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ;1;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;05;07;05;1045,04168521891
4094055;1;5;1;1;1;1;1;1;1;1; ; ;110000000;900000; ;1;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;1; ;1;2; ;1;2;1;4;1;4;2;1;1;7;1;1;01;05;07;05;2090,08337043782
4094056;1;6;1;1;1;1;1;1;3;3; ; ; ; ;1200000;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;07;05;1236,30263380763
4094058;1;5;2;1;1;1;1;1;3;1; ; ;98;98; ;1;1;2;1;1;1;1;2;1;1;1;2;1;2;2;2;1;2;2;2;2;1;1; ;2;2; ;1;2;1;4;1;4;1;1;1;7;1;1;01;05;07;05;2175,62845371973
4094059;1;7;1;1;1;1;1;1;3;1; ; ;185000000;1200000; ;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;2;1;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;7;1;1;01;05;07;05;2175,62845371973
4094061;1;5;1;1;1;1;1;1;3;3; ; ; ; ;800000;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;05;07;05;1087,81422685986
4094062;1;5;1;1;1;1;1;6; ;3; ; ; ; ;480000;2;1;1;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;2;2;2;1;1; ;1;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;07;05;1133,22895697937
4094063;1;5;2;1;1;1;1;1;3;3; ; ; ; ;1200000;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;2;2;1;1; ;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;07;05;1264,34678839472
