DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4094036;1;2;1;80;05;1;4;7; ;2; ; ;4; ;2; ;2; ;1;07;05;943,114844396931
4094036;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;07;05;943,114844396931
4094036;1;4;1;80;05;1;4;7; ;2; ; ;4; ;2; ;2; ;1;07;05;943,114844396931
4094037;1;2;1;80;05;1;4;8; ;2; ; ;8; ;2; ;2; ;1;07;05;971,582800512301
4094038;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;1087,81422685986
4094038;1;2;1;80;05;1;4;6; ;2; ; ;8; ;2; ;2; ;1;07;05;1087,81422685986
4094041;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;07;05;1264,34678839472
4094041;1;2;1;80;05;1;4;7; ;2; ; ;9; ;2; ;2; ;1;07;05;1264,34678839472
4094042;1;1;1;80;05;1;1;8; ;2; ; ;8; ;2; ;2; ;1;07;05;1354,6376641333
4094042;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;07;05;1354,6376641333
4094044;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;1532,58284518878
4094046;1;1;1;80;05;1;4;7; ;2; ; ;8; ;2; ;2; ;1;07;05;1087,81422685986
4094046;1;2;1;80;05;1;3;9;ESTABA CANSADA DE TRABAJAR;2; ; ;11; ;3; ;2; ;1;07;05;1087,81422685986
4094047;1;1;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ;1;07;05;1236,30263380763
4094048;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;959,044740220042
4094050;1;2;1;80;05;1;1;8; ;2; ; ;12;CALAMIDAD DOMESTICA LA MAMA ESTABA ENFERMA Y MUERE LA SEMANA PASADA;2; ;2; ;1;07;05;824,888978986549
4094050;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;824,888978986549
4094050;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;07;05;824,888978986549
4094051;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;07;05;2346,71862028354
4094051;1;4;1;80;05;1;2;7; ;2; ; ;8; ;2; ;2; ;1;07;05;2346,71862028354
4094052;1;1;1;80;05;1;4;5; ;2; ; ;4; ;3; ;2; ;1;07;05;2296,23072409432
4094053;1;2;1;80;05;1;4;4; ;2; ; ;9; ;2; ;2; ;1;07;05;2381,77580737623
4094054;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;1045,04168521891
4094055;1;1;1;80;05;1;4;6; ;2; ; ;11; ;3; ;2; ;1;07;05;2090,08337043782
4094058;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ;1;07;05;2175,62845371973
4094059;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;07;05;2175,62845371973
4094059;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;2175,62845371973
4094061;1;1;1;80;05;1;3;4; ;2; ; ;10; ;3; ;2; ;1;07;05;1087,81422685986
4094061;1;2;1;80;05;1;4;8; ;2; ; ;8; ;1;4;2; ;1;07;05;1087,81422685986
