DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
6037207;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1451.2911784
6037207;1;4;1;80;05;1;24;580000;2;;;;2;;;.;2;2;;2;;1;12;;05;1451.2911784
6037210;1;3;1;80;05;1;24;908526;2;;;;2;;;.;2;2;;2;;1;12;;05;1155.4021972
6037211;1;2;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1094.94295
6037211;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1094.94295
6037212;1;2;1;80;05;;;;1;6;;2;;;9;;2;2;;2;;1;12;1.4;05;1078.5893
6037213;1;1;1;80;05;1;48;908526;1;7;;1;;2;1;;2;2;;2;;1;12;2;05;1211.9829563
6037213;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1211.9829563
6037215;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1628.732793
6037218;1;1;1;80;05;1;48;908526;1;4;;2;;;1;;2;2;;2;;1;12;4;05;1296.0920571
6037219;1;1;1;80;05;;;;1;1;;2;;;9;;2;2;;2;;1;12;4;05;1261.0063958
6037221;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1372.9049543
6037223;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1253.5627375
6037223;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1253.5627375
6037224;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1296.0920571
6037224;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1296.0920571
6037226;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;932.55461846
6037226;1;6;1;80;05;1;24;908526;2;;;;1;1;2;;2;2;;2;;1;12;;05;932.55461846
6037229;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1460.9136295
6037229;1;5;1;80;05;;;;1;8;;2;;;8;;2;2;;2;;1;12;4;05;1460.9136295
6037233;1;2;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1136.5227312
6037235;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1155.4021972
6037239;1;3;1;80;05;;;;1;2;;2;;;2;;2;2;;2;;1;12;1.3;05;1113.822416
