DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
6036921;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;12;;15;475.00733744
6036921;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;12;;15;475.00733744
6036921;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;12;;15;475.00733744
6036922;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;12;;15;448.64776484
6036923;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;12;3;15;448.64776484
6036923;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;15;448.64776484
6036925;1;1;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;15;534.79463378
6036926;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;12;;15;1231.4093963
6036926;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;12;;15;1231.4093963
6036926;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;12;;15;1231.4093963
6036927;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;12;3;15;534.79463378
6036928;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;12;2;15;448.64776484
6036928;1;3;1;80;2;1;50;700000;1;4;;2;;;4;;2;2;;2;;1;12;1.2;15;448.64776484
6036929;1;2;1;80;2;;;;1;9;PERDIDA DE TRABAJO POR COVID 19;1;;2;1;;2;2;;2;;1;12;2;15;615.90430487
6036930;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;15;691.03312542
6036930;1;6;1;80;2;;;;1;2;;2;;;2;;2;2;;2;;1;12;1.4;15;691.03312542
6036931;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;12;;15;1410.6351815
6036933;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;12;3;15;1512.8006211
