DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6083;P6083S1;P6081;P6081S1;P6080;P6080S1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S10A1;P3147S11;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
6037206;1;1;1;10;1;1;1;1963;58;1;3;;3;;6;;3;1;2;;;1;1;;;;;1;;;;1;1;;;1;1;36341;1;1;2;;5;11;2;;05;11;12;05;1296.0920571
6037206;1;2;1;10;2;2;5;1964;57;2;3;;3;;6;;3;1;1;1;;1;;1;1;1;;1;;;;;1;;;1;5;;1;1;2;;5;11;2;;05;11;12;05;1296.0920571
6037207;1;1;1;10;1;1;1;1979;42;1;2;;2;;6;;2;1;2;;;;;;;;;1;;;;2;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1451.2911784
6037207;1;2;1;10;2;2;8;1984;37;2;2;;2;;6;;2;1;1;;;;;1;;;;1;;;;;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1451.2911784
6037207;1;3;1;10;3;2;2;2009;12;3;1;2;1;1;6;;6;;;;;;;;;;1;1;;;;;1;;;1;5;;2;1;1;1;4;6;;;05;6;12;05;1451.2911784
6037207;1;4;1;10;4;2;7;2001;20;3;1;2;1;1;6;;2;1;5;1;1;1;1;;;;;1;;;;;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1451.2911784
6037207;1;5;1;10;5;1;10;1997;24;5;2;;2;;6;;2;1;4;1;1;1;1;1;;1;;1;;;;;2;1;48;;;;2;1;2;;5;11;2;;05;11;12;05;1451.2911784
6037207;1;6;1;10;5;1;11;2019;2;4;1;4;1;5;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;;;;;;;;05;;12;05;1451.2911784
6037207;1;7;1;10;5;1;5;2021;0;4;1;4;1;5;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;;;;;;;;05;;12;05;1451.2911784
6037209;1;1;1;10;1;2;11;1977;44;1;3;;3;;6;;6;;;;;;1;;;1;;1;;;;2;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1193.1034902
6037209;1;2;1;10;2;1;1;2002;19;3;1;1;3;;5;;6;;;;;;;;;1;;;;;;;1;;;1;1;36341;2;1;1;1;6;0;2;2;05;11;12;05;1193.1034902
6037210;1;1;1;10;1;1;8;1972;49;1;2;;3;;6;;2;1;2;;;;;;1;;;;;;;2;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1155.4021972
6037210;1;2;1;10;2;2;5;1978;43;2;2;;2;;6;;2;1;1;;1;;;;;;;;;;;;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1155.4021972
6037210;1;3;1;10;3;2;5;2003;18;3;1;2;1;1;6;;6;;;;;;;;;;1;;;;;;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1155.4021972
6037211;1;1;1;10;1;2;8;1986;35;1;2;;2;;6;;4;;;1;;;;;;;;;;;;1;1;;;1;5;;2;1;2;;6;5;4;;05;16;12;05;1094.94295
6037211;1;2;1;10;2;1;11;2007;14;3;1;1;2;;6;;6;;;;;;;;;;1;;;;;;1;;;1;5;;2;1;1;1;4;7;;;05;7;12;05;1094.94295
6037211;1;3;1;10;3;2;12;2009;12;3;1;1;2;;6;;6;;;;;;;;;;1;;;;;;1;;;1;5;;2;1;1;1;4;0;;;05;5;12;05;1094.94295
6037212;1;1;1;10;1;1;1;1964;57;1;3;;3;;6;;2;1;2;;;1;1;;;;;;;;;2;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1078.5893
6037212;1;2;1;10;2;2;4;1967;54;2;2;;2;;6;;2;1;1;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1078.5893
6037212;1;3;1;10;3;1;11;1991;30;3;1;2;2;;6;;6;;;;;;;;;;;;;;1;;1;;;2;1;200000;2;1;2;;6;2;3;;05;13;12;05;1078.5893
6037212;1;4;1;10;4;2;8;1997;24;3;1;2;2;;6;;6;;;;;;1;;;;;;;;;;1;;;1;1;36341;2;1;2;;6;2;3;;05;13;12;05;1078.5893
6037213;1;1;1;10;1;2;2;1967;54;1;3;;3;;6;;2;2;;;;;;;;1;;1;;;;2;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1211.9829563
6037213;1;2;1;10;2;1;3;1987;34;3;1;1;2;;6;;6;;;;;;1;;;;;1;;;;;1;;;1;3;113600;2;1;1;1;6;4;2;2;05;15;12;05;1211.9829563
6037213;1;3;1;10;1;1;12;2008;12;4;2;;1;2;6;;6;;;;;;;;;;1;;;;;;1;;;1;5;;2;1;1;1;4;7;;;05;7;12;05;1211.9829563
6037214;1;1;1;10;1;1;2;1987;34;1;2;;2;;6;;3;1;2;;;;;;;;;1;;;;2;1;;;1;1;44000;2;1;2;;5;11;2;;05;11;12;05;1253.5627375
6037214;1;2;1;10;2;2;5;1995;26;2;2;;2;;6;;3;1;1;;;;;;;;;;;;1;;1;;;1;1;56000;2;1;2;;6;5;4;;05;16;12;05;1253.5627375
6037215;1;1;1;10;1;2;9;1972;49;1;2;;3;;6;;4;;;;1;;1;;;1;;1;;;;2;1;;;1;5;;2;1;2;;4;9;;;05;9;12;05;1628.732793
6037215;1;2;1;10;1;1;8;2004;17;3;1;1;2;;6;;6;;;;;;;;;;1;;;;;;1;;;1;5;;2;1;1;1;5;10;1;;05;10;12;05;1628.732793
6037215;1;3;1;10;1;1;11;2017;4;3;1;1;2;;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;2;1;1;2;0;;;05;0;12;05;1628.732793
6037215;1;4;1;10;1;1;11;2017;4;3;1;1;2;;6;;;;;;;;;;;;;;;;;;1;;;1;5;;1;2;1;1;2;0;;;05;0;12;05;1628.732793
6037216;1;1;1;10;1;2;11;1948;73;1;3;;3;;6;;5;;;;1;1;;;;;;;;;;1;1;;;3;;;2;2;2;;1;0;;;05;0;12;05;1372.9049543
6037217;1;1;1;10;1;1;3;1976;45;1;3;;2;;6;;6;;;;;;1;;;;;;;;;2;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1365.4612961
6037218;1;1;1;10;1;2;10;1962;59;1;2;;3;;6;;2;2;;;;;;;;;;;;;1;1;1;;;1;5;;2;1;2;;3;5;;;05;5;12;05;1296.0920571
6037218;1;2;1;10;2;1;8;1960;61;2;2;;3;;6;;2;1;1;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;3;3;;;05;3;12;05;1296.0920571
