DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5299788;1;2;1;70;68;8;48;1; ;2;36;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;877804;2; ;47;45;41;1;1;4759;12;68;536,043928535201
5299836;1;2;1;70;05;12;48;1; ;2;60;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;56;45;45;1;1;5619;12;05;2039,35610679277
5299853;1;2;1;70;76;28;48;1; ;2;36;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877807;2; ;49;45;97;1;2;4923;12;76;986,651992726618
5299869;1;3;1;70;05;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;878000; ; ; ;53; ;1;1;.;12;05;1245,57037696015
5299870;1;3;1;70;05;50;48;1; ;2;50;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;85;01;03;1;2;8544;12;05;1229,97370806345
5299872;1;2;1;70;50;30;48;1; ;2;30;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;84;12;12;1;2;8424;12;50;373,828023304644
5299875;1;3;1;70;05;12;24;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;12; ;1;1;.;12;05;889,9579789047
5299878;1;3;1;70;05;4;48;1; ;2;4;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;2000000;877803;2; ;41;95;95;1;1;4111;12;05;1144,22630081699
5299935;1;1;1;70;50;16;48;4; ;2;32;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;97;55;55;1;2;9700;12;50;218,12699795045
5299937;1;2;1;70;68;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;980000; ; ; ;45; ;1;2;.;12;68;421,546645277686
5299937;1;3;1;70;68;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;980000; ; ; ;39; ;1;2;.;12;68;421,546645277686
5299939;1;5;1;70;68;32;48;1; ;2;32;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;11;33;21;1;2;1104;12;68;497,01355772887
5299947;1;3;1;70;05;52;48;1; ;2;53;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;14;79;79;1;2;1410;12;05;1796,47791653717
5299971;1;3;1;70;73;12;48;1; ;2;50;1; ;3;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;47;45;45;1;1;4771;12;73;324,633097950186
5299979;1;3;1;70;52;30;40;1; ;2;52;1; ;5;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1600000;2; ;45;02;21;1;2;4541;12;52;210,442160364761
5299980;1;1;1;70;68;30;48;4; ;2;30;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;84;39;39;1;2;8412;12;68;599,352386410237
5300008;1;2;1;70;68;42;48;1; ;2;43;1; ;8;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;86;59;59;1;2;8610;12;68;978,079359102886
5300009;1;3;1;70;68;2;50;1; ;2;2;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;15;59;80;1;1;1521;12;68;931,785887096158
5300017;1;2;1;70;68;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;887000; ; ; ;45; ;1;1;.;12;68;984,011036011163
5300021;1;4;1;70;54;2;24;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;42;53;95;1;1;4290;12;54;366,697820435124
5300024;1;1;1;70;73;10;4;3; ;2;36;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;54;54;1;1;9700;12;73;219,072655899629
5300094;1;4;1;70;23;20;48;1; ;2;48;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;45;54;1;2;9700;12;23;172,890573727617
5300110;1;2;1;70;23;5;48;1; ;2;34;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;49;98;98;1;1;4921;12;23;170,928073753688
5300116;1;1;1;70;76;8;40;1; ;2;36;1; ;2;2;9;ESTA PAGANDO EPS; ; ; ; ; ; ; ; ; ;1;2; ;877803;1;2;49;98;98;1;1;4923;12;76;1658,98294876434
5300121;1;2;1;70;76;8;48;1; ;2;12;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1500000;1;2;43;19;19;1;1;4321;12;76;892,534180741193
5300160;2;2;2;70;54;32;60;1; ;2;32;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;33;03;03;1;2;3312;12;54;328,775812805043
5300171;1;2;1;70;68;46;48;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;15;99;80;1;2;1522;12;68;517,824165695157
5300175;1;1;1;70;54;5;55;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;41;95;95;1;1;4111;12;54;368,448161746925
5300176;1;2;1;70;54;21;48;4; ;2;21;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;47;41;41;1;2;4772;12;54;401,615033397486
5300177;1;1;1;70;54;8;48;1; ;2;8;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;47;33;33;1;1;4711;12;54;316,928040414506
5300184;1;2;1;70;17;5;48;1; ;2;160;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;85;13;13;1;1;8530;12;17;132,178063481064
5300185;1;2;1;70;17;4;48;1; ;2;20;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;56;45;53;1;1;5611;12;17;141,069085711783
5300186;1;1;1;70;17;8;48;1; ;2;6;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;86;59;59;1;1;8622;12;17;214,20921043982
5300191;1;2;1;70;50;20;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;37; ;1;2;.;12;50;231,077037738955
5300193;1;1;1;70;50;112;48;1; ;2;112;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;3; ;84;58;58;1;2;8422;12;50;524,652362556742
5300201;1;2;1;70;50;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877000; ; ; ;53; ;1;1;.;12;50;200,228764994273
5300206;1;2;1;70;17;20;50;1; ;2;20;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;49;98;98;1;2;4921;12;17;156,04532598225
5300208;1;4;1;70;50;13;30;1; ;2;44;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;880000;2; ;56;59;33;1;1;5611;12;50;131,163090639186
5300208;1;5;1;70;50;8;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;41;95;95;1;1;4111;12;50;131,163090639186
