DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5302615;1;2;1;70;2;14;48;1; ;2;22;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;53;53;1;2;12;5611;68;1450,1093417095
5307123;1;2;1;70;2;12;40;1; ;2;12;2; ;7;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2200000;1;2;84;12;31;1;1;12;8412;15;2151,39054006537
5307124;1;3;1;70;2;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;43;03;03;1;1;12;4321;15;500,323381410552
5307127;1;1;1;70;2;3;40;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;877800;2; ;01;55;62;1;1;12;0161;15;1459,61398684755
5307129;1;2;1;70;2;24;40;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;56;55;53;1;2;12;5629;15;643,172430409453
5307425;1;1;1;70;2;28;48;1; ;2;28;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;877700;2; ;49;98;98;1;2;12;4921;15;721,994588822214
5307774;1;1;1;70;2;144;144;1; ;2;144;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;01;45;62;1;2;12;0123;05;5757,80294791794
5307776;1;1;1;70;2;2;48;8; ;2;2;8; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;1;280000;200000;2; ;01;62;62;1;1;12;0123;05;2220,54305798988
5308077;1;1;1;70;2;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;06;58;58;1;1;12;0610;05;7805,73621620709
5308109;1;2;1;70;2;26;40;2; ;2;26;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;84;12;12;1;2;12;8412;17;734,386916095129
