DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5299788;1;2;1;70;68;1;8;48;1; ;2;36;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;877804;2; ;47;45;41;1;1;12;4759;68;536,043928535201
5299815;1;2;1;70;19;1;48;48;1; ;2;48;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;85;13;13;1;2;12;8511;19;146,107406809292
5299816;1;2;1;70;19;1;96;48;1; ;2;95;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;45;99;99;1;2;12;4520;19;136,770444496365
5299817;1;2;1;70;19;1;36;40;1; ;2;36;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;14;79;79;1;2;12;1410;19;156,749594757169
5299819;1;2;1;70;19;1;96;48;1; ;2;96;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;47;45;45;1;2;12;4741;19;103,195142350236
5299819;1;3;1;70;19;1;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;980000; ; ; ;45; ;1;2;12;.;19;103,195142350236
5299820;1;1;1;70;19;1;96;48;1; ;2;96;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;85;13;13;1;2;12;8530;19;141,425770974442
5299823;1;3;1;70;19;1;48;40;1; ;2;48;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;85;03;13;1;2;12;8542;19;114,88861801679
5299836;1;2;1;70;05;1;12;48;1; ;2;60;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;56;45;45;1;1;12;5619;05;2039,35610679277
5299853;1;2;1;70;76;1;28;48;1; ;2;36;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877807;2; ;49;45;97;1;2;12;4923;76;986,651992726618
5299861;1;3;1;70;44;1;96;48;4; ;2;48;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;10;95;77;1;2;12;1011;44;98,5836698785903
5299862;1;6;1;70;44;1;48;48;1; ;2;192;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;80;58;58;1;2;12;8010;44;60,483375864476
5299864;1;2;1;70;44;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ; ;45; ;1;2;12;.;44;92,6286015668294
5299869;1;3;1;70;05;1;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;878000; ; ; ;53; ;1;1;12;.;05;1245,57037696015
5299870;1;3;1;70;05;1;50;48;1; ;2;50;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;85;01;03;1;2;12;8544;05;1229,97370806345
5299872;1;2;1;70;50;1;30;48;1; ;2;30;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;84;12;12;1;2;12;8424;50;373,828023304644
5299875;1;3;1;70;05;1;12;24;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;12; ;1;1;12;.;05;889,9579789047
5299878;1;3;1;70;05;1;4;48;1; ;2;4;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;2000000;877803;2; ;41;95;95;1;1;12;4111;05;1144,22630081699
5299880;1;4;1;70;15;1;52;20;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;47;13;45;1;2;12;4721;15;150,311857386251
5299883;1;2;1;70;15;1;24;40;1; ;2;24;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;5000000;2; ;84;05;05;1;2;12;8413;15;121,435470160235
5299897;1;1;1;70;41;1;8;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;41;95;95;1;1;12;4111;41;164,219067927921
5299902;1;3;1;70;41;1;14;50;1; ;2;34;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;47;45;45;1;2;12;4771;41;118,585435610248
5299907;1;1;1;70;41;1;5;45;4; ;2;10;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;41;95;95;1;1;12;4111;41;223,004905449631
5299908;1;2;1;70;15;1;24;40;1; ;2;24;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;45;53;1;2;12;5613;15;124,777758738432
5299913;1;1;1;70;63;1;52;48;4; ;2;52;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;2;12;4711;63;135,930571836681
5299921;1;2;1;70;41;1;4;48;1; ;2;4;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;73;39;39;1;1;12;7320;41;421,250586659692
5299924;1;2;1;70;63;1;32;40;4; ;2;32;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;86;02;02;1;2;12;8622;63;116,344287398763
5299926;1;2;1;70;63;1;24;40;1; ;2;36;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;56;53;45;1;2;12;5619;63;52,181474161555
5299929;1;2;1;70;15;1;4;40;4; ;2;4;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;54;53;1;1;12;5611;15;117,357647075279
5299933;1;1;1;70;41;1;20;48;1; ;2;20;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;86;39;39;1;2;12;8621;41;289,248819663911
5299935;1;1;1;70;50;1;16;48;4; ;2;32;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;97;55;55;1;2;12;9700;50;218,12699795045
5299937;1;2;1;70;68;1;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;980000; ; ; ;45; ;1;2;12;.;68;421,546645277686
5299937;1;3;1;70;68;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;980000; ; ; ;39; ;1;2;12;.;68;421,546645277686
5299939;1;5;1;70;68;1;32;48;1; ;2;32;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;11;33;21;1;2;12;1104;68;497,01355772887
