DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5302615;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;12; ;68;1450,1093417095
5302615;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;12; ;68;1450,1093417095
5302616;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;3;68;1173,15013823896
5302618;1;2;1;80;2;2; ; ; ;1;4;9; ;2; ;2; ; ; ; ;2;1;12; ;68;1450,1093417095
5302618;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;12; ;68;1450,1093417095
5302618;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;12; ;68;1450,1093417095
5302717;1;2;1;80;2;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;1205,28817674482
5302717;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;1205,28817674482
5302718;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;12;4;68;835,233207421755
5302718;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;835,233207421755
5302719;1;2;1;80;2;1;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;3516,24689320293
5302720;1;2;1;80;2;1;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;3;68;960,467011780147
5305973;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;4;68;1566,2696666101
5305973;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;12; ;68;1566,2696666101
5305976;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;2389,81149334304
5305978;1;1;1;80;2;1;5; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;12;4;68;992,169854496481
5305978;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;3;68;992,169854496481
5305980;1;2;1;80;2;1;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;12;1,4;68;2992,76680752933
5305981;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;992,169854496481
5305986;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;12;4;68;992,169854496481
5305996;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;4;68;992,169854496481
5305997;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;4;68;1540,72451770031
5305997;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;4;68;1540,72451770031
5305998;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;4;68;992,169854496481
5306000;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;992,169854496481
5306000;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;992,169854496481
5306001;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;1034,99782647269
5306002;1;2;1;80;2;1;8; ;1; ;2;5; ;2; ;2; ; ; ; ;2;1;12;3;68;2817,07898060948
5306002;1;3;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;500000;2;1;12;2;68;2817,07898060948
5306007;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;12;2;68;992,169854496481
5306013;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;4176,93422316387
5306014;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;4;68;992,169854496481
5306014;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;992,169854496481
5306015;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;68;4112,46334313503
5306015;1;7;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;4112,46334313503
5306015;1;8;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;4112,46334313503
