DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5117741;1;4;1;70; ;2;2;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;480000;600000;2; ;41;39;95;1;1;01;4111;23;1188,0595451071
5117747;1;3;1;70; ;2;16;48;1; ;2;16;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;41;95;59;1;2;01;4111;23;1618,62272414843
5117747;1;4;1;70; ;2;24;48;3; ;2;120;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;97;54;54;1;2;01;9700;23;1618,62272414843
5117747;1;5;1;70; ;2;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;41;95;95;1;1;01;4111;23;1618,62272414843
5117749;1;3;1;70; ;2;2;48;8; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;400000;2; ;01;62;62;1;1;01;0141;23;1220,98089564085
5117750;1;1;1;70; ;2;14;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ; ;54; ;1;2;01;.;23;854,081513853918
5117757;1;3;1;70; ;2;2;48;4; ;2;2;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;828116;500000;2; ;38;97;62;1;1;01;3811;23;780,197828921085
5117759;1;4;1;70; ;2;30;36;1; ;2;250;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;84;45;32;1;2;01;8424;23;1577,50359412375
5117766;1;5;1;70; ;2;4;48;1; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;01;95;62;1;1;01;0141;23;1554,95892689403
5117778;1;2;1;70; ;2;2;48;1; ;2;2;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;877500;2; ;47;45;45;1;1;01;4772;23;780,197828921085
5117779;1;3;1;70; ;2;16;48;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ; ;13; ;1;2;01;.;23;1738,64255514459
5117802;1;1;1;70; ;2;68;40;1; ;2;120;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;84;13;39;1;2;01;8412;23;854,081513853918
5117808;1;2;1;70; ;2;28;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ; ;59; ;1;2;01;.;23;1256,51751263993
