DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011
5117692;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1814,28415551508
5117692;1;2;1;90;1;4;1;37;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1814,28415551508
5117692;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1814,28415551508
5117692;1;4;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1814,28415551508
5117692;1;5;1;90;1;4;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1814,28415551508
5117692;1;6;1;90;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1814,28415551508
5117693;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1381,43096788784
5117693;1;2;1;90;1;14;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1381,43096788784
5117694;1;1;1;90;1;10;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1083,49968976566
5117694;1;2;1;90;1;7;1;35;2; ;1;48;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1083,49968976566
5117695;1;1;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;881,341568979752
5117695;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;881,341568979752
5117695;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;881,341568979752
5117696;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1184,37184238444
5117696;1;2;1;90;2; ;1;34;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1184,37184238444
5117696;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1184,37184238444
5117696;1;4;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1184,37184238444
5117698;1;1;1;90;1;4;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1226,38836741707
5117698;1;2;1;90;1;4;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1226,38836741707
5117698;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1226,38836741707
5117698;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1226,38836741707
5117698;1;5;1;90;1;4;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1226,38836741707
5117699;1;1;1;90;1;12;1;10;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;2210,68789264514
5117699;1;2;1;90;1;18;1;36;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;2210,68789264514
