DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,MES,DPTO,ORDEN,fex_c_2011
2659414,1,4,2,1,1,1,1,1,3,3,,,,,450000,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,3,3,2,1,73,4,73,1,262.510.171.094.848
2659415,1,4,2,1,1,1,1,1,3,1,,,70000000,500000,,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,3,3,2,1,73,4,73,1,255.898.439.671.426
2659416,1,4,2,1,1,1,1,1,3,1,,,65000000,400000,,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,3,3,1,1,73,4,73,1,233.976.511.716.297
2659417,1,4,1,1,1,1,1,1,3,3,,,,,420000,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,3,3,1,1,73,4,73,1,239.760.198.459.405
2659418,1,4,2,1,1,1,1,1,3,1,,,60000000,350000,,1,2,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,3,3,1,1,73,4,73,1,262.510.171.094.848
2659419,1,4,2,1,1,1,1,1,3,1,,,70000000,400000,,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,3,3,1,1,73,4,73,1,2.602.430.955.803
2659420,1,4,3,1,1,1,1,1,3,4,,,,600000,,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,3,2,2,,4,1,2,1,4,1,1,1,1,1,3,3,1,1,73,4,73,1,249.097.859.567.045
2659421,1,4,2,1,1,1,1,1,3,2,,620000,90000000,700000,,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,3,3,1,1,73,4,73,1,524.635.640.231.364
2659422,1,2,1,1,1,1,1,1,3,4,,,,500000,,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,,1,1,2,1,5,1,1,1,1,1,3,3,1,1,73,4,73,1,425.432.250.133.766
2659424,1,4,3,1,1,1,1,1,3,3,,,,,400000,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,2,,4,1,2,1,4,1,1,1,1,1,2,3,2,1,73,4,73,1,326.426.421.218.215
