DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2659385,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,4,15,15,1.023.785.817.866
2659386,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,4,15,15,1.023.785.817.866
2659386,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,4,15,15,1.023.785.817.866
2659387,1,3,1,80,1,1,1,2,,2,,2,,,,,2,2,1,4,15,15,424.943.734.015.354
2659387,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,4,15,15,424.943.734.015.354
2659387,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,4,15,15,424.943.734.015.354
2659388,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,4,15,15,101.907.914.556.032
2659388,1,7,1,80,1,1,4,4,,2,,2,,,,,4,2,1,4,15,15,101.907.914.556.032
2659390,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,4,15,15,904.497.508.190.222
2659393,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,4,15,15,88.769.192.152.923
2659394,1,3,1,80,1,1,1,6,,2,,2,,,,,2,2,1,4,15,15,706.438.931.671.856
2659395,1,2,1,80,1,1,3,3,,2,,2,,,,,9,2,1,4,18,18,83.784.874.772.241
2659396,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,4,18,18,85.817.116.046.501
2659396,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,4,18,18,85.817.116.046.501
2659396,1,5,1,80,1,1,1,8,,2,,2,,,,,8,2,1,4,18,18,85.817.116.046.501
2659396,1,6,1,80,1,2,,,,2,,2,,2,,.,,,1,4,18,18,85.817.116.046.501
2659397,1,1,1,80,1,1,2,4,,2,,2,,,,,4,2,1,4,18,18,62.368.339.884.971
2659401,1,3,1,80,1,1,4,4,,2,,2,,,,,4,2,1,4,18,18,513.456.764.321.165
2659402,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,4,18,18,907.506.527.848.541
2659404,1,1,1,80,1,1,4,9,CAMBIO E DOMICILIO,2,,2,,,,,1,2,1,4,18,18,711.011.835.307.565
2659406,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,4,18,18,814.398.166.333.759
