DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,MES,DPTO,fex_c_2011
2659415,1,3,1,70,73,24,24,1,,2,24,1,,2,2,,,,,,,,,,1,,2,,2,97,95,45,1,2,4559,4,73,255.898.439.671.426
2659424,1,3,1,70,73,78,60,1,,2,78,1,,5,4,,,,,,,,,,1,,2,,2,34,13,80,1,2,8060,4,73,326.426.421.218.215
2659433,1,2,1,70,73,104,48,1,,2,104,1,,4,1,,,,,,,,,,1,,2,,2,45,45,52,1,2,5236,4,73,306.945.868.008.452
2659434,1,1,1,70,73,24,48,1,,2,40,1,,4,1,,,,,1,,,,,,,2,,2,97,33,55,1,2,5530,4,73,121.858.394.160.589
2659452,1,3,1,70,66,4,48,1,,2,12,1,,9,1,,,,,,,,,,1,,2,,2,39,39,64,1,1,6421,4,66,237.185.873.204.531
2659457,1,3,1,70,66,52,48,3,,2,52,3,,1,4,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,4,66,201.798.085.003.303
2659460,1,3,1,70,66,2,48,2,,2,2,1,,7,4,,,,,,,,,,1,,2,,2,59,39,85,1,1,8512,4,66,205.635.570.350.596
2659463,1,1,1,70,66,5,48,1,,2,5,1,,3,1,,,,,,,,,,1,,2,,2,98,95,45,1,1,4521,4,66,242.887.759.252.034
2659480,1,1,1,70,66,15,60,1,,2,16,1,,3,1,,,,,,,,,1,,YA ES PENSIONADO,2,,2,97,99,50,1,2,5020,4,66,197.286.047.188.109
2659480,1,2,1,70,66,14,20,5,,2,14,1,,4,2,,,,,,,,,,1,,2,,2,51,53,55,1,2,5521,4,66,197.286.047.188.109
2659482,1,2,1,70,17,52,48,1,,2,52,1,,4,2,,,,,,,,,,1,,2,,2,38,13,80,1,2,8011,4,17,166.638.451.599.748
2659483,1,2,1,70,17,52,48,1,,2,52,1,,3,1,,,,,,,,,,1,,2,,2,58,58,70,1,2,7020,4,17,163.580.111.431.198
2659488,1,2,1,70,17,52,48,1,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,53,45,52,1,2,5211,4,17,140.235.179.181.232
2659488,1,5,1,70,17,104,48,1,,2,104,1,,5,1,,,,,,,,,,1,,2,,2,53,45,52,1,2,5244,4,17,140.235.179.181.232
