DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
5185031;1;1;1;50;15;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;15;117,464193295255
5185031;1;2;1;50;15;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;15;117,464193295255
5185032;1;1;1;50;15;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;15;116,575916374101
5185032;1;2;1;50;15;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;15;116,575916374101
5185033;1;1;1;50;17;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;17;133,770336139787
5185033;1;2;1;50;17;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;133,770336139787
5185034;1;1;1;50;17;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;152,890669644551
5185035;1;1;1;50;17;1; ; ;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ;08;1;17;150,710249972805
5185035;1;2;1;50;17;1; ; ;2;6;ENFERMA;2;1; ; ; ; ; ; ; ; ; ; ;08;1;17;150,710249972805
5185035;1;3;1;50;17;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;150,710249972805
5185035;1;4;1;50;17;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;150,710249972805
5185038;1;1;1;50;17;1; ; ;1;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;135,668656846435
5185038;1;2;1;50;17;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;135,668656846435
5185039;1;1;1;50;17;1; ; ;1;6;DESCANSAR;2;2;2;2;1;11; ; ; ; ; ; ;08;1;17;163,080136720533
5185039;1;2;1;50;17;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;163,080136720533
5185039;1;3;1;50;17;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;163,080136720533
5185040;1;1;1;50;17;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;181,558522167554
5185040;1;2;1;50;17;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;08;1;17;181,558522167554
5185041;1;1;1;50;17;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;215,720448798686
5185041;1;2;1;50;17;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;215,720448798686
5185041;1;3;1;50;17;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;215,720448798686
5185042;1;1;1;50;17;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;248,965125115728
5185042;1;2;1;50;17;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;248,965125115728
5185042;1;3;1;50;17;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;248,965125115728
5185042;1;4;1;50;17;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;248,965125115728
5185047;1;1;1;50;54;1;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;54;358,332476018446
5185048;1;1;1;50;54;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;54;354,636845802719
5185049;1;1;1;50;54;1; ; ;1;6;VER TV;1; ; ; ; ; ; ; ; ; ; ; ;08;1;54;354,636845802719
5185050;1;1;1;50;54;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;267,700153004711
5185050;1;2;1;50;54;1;3; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;54;267,700153004711
5185051;1;1;1;50;54;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;54;390,267690013576
5185051;1;2;1;50;54;1;1; ;2;6;VER TV;2;2;2;1; ; ; ; ; ; ; ;1;08;1;54;390,267690013576
5185051;1;3;1;50;54;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;54;390,267690013576
5185052;1;1;1;50;54;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;54;323,233425472246
5185052;1;2;1;50;54;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;323,233425472246
5185052;1;3;1;50;54;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;323,233425472246
5185053;1;1;1;50;54;1; ; ;1;6;DESCANSANDO EN EL HOGAR ES PENSIONADO;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;361,738400300122
5185053;1;2;1;50;54;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;361,738400300122
5185054;1;1;1;50;54;1; ; ;1;6;DESCANSANDO EN EL HOGAR ES PENSIONADO;2;2;2;2;1;9; ; ; ; ; ; ;08;1;54;367,797136464385
5185054;1;2;1;50;54;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;54;367,797136464385
5185054;1;3;1;50;54;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;367,797136464385
5185054;1;4;1;50;54;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;367,797136464385
5185055;1;1;1;50;54;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;54;326,492553494932
5185055;1;2;1;50;54;1;1; ;2;3; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;54;326,492553494932
5185066;1;1;1;50;70;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;70;98,2634681328713
5185066;1;2;1;50;70;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;70;98,2634681328713
5185087;1;1;1;50;15;1; ; ;1;4; ;2;2;2;2;1;13;COVID 19; ; ; ; ; ;08;1;15;117,464193295255
5185087;1;2;1;50;15;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;15;117,464193295255
5185090;1;1;1;50;15;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;15;125,152904041335
5185090;1;2;1;50;15;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;15;125,152904041335
5185090;1;3;1;50;15;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;15;125,152904041335
5185090;1;4;1;50;15;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;15;125,152904041335
5185091;1;1;1;50;68;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;68;587,458942319382
5185091;1;2;1;50;68;1;1; ;2;6;DESCANSANDO;2;2;2;1; ; ; ; ; ; ; ;1;08;1;68;587,458942319382
5185092;1;1;1;50;68;1; ; ;1;4; ;2;2;2;2;1;8; ;1;2; ; ; ;08;1;68;505,086142662639
5185092;1;2;1;50;68;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;505,086142662639
5185092;1;3;1;50;68;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;505,086142662639
5185092;1;4;1;50;68;1; ; ;4;6;DESCANSAR;2;2;2;2;1;6; ;2; ;2; ; ;08;1;68;505,086142662639
5185092;1;5;1;50;68;1;3; ;5;4; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;68;505,086142662639
5185092;1;6;1;50;68;1; ; ;6;6;DESCANSANDO;2;1; ; ; ; ; ; ; ; ; ; ;08;1;68;505,086142662639
5185093;1;1;1;50;68;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;576,100793842777
5185093;1;2;1;50;68;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;576,100793842777
5185094;1;1;1;50;68;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;476,85214519813
5185095;1;1;1;50;68;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;626,118442551302
5185095;1;2;1;50;68;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;68;626,118442551302
5185095;1;3;1;50;68;1;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;68;626,118442551302
5185095;1;4;1;50;68;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;626,118442551302
5185095;1;5;1;50;68;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;626,118442551302
5185096;1;1;1;50;68;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;576,100793842777
5185096;1;2;1;50;68;1;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;68;576,100793842777
5185097;1;1;1;50;68;1;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;68;568,708408834679
5185097;1;2;1;50;68;1; ; ;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ;08;1;68;568,708408834679
5185098;1;1;1;50;68;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;652,993737677568
5185098;1;2;1;50;68;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;652,993737677568
5185098;1;5;1;50;68;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;652,993737677568
5185099;1;1;1;50;68;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;68;753,911420722351
5185099;1;2;1;50;68;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;753,911420722351
5185099;1;3;1;50;68;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;753,911420722351
5185099;1;4;1;50;68;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;753,911420722351
5185099;1;5;1;50;68;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;753,911420722351
5185100;1;1;1;50;68;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;432,756377805353
5185100;1;2;1;50;68;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;68;432,756377805353
5185100;1;3;1;50;68;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;432,756377805353
5185101;1;1;1;50;68;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;539,069381062521
5185101;1;2;1;50;68;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;539,069381062521
5185101;1;3;1;50;68;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;539,069381062521
5185101;1;4;1;50;68;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;539,069381062521
5185102;1;1;1;50;68;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;632,163705106338
5185102;1;2;1;50;68;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;632,163705106338
5185102;1;3;1;50;68;1; ; ;3;6;DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;632,163705106338
5185102;1;4;1;50;68;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;632,163705106338
5185103;1;1;1;50;68;1; ; ;1;4; ;2;2;2;2;1;13;POR LA PANDEMIA; ; ; ; ; ;08;1;68;469,459760190033
5185104;1;1;1;50;68;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;68;516,654944711248
5185104;1;2;1;50;68;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;516,654944711248
5185104;1;3;1;50;68;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;516,654944711248
5185105;1;1;1;50;68;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;572,545953021999
5185105;1;2;1;50;68;1; ; ;2;4; ;2;2;2;2;1;13;POR LA PANDEMIA; ; ; ; ; ;08;1;68;572,545953021999
5185105;1;3;1;50;68;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;572,545953021999
5185106;1;1;1;50;68;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;430,265956071095
5185106;1;2;1;50;68;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;68;430,265956071095
5185106;1;3;1;50;68;1; ; ;3;6;REALIZA PRACTICAS ESTUDIANTILES NO REMUNERADAS;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;430,265956071095
5185107;1;1;1;50;68;1; ; ;1;6;DESCANSANDO EN EL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;363,210491949625
5185107;1;2;1;50;68;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;363,210491949625
5185107;1;3;1;50;68;1; ; ;2;6;DESCANSANDO POR ENFERMEDAD DIABETES;2;2;2;2;1;11; ; ; ; ; ; ;08;1;68;363,210491949625
5185107;1;4;1;50;68;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;68;363,210491949625
5185108;1;1;1;50;68;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;68;583,949428527638
5185114;1;1;1;50;41;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;41;126,449430632878
5185114;1;2;1;50;41;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;41;126,449430632878
5185115;1;1;1;50;41;1; ; ;1;4; ;2;2;1; ; ; ; ; ; ; ; ; ;08;1;41;162,537057994273
5185115;1;2;1;50;41;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;41;162,537057994273
5185116;1;1;1;50;19;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;132,28925555765
5185116;1;2;1;50;19;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;132,28925555765
5185117;1;1;1;50;19;1; ; ;1;4; ;2;2;2;2;1;13;COVID 19; ; ; ; ; ;08;1;19;98,7993930112322
5185117;1;2;1;50;19;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;98,7993930112322
5185118;1;1;1;50;19;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;127,845810913155
5185118;1;2;1;50;19;1; ; ;2;6;DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;127,845810913155
5185119;1;1;1;50;19;1; ; ;1;6;DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;137,5741818274
5185119;1;2;1;50;19;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;137,5741818274
5185119;1;3;1;50;19;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;137,5741818274
5185119;1;4;1;50;19;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;137,5741818274
5185119;1;5;1;50;19;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;137,5741818274
5185120;1;1;1;50;19;1;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;19;110,109174667604
5185120;1;2;1;50;19;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;110,109174667604
5185120;1;3;1;50;19;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;110,109174667604
5185121;1;1;1;50;19;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;119,991312485198
5185122;1;1;1;50;19;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;159,754262717446
5185122;1;2;1;50;19;1; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;159,754262717446
5185122;1;3;1;50;19;1;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;19;159,754262717446
5185122;1;4;1;50;19;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;159,754262717446
5185123;1;1;1;50;19;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;104,535927602014
5185125;1;1;1;50;19;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;117,502046414658
5185126;1;1;1;50;19;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;127,343737941248
5185126;1;2;1;50;19;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;127,343737941248
5185126;1;3;1;50;19;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;127,343737941248
5185126;1;4;1;50;19;1;1; ;2;3; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;19;127,343737941248
5185126;1;5;1;50;19;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;127,343737941248
5185126;1;6;1;50;19;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;127,343737941248
5185127;1;1;1;50;19;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;104,535927602014
5185128;1;1;1;50;19;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;119,695904576834
5185128;1;2;1;50;19;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;119,695904576834
5185128;1;4;1;50;19;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;119,695904576834
5185128;1;5;1;50;19;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;119,695904576834
5185129;1;1;1;50;19;1; ; ;2;6;CUARENTENA;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;99,3642942217797
5185129;1;2;1;50;19;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;99,3642942217797
5185129;1;3;1;50;19;1;3; ;2;3; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;19;99,3642942217797
5185130;1;1;1;50;19;1; ; ;1;6;DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;122,109276322373
5185130;1;2;1;50;19;1; ; ;1;6;DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;08;1;19;122,109276322373
5185130;1;3;1;50;19;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;19;122,109276322373
5185131;1;1;1;50;41;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;41;112,930937549063
5185131;1;2;1;50;41;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;41;112,930937549063
5185131;1;3;1;50;41;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;41;112,930937549063
5185132;1;1;1;50;41;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;41;126,449430632878
5185132;1;2;1;50;41;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;41;126,449430632878
5185133;1;1;1;50;41;1; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;41;180,818298214809
5185133;1;2;1;50;41;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;41;180,818298214809
5185133;1;3;1;50;41;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;41;180,818298214809
5185133;1;4;1;50;41;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;41;180,818298214809
5185133;1;6;1;50;41;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;41;180,818298214809
