DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5185047;1;1;1;70;54;1;12;40;4; ;2;12;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;81;55;55;1;1;08;8121;54;358,332476018446
5185050;1;2;1;70;54;1;24;48;4; ;2;24;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;84;32;32;1;2;08;8412;54;267,700153004711
5185051;1;2;1;70;54;1;12;40;4; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;84;84;1;1;08;4520;54;390,267690013576
5185055;1;2;1;70;54;1;20;48;4; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;56;53;53;1;2;08;5611;54;326,492553494932
5185091;1;2;1;70;68;1;5;48;1; ;2;16;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;42;58;95;1;1;08;4210;68;587,458942319382
5185092;1;5;1;70;68;1;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;15;53;80;1;1;08;1522;68;505,086142662639
5185095;1;3;1;70;68;1;8;48;1; ;2;8;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;97;45;1;1;08;4772;68;626,118442551302
5185096;1;2;1;70;68;1;52;48;1; ;2;52;1; ;5;1;1; ; ; ;1; ; ; ; ; ; ; ;2; ;1200000;1;1;92;33;21;1;2;08;9200;68;576,100793842777
5185097;1;1;1;70;68;1;20;48;1; ;2;20;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;49;98;98;1;2;08;4921;68;568,708408834679
5185120;1;1;1;70;19;1;14;40;1; ;2;14;4; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;56;45;53;1;2;08;5611;19;110,109174667604
5185122;1;3;1;70;19;1;20;48;1; ;2;20;1; ;4;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;56;53;53;1;2;08;5611;19;159,754262717446
5185126;1;4;1;70;19;1;104;25;8; ;2;4;8; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;120000;2; ;01;62;62;1;2;08;0161;19;127,343737941248
5185129;1;3;1;70;19;1;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877810; ; ; ;45; ;1;1;08;.;19;99,3642942217797
5185141;1;2;1;70;19;1;20;48;3; ;2;20;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;81;54;55;1;2;08;8121;19;147,938239418016
5185141;1;5;1;70;19;1;8;48;1; ;2;20;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;56;39;53;1;1;08;5611;19;147,938239418016
5185141;1;6;1;70;19;1;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ; ;39; ;1;1;08;.;19;147,938239418016
5185144;1;1;1;70;19;1;36;48;5; ;2;35;5; ;3;2;3; ; ; ; ;1; ; ; ; ; ; ;2; ;1500000;2; ;41;02;02;1;2;08;4111;19;159,627903741571
5185144;1;3;1;70;19;1;50;48;4; ;2;50;4; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;60;44;17;1;2;08;6010;19;159,627903741571
5185156;1;3;1;70;15;1;26;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877803; ; ; ;32; ;1;2;08;.;15;67,1595845493059
5185157;1;1;1;70;15;1;28;40;1; ;2;28;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;84;39;39;1;2;08;8415;15;101,934641312316
5185164;1;1;1;70;15;1;16;48;1; ;2;16;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;64;44;44;1;2;08;6412;15;147,416181182932
5185165;1;1;1;70;15;1;16;40;1; ;2;16;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;41;95;95;1;2;08;4111;15;163,294823383674
5185171;1;2;1;70;19;1;20;40;3; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;97;55;55;1;2;08;9700;19;141,941732146894
5185172;1;1;1;70;19;1;20;45;3; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;97;55;54;1;2;08;9700;19;113,134496095164
5185184;1;1;1;70;15;1;8;40;1; ;2;3;4; ;1;2;3; ; ; ; ;1; ; ; ; ; ; ;1;200000;877800;2; ;41;95;93;1;1;08;4111;15;173,807778384994
5185185;1;3;1;70;15;1;52;40;1; ;2;156;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;86;39;39;1;2;08;8610;15;76,7693991080967
5185199;1;1;1;70;17;1;48;48;1; ;2;48;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;82;38;38;1;2;08;8220;17;639,025905056022
5185200;1;1;1;70;17;1;20;48;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;55;54;54;1;2;08;5511;17;308,294084586912
5185212;1;2;1;70;23;1;18;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877803; ; ; ;39; ;1;2;08;.;23;233,278480953622
5185212;1;4;1;70;23;1;20;48;1; ;2;30;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;41;59;95;1;2;08;4111;23;233,278480953622
5185219;1;2;1;70;52;1;2;40;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1500000; ; ; ;19; ;1;1;08;.;52;111,270046070409
5185221;1;1;1;70;52;1;4;48;1; ;2;24;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;95;95;1;1;08;4111;52;183,475870142797
5185225;1;1;1;70;52;1;8;48;1; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;45;54;1;1;08;9700;52;207,807497417296
5185235;1;1;1;70;44;1;8;40;4; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;41;95;95;1;1;08;4112;44;99,2766625474352
5185237;1;2;1;70;52;1;24;48;1; ;2;12;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;96;97;59;1;2;08;9609;52;235,626153718072
5185258;1;3;1;70;17;1;18;18;1; ;2;16;2; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;84;02;02;1;2;08;8412;17;102,372065165306
5185259;1;3;1;70;17;1;18;48;1; ;2;18;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;1;1;56;03;53;1;2;08;5613;17;163,080136720533
5185266;1;2;1;70;17;1;52;48;1; ;2;25;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;86;07;07;1;2;08;8692;17;214,933597406595
5185274;1;2;1;70;17;1;48;48;3; ;2;80;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;97;59;59;1;2;08;9700;17;136,455508238527
5185274;1;3;1;70;17;1;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;56;45;53;1;2;08;5630;17;136,455508238527
5185280;1;4;1;70;52;1;25;40;4; ;2;25;5; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;47;05;41;1;2;08;4773;52;206,234530232907
