DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;CLASE;MES;DPTO;fex_c_2011;AREA
5185031;1;4;3;1;1;1;1;1;3;3; ; ; ; ;750000;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;1;2;2;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;1;08;15;117,464193295255;15
5185032;1;3;2;1;1;1;1;1;3;3; ; ; ; ;900000;2;2;1;2;1;1;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;1;08;15;116,575916374101;15
5185033;1;1;1;1;2;1;1;1;3;3; ; ; ; ;650000;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;1;2;1;2;2;2; ;1;3;4;3;1;3;1;1;1;2;1;1;01;1;08;17;133,770336139787;17
5185034;1;1;1;1;2;1;1;1;4;3; ; ; ; ;150000;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;3;4;2;1;3;2;1;1;2;1;1;01;1;08;17;152,890669644551;17
5185035;1;3;2;1;1;1;1;1;3;4; ; ; ;400000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;3;1;3;1;1;1;2;1;1;01;1;08;17;150,710249972805;17
5185038;1;4;1;1;1;1;1;1;3;1; ; ;98;350000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;1;08;17;135,668656846435;17
5185039;1;4;2;1;1;1;1;1;3;2; ;68000;98;300000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;3;3;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;1;08;17;163,080136720533;17
5185040;1;3;1;1;1;1;1;1;3;1; ; ;98;300000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;1;08;17;181,558522167554;17
5185041;1;4;2;1;1;1;1;1;3;1; ; ;98;98; ;1;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;3;3;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;1;08;17;215,720448798686;17
5185042;1;6;4;1;1;1;1;1;3;1; ; ;98;98; ;1;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;4;5;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;1;08;17;248,965125115728;17
5185047;1;1;1;1;2;1;1;1;3;4; ; ; ;100000; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;2;2; ;1;3;1;2;1;2;1;1;1;3;1;2;01;1;08;54;358,332476018446;54
5185048;1;2;1;1;1;1;1;1;3;4; ; ; ;200000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;3;1;2;1;2;1;1;1;3;1;2;01;1;08;54;354,636845802719;54
5185049;1;1;1;1;1;1;1;2;4;5; ; ; ;50000; ;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;5;2;1;1;2;1;1;3;1;2;01;1;08;54;354,636845802719;54
5185050;1;3;2;1;1;1;1;1;3;4; ; ; ;250000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;08;54;267,700153004711;54
5185051;1;2;2;1;1;1;1;1;4;5; ; ; ;300000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;3;3;2; ;1;2;1;4;1;1;1;1;1;3;1;2;01;1;08;54;390,267690013576;54
5185052;1;3;2;1;1;1;1;1;3;1; ; ;98;450000; ;2;1;1;1;1;1;1;2;1;2;1;2;1;1;2;2;1;1;1;2;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;3;1;2;01;1;08;54;323,233425472246;54
5185053;1;4;1;1;1;1;1;1;3;1; ; ;180000000;500000; ;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;1;2;1;2;2;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;08;54;361,738400300122;54
5185054;1;4;3;1;1;1;1;1;3;1; ; ;160000000;700000; ;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;1;1;2;1;2;1;4;4;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;08;54;367,797136464385;54
5185055;1;3;1;1;1;1;1;1;3;3; ; ; ; ;220000;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;3;2; ;1;1;1;2;1;2;1;1;1;3;1;2;01;1;08;54;326,492553494932;54
5185066;1;3;2;1;1;1;1;1;3;1; ; ;40000000;300000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;1;1;1;4;1;1;1;1;1;3;1;2;01;1;08;70;98,2634681328713;70
5185087;1;3;2;1;1;1;1;1;3;1; ; ;200000000;500000; ;2;1;1;2;1;1;1;2;2;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;08;15;117,464193295255;15
5185090;1;4;3;1;1;1;1;1;3;3; ; ; ; ;98;2;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;5;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;08;15;125,152904041335;15
5185091;1;4;2;1;1;1;1;1;3;1; ; ;99;600000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;1;4;1;3;1;1;1;3;1;1;01;1;08;68;587,458942319382;68
5185092;1;4;3;1;1;1;1;1;3;3; ; ; ; ;600000;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;8;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;08;68;505,086142662639;68
5185093;1;4;3;1;1;1;1;1;3;3; ; ; ; ;500000;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;3;4;2; ;1;1;1;2;1;2;1;1;1;3;1;1;01;1;08;68;576,100793842777;68
