DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
5185033;1;1;1;50;17; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;17;133,770336139787
5185033;1;2;1;50;17; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;133,770336139787
5185034;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;152,890669644551
5185035;1;1;1;50;17; ; ;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ;08;1;17;150,710249972805
5185035;1;2;1;50;17; ; ;2;6;ENFERMA;2;1; ; ; ; ; ; ; ; ; ; ;08;1;17;150,710249972805
5185035;1;3;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;150,710249972805
5185035;1;4;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;150,710249972805
5185038;1;1;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;135,668656846435
5185038;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;135,668656846435
5185039;1;1;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;1;11; ; ; ; ; ; ;08;1;17;163,080136720533
5185039;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;163,080136720533
5185039;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;163,080136720533
5185040;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;181,558522167554
5185040;1;2;1;50;17; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;08;1;17;181,558522167554
5185041;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;215,720448798686
5185041;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;215,720448798686
5185041;1;3;1;50;17; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;215,720448798686
5185042;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;17;248,965125115728
5185042;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;248,965125115728
5185042;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;248,965125115728
5185042;1;4;1;50;17; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;17;248,965125115728
5185047;1;1;1;50;54;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;54;358,332476018446
5185048;1;1;1;50;54; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;54;354,636845802719
5185049;1;1;1;50;54; ; ;1;6;VER TV;1; ; ; ; ; ; ; ; ; ; ; ;08;1;54;354,636845802719
5185050;1;1;1;50;54; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;267,700153004711
5185050;1;2;1;50;54;3; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;54;267,700153004711
5185051;1;1;1;50;54; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;54;390,267690013576
5185051;1;2;1;50;54;1; ;2;6;VER TV;2;2;2;1; ; ; ; ; ; ; ;1;08;1;54;390,267690013576
5185051;1;3;1;50;54; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;54;390,267690013576
5185052;1;1;1;50;54; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;54;323,233425472246
5185052;1;2;1;50;54; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;323,233425472246
5185052;1;3;1;50;54; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;323,233425472246
5185053;1;1;1;50;54; ; ;1;6;DESCANSANDO EN EL HOGAR ES PENSIONADO;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;361,738400300122
5185053;1;2;1;50;54; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;361,738400300122
5185054;1;1;1;50;54; ; ;1;6;DESCANSANDO EN EL HOGAR ES PENSIONADO;2;2;2;2;1;9; ; ; ; ; ; ;08;1;54;367,797136464385
5185054;1;2;1;50;54; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;54;367,797136464385
5185054;1;3;1;50;54; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;54;367,797136464385
