Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
3148589;1;3;1;2;1;4;1;1;5;4; ; ; ;98; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;63;2959,39226852899
3148590;1;4;3;2;1;4;1;1;5;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2; ;5;1;1;1;4;1;2;2;2;1;1; ;1;01;2;02;63;3500,48030569454
3148591;1;2;2;2;1;3;1;1;5;1; ; ;20000000;150000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;1;1; ;1;01;2;02;63;3297,14936148311
3148592;1;2;2;4;1;4;1;1;5;1; ; ;5000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;3;1;1;7;3;1;2;2;2;1;1; ;1;01;2;02;63;2933,9471637818
3148593;1;5;2;2;1;4;1;1;5;4; ; ; ;120000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;2;2; ;5;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;63;3039,98199145715
3148594;1;6;4;2;1;4;6;1;4;4; ; ; ;300000; ;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;3;2;2; ;7;1;1;1;4;1;2;2;2;2;3; ; ;01;2;02;63;4492,92434471386
3148595;1;4;1;2;1;3;1;1;4;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;1;3; ;1;01;2;02;63;3544,54392244018
3148596;1;1;1;2;1;1;1;1;3;4; ; ; ;200000; ;2;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2; ;4;1;2;1;4;1;1;2;1;1;3;3;1;01;2;02;63;3177,98247544573
3148597;1;4;2;2;1;1;1;1;4;4; ; ; ;150000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;1;1;3;3;1;01;2;02;63;3982,6210765989
3148598;1;2;2;2;1;4;1;1;5;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;3;1;1;1;2;1;2;2;2;1;3; ;1;01;2;02;63;3181,34172473886
3148599;1;3;2;2;1;1;1;1;4;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;2;1;2;2;1;1;1;3;1;01;2;02;63;3450,82214114999
3148600;1;3;2;1;1;1;1;1;3;1; ; ;18000000;100000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;7;1;1;1;2;1;1;1;1;1;1;3;1;01;2;02;63;5377,38891406674
3148601;1;4;2;1;1;1;1;1;3;1; ; ;20000000;200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;5;1;1;1;2;1;1;1;1;1;1;3;1;01;2;02;63;2408,99734811534
3148602;1;3;1;1;1;1;1;6; ;1; ; ;98;98; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;2;1;1;1;2;1;2;1;1;1;1;3;1;01;2;02;63;3297,14936148311
3148978;1;4;3;1;1;1;1;1;3;1; ; ;8000000;90000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;4;2;2; ;7;1;1;1;2;1;1;1;1;1;1;3;1;01;2;02;63;4689,28190684351
3148984;1;3;2;2;1;4;1;1;4;1; ; ;20000000;70000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;3;1;1;4;2;1;2;2;2;1;1; ;1;01;2;02;63;3203,42758019292
3148985;1;2;1;3;1;4;1;1;5;4; ; ; ;60000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2; ;2;1;1;4;2;1;2;2;2;1;1; ;1;01;2;02;63;3781,39480969705
3148986;1;5;3;2;1;4;1;1;5;1; ; ;30000000;200000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;63;3603,15399823574
3148987;1;2;1;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;1;2; ;1;01;2;02;63;3834,41222353473
3148988;1;5;2;3;1;1;1;1;3;1; ; ;60000000;400000; ;1;2;1;1;1;1;2;2;1;2;1;2;2;2;1;1;1;1;1;1;1;1;3;2;2; ;3;1;1;1;4;1;1;2;1;1;2;2;1;01;2;02;63;2697,09627652492
3148989;1;6;3;2;1;5;1;1;4;1; ; ;98;500000; ;2;2;1;1;1;1;2;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;4;2;2; ;4;1;1;1;4;1;2;2;2;1;4; ;1;01;2;02;63;3603,15399823574
3148990;1;3;2;2;1;5;1;1;4;3; ; ; ; ;300000;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;1;1;1;2;1;4;2;2; ;4;1;1;4;4;1;2;2;2;1;2; ;1;01;2;02;63;3177,98247544573
3148991;1;3;1;1;1;1;1;1;5;1; ; ;9000000;100000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;1;1;2;1;2;1;1;1;0;3;1;01;2;02;63;2884,90596463268
3148992;1;3;1;1;1;1;1;6; ;1; ; ;10000000;80000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;2;1;3;1;1;1;1;2;1;1;1;1;1;1;3;1;01;2;02;63;3976,38892221187
3148993;1;3;2;1;1;1;1;1;3;3; ; ; ; ;80000;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;1;1;1;1;1;3;1;01;2;02;63;3834,41222353473
3149320;1;2;1;2;1;4;3;1;4;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2; ;2;1;1;1;2;2;2;2;2;2; ; ; ;01;2;02;50;1544,00006753656
3149321;1;1;1;2;2;5;3;6; ;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;2;1;2;2;2;2;2; ; ;01;2;02;50;1346,03460885687
3149322;1;3;1;2;1;4;3;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;2;1; ; ;01;2;02;50;912,342357151615
3149323;1;3;1;2;1;5;3;1;4;1; ; ;30000000;500000; ;2;2;1;1;1;1;1;2;1;2;2;2;1;2;1;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;2;3; ; ;01;2;02;50;789,913813680307
3149327;1;2;2;2;1;4;3;1;5;3; ; ; ; ;300000;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;1;2;2; ;5;1;1;1;2;2;2;2;2;2; ; ; ;01;2;02;50;961,390122508987
3149328;1;3;2;2;1;4;3;1;4;1; ; ;20000000;150000; ;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;1;1;2;2; ;5;1;1;5;2;1;2;2;2;2;1; ; ;01;2;02;50;961,390122508987
3149329;1;4;1;2;1;4;3;1;4;1; ; ;8000000;120000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;5;2;1;2;2;2;2;1; ; ;01;2;02;50;1109,54827970741
3149330;1;5;4;2;1;4;3;1;5;1; ; ;8000000;100000; ;2;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;5;2;2; ;6;1;1;5;2;1;2;2;2;2;1; ; ;01;2;02;50;787,508530816295
3149331;1;4;2;2;1;4;3;1;4;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;5;2;1;2;2;2;2;1; ; ;01;2;02;50;755,938263308825
3149358;1;2;2;2;1;5;3;1;5;3; ; ; ; ;70000;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;6;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;50;2101,20773544691
3149360;1;4;2;2;1;4;3;1;4;4; ; ; ;200000; ;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;50;992,424592458287
3149361;1;1;1;2;1;4;3;1;4;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;4;1;2;1;2;2;2;2;0; ; ;01;2;02;50;914,622818866839
3149362;1;5;1;2;1;4;3;1;5;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;2;0; ; ;01;2;02;50;1109,54827970741
3149366;1;3;2;2;1;4;3;1;4;1; ; ;1000000;200000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;5;1;1;2;2;2;2;0; ; ;01;2;02;50;1690,51247799486
3149367;1;3;2;2;1;4;3;1;4;4; ; ; ;80000; ;2;2;1;2;1;2;2;2;2;2;1;1;2;1;2;2;1;1;1;2;2;1;4;2;2; ;4;1;1;5;1;1;2;2;2;2;0; ; ;01;2;02;50;1544,32740414646
3149380;1;4;2;2;2;4;3;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;50;1151,76976672326
3149382;1;3;1;2;1;4;3;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;2;3; ; ;01;2;02;50;1666,42861100786
3149383;1;5;2;2;1;4;3;1;4;4; ; ; ;500000; ;2;2;1;2;1;1;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;1;1;4;1;2;2;2;2;3; ; ;01;2;02;50;1133,6321466944
3149384;1;2;2;2;1;4;3;1;5;4; ; ; ;200000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;1;2;2; ;5;1;1;1;4;1;2;2;2;2;5; ; ;01;2;02;50;1117,79421635178
3149385;1;3;1;2;1;4;3;1;4;5; ; ; ;70000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2; ;3;1;1;5;1;1;2;2;2;2;1; ; ;01;2;02;50;1029,34122325195
3149386;1;5;3;2;1;4;3;1;5;5; ; ; ;200000; ;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;5;2;1;2;2;2;2;1; ; ;01;2;02;50;1495,48809973735
