Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3704584;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;1;04;47;86,6835820895484;47
3704584;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;04;47;86,6835820895484;47
3704584;1;3;1;90;2;1;2;2;2;2;1;2;2;2; ;7; ; ; ; ;8; ; ; ;1;04;47;86,6835820895484;47
3704584;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;04;47;86,6835820895484;47
3704584;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;04;47;86,6835820895484;47
3704585;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;12; ; ; ; ; ; ;1;04;47;139,722436787192;47
3704585;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;18; ;36; ; ; ; ; ; ;1;04;47;139,722436787192;47
3704586;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;8; ;7; ; ; ; ; ; ;1;04;47;86,6835820895484;47
3704586;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;12; ;7; ; ; ; ; ; ;1;04;47;86,6835820895484;47
3704586;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;04;47;86,6835820895484;47
3704586;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;04;47;86,6835820895484;47
3704587;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;14; ; ; ; ; ; ;1;04;18;89,4961025233837;18
3704588;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;04;15;81,2538624796451;15
3704588;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;1;04;15;81,2538624796451;15
3704589;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;20; ;18; ; ; ; ; ; ;1;04;15;108,287067608053;15
3704589;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;12; ;18; ; ; ; ; ; ;1;04;15;108,287067608053;15
3704590;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;04;15;94,3226020695098;15
3704590;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;48; ;5; ; ; ; ; ; ;1;04;15;94,3226020695098;15
3704590;1;3;1;90;2;1;2;1;2;2;2;2;2;1; ;7; ;2; ; ; ; ; ;2;1;04;15;94,3226020695098;15
3704591;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;04;15;87,5313305482688;15
3704591;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;40; ;20; ; ; ; ; ; ;1;04;15;87,5313305482688;15
3704591;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;04;15;87,5313305482688;15
3704592;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;4; ; ; ; ; ; ;1;04;15;105,233680432674;15
3704592;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;20; ;18; ; ; ; ; ; ;1;04;15;105,233680432674;15
3704592;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;04;15;105,233680432674;15
3704593;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;04;15;83,6756774773909;15
3704594;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;04;15;88,0520280606055;15
3704595;1;1;1;90;2;1;2;1;2;2;2;1;2;2; ;6; ;8; ; ; ;20; ; ;1;04;15;59,049109777889;15
3704595;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;35; ;60; ; ; ; ; ; ;1;04;15;59,049109777889;15
3704596;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;6; ; ; ; ; ; ;1;04;15;115,902676653352;15
3704596;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;30; ; ; ; ; ; ;1;04;15;115,902676653352;15
3704597;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;04;15;230,156678258588;15
3704597;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;04;15;230,156678258588;15
3704598;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;04;15;102,796627291345;15
3704599;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;04;15;69,1358506169951;15
3704599;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;04;15;69,1358506169951;15
3704600;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;04;15;62,5449119812648;15
3704600;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;04;15;62,5449119812648;15
3704601;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;04;15;102,755554896301;15
3704602;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;04;15;88,0520280606055;15
3704603;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;04;17;158,917503956949;17
