Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
2991563;1;3;3;1;1;1;1;3;3;3; ; ; ; ;50000;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;6;1;1;1;2;1;1;1;1;1;1;3;1;01;2;07;63;1156,79348587748
2991564;1;3;2;1;1;1;1;1;3;3; ; ; ; ;120000;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;1;1;1;1;1;3;1;01;2;07;63;1435,11055042282
2991565;1;3;3;1;1;1;1;2;3;1; ; ;7000000;80000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;4;1;1;1;2;1;1;1;1;1;1;3;1;01;2;07;63;1218,33152207756
2991566;1;4;3;1;1;1;1;1;3;1; ; ;21000000;180000; ;2;2;1;1;1;2;2;2;2;1;1;2;1;1;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;1;01;2;07;63;1356,61953838271
2991567;1;2;1;1;1;1;1;1;3;3; ; ; ; ;150000;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;2;3;1;01;2;07;63;1324,47251409665
2991574;1;4;2;2;1;3;6;1;5;4; ; ; ;98; ;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;63;1414,24901767491
2991575;1;2;1;2;1;4;1;1;4;4; ; ; ;150000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;4;2;1;2;2;2;1;1; ;1;01;2;07;63;1605,0305707168
2991576;1;4;2;2;1;1;1;1;4;1; ; ;150000000;400000; ;2;2;1;1;1;1;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;3;2;2; ;3;1;1;1;4;1;2;2;1;1;9;2;1;01;2;07;63;1271,13332650752
2991577;1;3;1;2;1;1;1;1;4;3; ; ; ; ;120000;2;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;2;2; ;1;1;1;1;4;1;2;2;1;1;2;3;1;01;2;07;63;1177,45410743413
2991578;1;3;2;1;1;1;1;1;3;1; ; ;8000000;90000; ;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;5;1;1;1;4;1;1;1;1;1;2;3;1;01;2;07;63;1395,2484308726
