DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
6,000,712;1;2;1;70;05;40;48;3,000,000;1;;2;60;1;;3;2;5;;1;1;;;1;;;;;;;;2;;68;40;44;1;2;6820;11;05;1122.9657371
6,000,723;1;3;1;70;05;4;48;908,526;1;;2;3;1;;2;2;2;;2;;;;;;;;;;;1;1;908526;47;45;45;1;1;4719;11;05;1030.8398585
6,000,728;1;2;1;70;05;5;48;908,526;1;;2;5;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;37;37;1;1;5611;11;05;1113.0131318
6,000,731;1;1;1;70;05;52;48;1,500,000;1;;2;156;1;;4;2;1;;2;;;;;;;;;;;1;2;;14;32;33;1;2;1410;11;05;957.26654047
6,000,731;1;3;1;70;05;20;48;1,500,000;1;;2;52;1;;9;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;2;8530;11;05;957.26654047
6,000,732;1;2;1;70;05;72;48;908,526;1;;2;72;1;;9;2;2;;2;;;;;;;;;;;1;2;;49;21;33;1;2;4921;11;05;1123.5859399
6,000,733;1;2;1;70;05;16;24;450,000;1;;2;96;6;;2;2;1;;2;;;;;;;;;;;1;2;;56;97;53;1;2;5619;11;05;1172.5590335
6,000,750;1;2;1;70;05;4;48;1,000,000;4;;2;4;4;;1;2;2;;2;;;;;;;;;;;1;1;3000000;13;92;92;1;1;1313;11;05;1237.5427907
6,000,750;1;5;1;70;05;104;24;250,000;1;;2;20;4;;1;2;1;;2;;;;;;;;;;;1;2;;73;53;16;1;2;7310;11;05;1237.5427907
6,000,754;1;3;1;70;05;48;48;2,500,000;1;;2;48;1;;9;2;1;;1;1;;;1;;1;;;;;;2;;85;13;13;1;2;8544;11;05;1053.9456714
6,000,776;1;1;1;70;05;12;8;908,526;1;;2;104;4;;1;2;2;;2;;;;;1;;;;;;;2;;90;55;17;1;1;9002;11;05;1130.6677527
6,000,808;1;1;1;70;05;8;60;908,526;1;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;68;95;55;1;1;6820;11;05;1477.2590895
6,000,809;1;1;1;70;05;4;48;908,526;1;;2;104;1;;8;2;1;;2;;;;;;;;;;;1;2;;85;38;55;1;1;8544;11;05;1073.2709003
6,000,810;1;3;1;70;05;4;48;908,526;1;;2;32;1;;3;2;1;;2;;;;;;;;;;;1;2;;41;38;95;1;1;4111;11;05;1081.5584497
