DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;clase;MES;ESC;DPTO;fex_c_2011
5178666;1;1;1;10;1;1;1;1975;45;1;6; ;3;2; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;70;1151,84103134684
5178666;1;2;1;10;2;2;12;1988;31;2;6; ;3;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;70;1151,84103134684
5178666;1;3;1;10;2;1;4;2019;1;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;70;1151,84103134684
5178667;1;1;1;10;1;2;9;1976;43;1;6; ;4;3; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;3;1; ; ;2;07;1;70;1276,35081800134
5178667;1;2;1;10;1;2;2;2004;16;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;07;8;70;1276,35081800134
5178667;1;3;1;10;1;2;10;2016;3;3;6; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;70;1276,35081800134
5178668;1;1;1;10;1;1;5;1974;46;1;6; ;2;3; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;70;1137,11028377347
5178668;1;2;1;10;2;2;12;1977;42;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;70;1137,11028377347
5178668;1;3;1;10;3;1;2;1999;21;3;6; ;6;1;1;1;2; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;07;8;70;1137,11028377347
5178669;1;1;1;10;1;1;9;1981;38;1;1;800_02;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;07;4;70;1301,72203951556
5178669;1;2;1;10;2;2;9;1982;37;2;6; ;2;3; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;70;1301,72203951556
