directorio;secuencia_p;orden;P6020;P6040;P6050;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P6090;P6100;P6110;P6160;P6170;P6210;P6210S1;P6220;ESC;mes;area;dpto;fex_c_2011
141413;1;2;1;27;2; ; ; ; ;1; ; ; ;1; ; ;1;3; ;1;2;5;11;2;11;07;52;52;277,215946638649
141413;1;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ;1;3; ;2;2;1;0; ;0;07;52;52;277,215946638649
141414;1;1;1;28;1; ; ;1; ; ; ; ; ; ; ; ;1;1;1;1;2;5;11;2;11;07;50;50;158,517315609957
141417;1;1;1;73;1; ; ; ; ; ; ; ; ;1; ; ;1;2;2;1;2;4;8; ;8;07;23;23;119,795171073949
141417;1;2;2;71;2; ; ; ; ; ; ; ; ;1; ; ;1;2;5;1;2;5;11;2;11;07;23;23;119,795171073949
141417;1;3;2;37;3; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;6;5;4;16;07;23;23;119,795171073949
141417;1;4;1;15;4; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;5;10;1;10;07;23;23;119,795171073949
141417;1;5;2;1;4; ; ; ; ; ; ; ; ; ; ; ;1;1;5; ; ; ; ; ; ;07;23;23;119,795171073949
141419;1;1;1;47;1; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;3;3; ;3;07;54;54;238,754242986026
141419;1;2;2;32;2; ; ; ; ; ; ; ; ;1; ; ;2; ; ;1;2;5;11;2;11;07;54;54;238,754242986026
141419;1;3;2;1;3; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;07;54;54;238,754242986026
141419;1;4;2;0;3; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;07;54;54;238,754242986026
141419;1;5;2;67;5; ; ; ; ; ; ; ; ;1; ; ;1;3; ;1;2;3;2; ;2;07;54;54;238,754242986026
141431;1;1;1;43;1; ;1;1; ; ; ; ; ;1; ; ;1;3; ;1;2;4;6; ;6;07;52;52;284,990397565309
141431;1;2;2;28;2; ; ; ; ; ;1;1; ;1; ; ;1;3; ;1;2;5;11;2;11;07;52;52;284,990397565309
141431;1;3;2;12;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;4;7; ;7;07;52;52;284,990397565309
141434;1;1;1;44;1; ; ; ; ; ; ; ; ; ; ;1;1;2;1;1;2;6;7;5;18;07;23;23;268,297309627194
141434;1;2;2;41;2; ; ; ; ; ; ; ; ; ; ;1;1;2;5;1;2;6;3;3;14;07;23;23;268,297309627194
141434;1;3;2;16;3; ; ; ; ; ; ; ;1; ; ; ;1;2;5;1;1;6;0;2;11;07;23;23;268,297309627194
141434;1;4;2;10;3; ; ; ; ; ; ; ;1; ; ; ;1;2;5;1;1;3;4; ;4;07;23;23;268,297309627194
141436;1;1;2;51;1; ;1;1; ;1; ; ; ; ; ; ;1;3; ;1;2;6;5;4;16;07;54;54;307,410751062968
141436;1;2;1;23;3; ; ; ; ;1; ; ; ; ; ; ;1;3; ;1;2;4;8; ;8;07;54;54;307,410751062968
141436;1;3;1;22;3; ;1; ; ;1; ; ; ; ; ; ;1;3; ;1;2;3;5; ;5;07;54;54;307,410751062968
141436;1;4;2;19;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;6;0;2;11;07;54;54;307,410751062968
141436;1;5;2;28;3; ;1;1; ;1; ; ; ; ; ; ;1;3; ;1;2;4;7; ;7;07;54;54;307,410751062968
141436;1;6;2;2;4; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ;07;54;54;307,410751062968
141442;1;1;2;71;1; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;2;4;8; ;8;07;11;11;4026,22826662073
141442;1;2;1;35;3; ; ;1;1; ; ; ; ; ; ; ;1;1;3;1;2;5;11;2;11;07;11;11;4026,22826662073
141442;1;3;1;60;5; ; ;1;1; ; ; ; ; ; ; ;2; ; ;1;2;4;7; ;7;07;11;11;4026,22826662073
141446;1;1;1;41;1; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;1;6;4;3;15;07;23;23;85,4559931979374
141446;1;2;2;27;2; ; ; ; ; ; ; ; ;1; ; ;1;1;1;1;2;6;2;3;13;07;23;23;85,4559931979374
141446;1;3;2;65;5; ; ; ; ; ; ; ; ;1; ; ;1;3; ;1;2;3;5; ;5;07;23;23;85,4559931979374
141446;1;4;1;68;5; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;6;2;3;13;07;23;23;85,4559931979374
141446;1;5;1;36;5; ; ; ;1; ; ; ; ;1; ; ;1;3; ;1;2;5;11;2;11;07;23;23;85,4559931979374
141446;1;6;2;31;5; ; ; ; ; ; ;1; ;1; ; ;1;3; ;1;2;6;2;3;13;07;23;23;85,4559931979374
141446;1;7;1;43;5; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;3;5; ;5;07;23;23;85,4559931979374
141447;1;1;1;65;1; ; ; ; ; ; ; ; ; ;1; ;1;1;2;1;2;6;3;2;14;07;11;11;1522,44563968487
141448;1;1;1;41;1; ;1; ;1; ; ;1; ; ; ; ;1;1;3;1;2;5;11;2;11;07;23;23;295,189246678643
141448;1;2;2;43;2; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;6;3;3;14;07;23;23;295,189246678643
141448;1;3;2;23;3; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;6;3;3;14;07;23;23;295,189246678643
141448;1;4;1;24;5; ; ; ;1; ; ; ; ; ; ; ;1;1;1;1;2;5;11;2;11;07;23;23;295,189246678643
141448;1;5;2;0;4; ; ; ; ; ; ; ; ; ; ; ;1;1;5; ; ; ; ; ; ;07;23;23;295,189246678643
141454;1;1;2;43;1; ; ; ; ; ; ; ; ;1; ; ;2; ; ;1;2;3;5; ;5;07;23;23;154,017679847793
141454;1;2;1;66;2; ; ; ; ; ; ; ; ;1; ; ;1;3; ;2;2;1;0; ;0;07;23;23;154,017679847793
141454;1;3;2;22;3; ; ;1; ; ; ;1; ;1; ; ;2; ; ;1;2;5;11;2;11;07;23;23;154,017679847793
141454;1;4;2;20;3; ; ; ; ; ; ;1; ;1; ; ;2; ; ;1;2;5;11;2;11;07;23;23;154,017679847793
141454;1;5;2;2;4; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;07;23;23;154,017679847793
141454;2;1;2;51;1; ; ;1; ; ; ;1; ;1; ; ;1;3; ;1;2;3;5; ;5;07;23;23;154,017679847793
141454;2;2;2;14;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;4;8; ;8;07;23;23;154,017679847793
141458;1;1;1;34;1; ; ;1;1; ; ; ; ; ; ; ;2; ; ;1;2;5;11;2;11;07;11;11;6079,68537074886
141458;1;2;2;35;2; ; ;1; ;1;1;1; ;1; ; ;2; ; ;1;2;5;11;2;11;07;11;11;6079,68537074886
141458;1;3;1;13;3; ; ; ; ; ; ; ;1; ; ; ;2; ; ;1;1;4;7; ;7;07;11;11;6079,68537074886
141458;1;4;2;11;3; ; ; ; ; ; ; ;1; ; ; ;2; ; ;1;1;3;3; ;3;07;11;11;6079,68537074886
141460;1;1;2;84;1; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;3;2; ;2;07;54;54;199,02378774455
141460;1;2;2;56;3; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;3;5; ;5;07;54;54;199,02378774455
141460;1;3;2;30;4; ; ; ;1; ; ; ; ; ; ; ;1;1;3;1;2;6;5;4;16;07;54;54;199,02378774455
141460;1;4;2;7;5; ; ; ; ; ; ; ; ; ; ; ;1;1;5;1;1;3;1; ;1;07;54;54;199,02378774455
141461;1;1;2;59;1; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;4;9; ;9;07;13;13;240,765155676087
141461;1;2;2;28;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;6;4;2;15;07;13;13;240,765155676087
141461;1;3;2;36;3; ; ; ; ; ;1; ; ; ; ; ;1;1;1;1;2;6;2;3;13;07;13;13;240,765155676087
141461;1;4;2;9;4; ; ; ; ; ; ; ; ; ; ; ;1;1;5;1;1;3;2; ;2;07;13;13;240,765155676087
141462;1;1;2;46;1; ; ; ; ; ; ; ; ;1; ; ;1;2;1;1;1;6;6;4;17;07;68;68;368,820264362427
141462;1;2;1;27;3; ; ; ; ; ; ; ;1;1; ; ;2; ; ;1;1;6;4;2;15;07;68;68;368,820264362427
141466;1;1;1;36;1; ;1;1; ; ; ;1; ;1; ; ;1;3; ;1;2;3;2; ;2;07;13;13;462,233587344441
141466;1;2;2;33;2; ;1; ; ; ; ;1; ; ; ; ;1;3; ;1;2;3;5; ;5;07;13;13;462,233587344441
141466;1;4;1;10;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;3;3; ;3;07;13;13;462,233587344441
141466;1;5;2;15;4; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;4;8; ;8;07;13;13;462,233587344441
141470;1;1;2;68;1; ;1; ;1; ; ; ; ; ; ; ;1;3; ;2;2;1;0; ;0;07;23;23;169,240456316206
141470;1;2;1;32;3; ;1;1; ; ; ;1; ; ; ; ;1;3; ;1;2;5;11;2;11;07;23;23;169,240456316206
141470;1;3;2;29;3; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;5;11;2;11;07;23;23;169,240456316206
141470;1;4;1;26;3; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;4;9; ;9;07;23;23;169,240456316206
141470;1;5;2;36;3; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;3;5; ;5;07;23;23;169,240456316206
141470;1;6;1;34;5; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;3;5; ;5;07;23;23;169,240456316206
141472;1;1;2;54;1; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;6;2;3;13;07;13;13;344,359913752522
141472;1;2;1;54;2; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;6;2;3;13;07;13;13;344,359913752522
141472;1;3;1;21;3; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;6;3;2;14;07;13;13;344,359913752522
141472;1;4;2;13;3; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;4;7; ;7;07;13;13;344,359913752522
141472;1;5;2;87;5; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;3;5; ;5;07;13;13;344,359913752522
141472;1;6;1;90;5; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;3;5; ;5;07;13;13;344,359913752522
141473;1;1;1;57;1; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;3;5; ;5;07;17;17;94,4780167961736
141473;1;2;2;51;2; ; ;1; ; ; ; ; ; ; ; ;1;3; ;1;2;3;5; ;5;07;17;17;94,4780167961736
141473;1;3;2;83;5; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;3;1; ;1;07;17;17;94,4780167961736
141476;1;1;2;50;1; ; ;1;1; ; ; ; ; ; ; ;1;3; ;1;2;4;7; ;7;07;11;11;4200,4361706036
141476;1;2;2;13;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;4;7; ;7;07;11;11;4200,4361706036
141480;1;1;1;65;1; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;4;6; ;6;07;66;66;254,578801096456
141480;1;2;2;55;2; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;3;5; ;5;07;66;66;254,578801096456
141480;1;3;1;40;3; ; ; ; ; ; ; ; ; ;1; ;1;3; ;2;2;1;0; ;0;07;66;66;254,578801096456
141480;1;4;1;39;3; ; ; ; ; ; ; ; ; ; ;1;1;3; ;2;2;1;0; ;0;07;66;66;254,578801096456
141480;1;5;1;31;2; ; ; ; ; ; ; ; ; ; ;1;1;1;3;1;2;3;5; ;5;07;66;66;254,578801096456
141483;1;1;2;55;1; ;1; ;1; ; ; ; ;1; ; ;1;1;1;1;2;5;11;2;11;07;68;68;438,036120726668
141483;1;2;1;50;2; ;1;1; ;1; ;1; ;1;1; ;1;1;5;1;2;5;11;2;11;07;68;68;438,036120726668
141483;1;3;1;16;5; ; ; ; ; ; ; ;1;1;1; ;1;1;5;1;1;4;8; ;8;07;68;68;438,036120726668
141483;1;4;1;11;5; ; ; ; ; ; ; ;1; ;1; ;1;1;5;1;1;3;4; ;4;07;68;68;438,036120726668
141485;1;1;1;26;1; ; ; ;1; ; ; ; ; ; ; ;2; ; ;1;2;6;2;3;13;07;13;13;396,061200103553
141485;1;2;2;21;2; ;1; ; ; ; ; ; ; ; ; ;1;3; ;1;2;6;2;3;13;07;13;13;396,061200103553
141485;1;3;1;1;3; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ;07;13;13;396,061200103553
141485;1;4;2;34;5; ; ; ; ; ; ;1; ; ; ; ;1;3; ;1;2;5;11;2;11;07;13;13;396,061200103553
141490;1;1;1;35;1; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;6;3;3;14;07;17;17;348,238767834975
141490;1;2;2;32;2; ; ; ; ;1; ; ; ; ; ; ;1;3; ;1;2;6;5;4;16;07;17;17;348,238767834975
141490;1;3;2;11;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;4;0; ;5;07;17;17;348,238767834975
141490;1;4;2;59;5; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;3;5; ;5;07;17;17;348,238767834975
141490;1;5;1;10;5; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;3;4; ;4;07;17;17;348,238767834975
141493;1;1;2;38;1; ;1;1; ; ; ; ; ;1; ; ;1;3; ;1;2;6;5;4;16;07;23;23;125,143322313925
141493;1;2;1;37;2; ; ;1; ;1; ; ; ;1; ; ;2; ; ;1;2;6;2;3;13;07;23;23;125,143322313925
141493;1;3;2;12;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;4;6; ;6;07;23;23;125,143322313925
141493;1;4;1;1;3; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ;07;23;23;125,143322313925
141493;1;5;2;68;5; ; ; ; ; ; ; ; ;1; ; ;1;3; ;1;2;3;5; ;5;07;23;23;125,143322313925
141497;1;1;1;37;1; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;5;11;2;11;07;66;66;291,01732862874
141497;1;2;2;22;2; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;4;6; ;6;07;66;66;291,01732862874
141503;1;1;2;48;1; ;1;1; ; ; ; ; ; ; ; ;1;1;2;1;2;6;2;3;13;07;13;13;456,753116446445
141503;1;2;1;12;3; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;4;6; ;6;07;13;13;456,753116446445
141503;1;3;2;25;3; ; ; ;1; ; ; ; ; ;1; ;1;3; ;1;2;5;11;2;11;07;13;13;456,753116446445
141503;1;4;1;26;5; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;5;11;2;11;07;13;13;456,753116446445
141503;1;5;2;3;4; ; ; ; ; ; ; ; ; ; ; ;1;3; ;2;1;1;0; ;0;07;13;13;456,753116446445
141504;1;1;2;44;1; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;6;3;3;14;07;68;68;516,427950491849
141504;1;2;1;45;2; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;5;11;2;11;07;68;68;516,427950491849
141504;1;3;1;16;3; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;5;10;1;10;07;68;68;516,427950491849
141504;1;4;1;2;3; ; ; ; ; ; ; ; ; ; ; ;1;1;5; ; ; ; ; ; ;07;68;68;516,427950491849
141505;1;1;2;43;1; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;4;7; ;7;07;66;66;354,134272957055
141505;1;2;1;18;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;6;0;2;11;07;66;66;354,134272957055
141505;1;3;1;17;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;2;4;7; ;7;07;66;66;354,134272957055
141506;1;1;1;24;1; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;6;2;2;13;07;11;11;4497,39201234387
141506;1;2;2;20;2; ; ;1; ; ; ; ; ; ; ; ;1;1;5;1;2;5;11;2;11;07;11;11;4497,39201234387
141506;1;3;1;0;3; ; ; ; ; ; ; ; ; ; ; ;1;1;5; ; ; ; ; ; ;07;11;11;4497,39201234387
141506;1;4;2;18;5; ; ; ; ;1; ; ; ; ; ; ;1;3; ;1;2;5;11;2;11;07;11;11;4497,39201234387
141507;1;1;2;50;1; ;1; ; ; ; ; ; ; ; ; ;1;3; ;1;2;3;5; ;5;07;13;13;399,957317268057
141507;1;2;1;52;2; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;4;8; ;8;07;13;13;399,957317268057
141507;1;3;2;10;5; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;4;6; ;6;07;13;13;399,957317268057
141510;1;1;1;49;1; ; ; ;1; ; ; ; ; ; ; ;2; ; ;1;2;3;5; ;5;07;66;66;271,689588605973
141512;1;1;1;31;1; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;6;5;4;16;07;17;17;261,746966214322
141512;1;2;2;30;2; ; ; ; ; ; ; ; ; ; ;1;1;1;3;1;1;6;4;2;15;07;17;17;261,746966214322
141512;1;3;1;0;3; ; ; ; ; ; ; ; ; ; ; ;1;1;5; ; ; ; ; ; ;07;17;17;261,746966214322
141513;1;1;1;38;1; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;6;5;4;16;07;68;68;381,806841844061
141513;1;2;2;30;2; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;6;3;3;14;07;68;68;381,806841844061
141513;1;3;1;10;3; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;3;4; ;4;07;68;68;381,806841844061
141513;1;4;1;2;3; ; ; ; ; ; ; ; ; ; ; ;1;1;5; ; ; ; ; ; ;07;68;68;381,806841844061
141514;1;1;1;49;1; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;4;8; ;8;07;13;13;329,450790936366
141514;1;2;2;44;2; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;5;11;2;11;07;13;13;329,450790936366
141514;1;3;1;22;3; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;1;6;4;2;15;07;13;13;329,450790936366
