DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;clase;MES;DSI;DSCY;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1;OFICIO2;DPTO;fex_c_2011
5178921;1;3;1;70;4;48;8; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;0161;01;62;61;23;2615,45287527882
5178921;1;4;1;70;8;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;1;0161;01;61;61;23;2615,45287527882
5178922;1;3;1;70;12;42;4; ;2;12;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;2;07;1;1;0161;01;61;61;23;2588,30759804676
5178923;1;3;1;70;72;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;250000; ; ;2;07;1;2;.; ;45; ;23;3887,37172348891
5178924;1;1;1;70;3;40;8; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;500000;2; ;2;07;1;1;0161;01;62;61;23;4267,26482945224
5178928;1;1;1;70;12;48;1; ;2;16;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;2;07;1;1;8512;85;55;55;23;2433,85786183033
5178942;1;1;1;70;8;50;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;2;07;1;1;4759;47;41;41;23;4218,54503955125
5178944;1;1;1;70;8;48;8; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;2;07;1;1;4723;47;62;41;23;3715,51458231501
5178946;1;6;1;70;16;48;1; ;2;16;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;2;4111;41;95;95;23;1964,15775282583
5179044;1;3;1;70;4;48;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;2;07;1;1;.; ;62; ;18;874,246405025961
5179051;1;1;1;70;2;52;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;300000;2; ;2;07;1;1;4111;41;95;95;18;469,275182090001
5179104;1;3;1;70;1;49;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;2;07;1;1;0161;01;61;61;18;838,136505784612
5179106;1;3;1;70;8;40;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;4789;47;60;45;18;538,839370503219
5179111;1;1;1;70;16;40;1; ;2;16;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;2;0141;01;62;62;18;979,973011947513
5179112;1;2;1;70;16;48;4; ;2;120;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;40000;700000;2; ;2;07;1;2;0161;01;61;61;18;768,572317371393
5179231;1;2;1;70;36;40;1; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;07;1;2;9700;97;45;54;76;2271,44232906834
5179400;1;9;1;70;6;48;3; ;2;6;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;2;07;1;1;9700;97;54;54;47;1094,49126439821
5179408;1;5;1;70;32;48;8; ;2;32;8; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;2;07;1;2;0122;01;60;62;47;870,093264234397
5179417;1;4;1;70;8;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;2;07;1;1;5221;52;98;21;47;1000,08481889718
