DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,fex_c_2011
590777,1,1,5,80,1,4,4,,3,,2,,,,,10,2,1,5,102.504.303.344.291
590777,1,5,5,80,2,,,,2,,2,,2,,.,,,1,5,102.504.303.344.291
590780,1,1,5,80,1,4,3,,2,,2,,,,,4,2,1,5,595.825.098.075.643
590781,1,2,5,80,1,1,2,,2,,2,,,,,9,2,1,5,789.962.525.434.962
590781,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,789.962.525.434.962
590783,1,1,5,80,1,4,3,,2,,2,,,,,4,2,1,5,736.455.838.096.397
590783,1,2,5,80,1,4,3,,2,,2,,,,,4,2,1,5,736.455.838.096.397
590783,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,736.455.838.096.397
590783,1,5,5,80,2,,,,2,,2,,2,,.,,,1,5,736.455.838.096.397
590783,1,6,5,80,2,,,,2,,2,,2,,.,,,1,5,736.455.838.096.397
590785,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,862.811.927.391.713
590786,1,2,5,80,1,1,5,,2,,2,,,,,4,2,1,5,834.536.791.075.913
590788,1,1,5,80,1,1,4,,3,,2,,,,,10,2,1,5,111.278.653.234.321
590788,1,2,5,80,1,4,7,,2,,2,,,,,4,2,1,5,111.278.653.234.321
590788,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,111.278.653.234.321
590788,1,4,5,80,1,4,3,,2,,2,,,,,4,2,1,5,111.278.653.234.321
590790,1,4,5,80,1,1,5,,2,,2,,,,,8,2,1,5,621.170.614.977.585
590791,1,1,5,80,1,3,4,,3,,2,,,,,10,2,1,5,836.173.995.958.644
590791,1,2,5,80,1,4,2,,2,,2,,,,,9,2,1,5,836.173.995.958.644
590791,1,3,5,80,1,3,2,,2,,2,,,,,9,2,1,5,836.173.995.958.644
590792,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,957.467.263.041.372
590796,1,2,5,80,1,4,2,,2,,2,,,,,9,2,1,5,107.712.590.789.309
590796,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,107.712.590.789.309
590798,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,786.178.193.459.372
590798,1,6,5,80,1,4,2,,2,,2,,,,,9,2,1,5,786.178.193.459.372
590799,1,2,5,80,1,4,2,,2,,2,,,,,9,2,1,5,79.573.604.594.446
