DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6910,P6910S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P760,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P9450,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6915S1,P6915,P6585S4A2,P6773,P6773S1,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,OCI,P6420S1,RAMA4D,OFICIO,RAMA2D,RAMA4DP8,RAMA2DP8,DPTO,fex_c_2011
590777,1,2,5,60,2,,,,,,,,,,174,1,,1,,120000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,433000,2,2,1,2,,,,,,,,,,,12,8,2,,8,,,1,10,18,2,,,,,,2,4,,,,1,2,2,24,1,1,,,,,,,,,1,1,96,1,,2,,,,,60,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,2,2,2,3,3,3,,1,,6412,37,64,,,5,102.504.303.344.291
590777,1,3,5,60,1,2,2,2,1,2,,2,2,2,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,950000,1,,1,,12,55,,.,55,,,1,8,18,2,,,,,,9,7,,,,1,2,2,3,1,1,,,,,,,,,2,1,24,4,,1,20,4,,400000,6,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,20,1,1,1,1,1,1,2,1,2,2,2,2,2,,1,1,,3,2,2,3,3,2,2,1,3,3,,1,,7512,39,75,,,5,102.504.303.344.291
590777,1,4,5,60,1,2,2,6,1,1,,2,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1400000,1,,1,,11,70,,.,70,,,1,8,18,2,,,,,,9,7,,,,1,1,2,18,1,1,,,,,,,,,1,1,24,1,,2,,,,,2,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,20,1,1,1,1,1,1,2,1,2,2,1,2,2,,1,2,,2,2,2,2,2,2,2,2,3,3,,1,,7421,2,74,,,5,102.504.303.344.291
590780,1,2,5,60,1,2,1,,1,1,,1,1,1,5,1,,1,,461500,2,,,2,,2,,2,,2,,,55000,31000,,2,2,,1,1,,2,2,2,,,2,,,,200000,2,2,1,2,,,,,,,,,,,11,48,,.,48,,,1,6,14,2,,,,,,6,7,,,,1,1,1,7,1,1,,,,,,,,,1,1,8,1,,2,,,,,1,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,1,24,1,1,1,1,1,1,2,2,2,1,2,2,2,,2,1,,3,3,3,3,3,3,2,3,3,8,,1,,1810,79,18,,,5,595.825.098.075.643
590781,1,1,5,60,2,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,400000,1,,1,,4,30,1,,30,,,2,,,,,,,,,3,6,,,,2,,,,1,,,,,,,,1,,2,1,3,4,,2,,,,,8,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,18,1,1,1,1,1,1,2,1,2,2,2,2,2,,1,1,,3,3,3,3,3,3,2,2,3,8,,1,,5262,45,52,,,5,789.962.525.434.962
590781,1,3,5,60,2,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,POR PORCENTAJE,,0,1,,1,,1,40,,.,40,,,2,,,,,,,,,2,7,,,,2,,,,1,,,,,,,,1,,2,1,3,4,,2,,,,,8,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,2,1,2,2,2,2,2,,1,1,,3,3,3,3,3,3,2,2,3,3,,1,,5272,85,52,,,5,789.962.525.434.962
590782,1,1,5,60,1,2,2,12,1,1,,1,1,1,24,1,,1,,461000,2,,,1,9000,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,1,,220000,,450000,2,2,1,2,,,,,,,,,,,12,48,,.,0,3,,1,7,17,2,,,,,,4,7,,,,2,,,,1,,,,,,,,1,,2,1,8,1,,2,,,,,1,,,,,,,,,,,,,2,2,2,,,,2,,,4,,,,2,,,,2,,,,,,,,,,,,,,,3,2,2,2,2,2,2,3,2,8,,1,,1511,77,15,,,5,699.078.951.928.497
590783,1,3,5,60,2,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,300000,1,,1,,7,60,,.,60,,,1,6,17,2,,,,,,6,7,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,2,1,2,2,2,2,2,,2,1,,3,3,2,2,3,3,2,2,3,8,,1,,1810,79,18,,,5,736.455.838.096.397
590785,1,1,5,60,2,,,,,,,,,,72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,450000,1,,3,,12,50,,.,50,,,2,,,,,,,,,1,5,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,1,2,2,2,1,2,2,,2,1,,3,3,3,3,3,3,2,2,3,8,,1,,5262,45,52,,,5,862.811.927.391.713
590785,1,5,5,60,2,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,0,0,,1,,6,60,,.,60,,,1,9,20,2,,,,,,1,6,,,,2,,,,1,,,,,,,,1,,2,1,1,4,,2,,,,,4,,,,,,,,,,,,,,2,,,,,,,,11,,,,2,,,,1,1,1,1,1,1,2,2,2,2,2,,2,1,,3,3,3,3,3,3,2,2,2,3,,1,,6421,38,64,,,5,862.811.927.391.713
