DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,CLASE,P5070,DPTO,ORDEN,AREA,fex_c_2011
590777,1,12,4,1,1,1,1,4,4,,,,700000,,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,1,5,1,5,102.504.303.344.291
590780,1,2,2,1,1,1,1,3,1,,,15000000,100000,,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,1,1,5,1,5,595.825.098.075.643
590781,1,3,2,1,1,1,1,3,4,,,,120000,,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,3,5,1,5,789.962.525.434.962
590782,1,2,2,1,1,1,1,1,3,,,,,100000,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,3,5,1,5,699.078.951.928.497
590783,1,2,2,1,1,1,1,4,1,,,18000000,150000,,1,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,1,5,1,5,736.455.838.096.397
590785,1,3,2,1,1,1,1,4,4,,,,150000,,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,5,1,5,862.811.927.391.713
590786,1,1,1,1,2,1,1,4,4,,,,60000,,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,3,2,2,1,2,1,1,1,2,2,1,1,1,2,5,1,5,834.536.791.075.913
590787,1,5,1,1,1,1,1,,4,,,,200000,,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,6,5,1,5,955.544.041.112.868
590788,1,5,4,1,1,1,1,4,1,,,30000000,200000,,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,1,5,1,5,111.278.653.234.321
590789,1,4,2,1,1,1,1,4,1,,,100000000,450000,,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,4,1,2,1,1,1,3,2,1,1,1,1,5,1,5,750.220.337.076.306
590790,1,5,3,1,1,1,1,3,1,,,60000000,250000,,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,1,1,5,1,5,621.170.614.977.585
590791,1,7,4,1,1,1,1,3,1,,,60000000,400000,,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,1,1,5,1,5,836.173.995.958.644
590792,1,2,2,1,1,1,1,3,1,,,50000000,150000,,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,1,4,1,1,1,1,1,2,2,1,1,1,1,5,1,5,957.467.263.041.372
590793,1,2,1,1,1,1,1,3,1,,,99,160000,,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,5,1,5,649.002.595.485.058
590794,1,3,1,1,1,1,1,1,1,,,30000000,200000,,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,1,5,1,5,111.686.593.554.475
590796,1,2,1,1,1,1,1,3,4,,,,150000,,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,1,1,5,1,5,107.712.590.789.309
590798,1,3,3,1,1,1,1,4,1,,,25000000,200000,,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,2,2,1,1,1,4,1,2,1,1,1,2,2,1,1,1,1,5,1,5,786.178.193.459.372
590799,1,1,1,1,1,1,1,1,1,,,30000000,200000,,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,2,5,1,5,79.573.604.594.446
590800,1,5,3,1,1,1,1,3,3,,,,,280000,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,3,2,1,1,1,1,5,1,5,870.845.916.486.194
590801,1,2,2,1,1,1,1,1,3,,,,,150000,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,3,2,1,1,1,1,5,1,5,997.477.108.920.958
590802,1,1,1,1,1,1,1,4,4,,,,160000,,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,1,5,1,5,876.877.990.529.433
590803,1,3,1,1,1,1,1,1,3,,,,,220000,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,1,5,1,5,12.556.506.635.923
590804,1,2,2,1,1,1,1,4,3,,,,,130000,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,5,1,5,635.045.029.761.432
590805,1,2,1,1,1,1,1,4,3,,,,,110000,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,1,5,1,5,637.908.622.898.362
590806,1,1,1,1,1,1,1,1,3,,,,,160000,1,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,1,5,1,5,719.741.693.995.875
590807,1,3,2,1,1,1,1,3,1,,,45000000,350000,,1,2,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,1,1,5,1,5,110.467.405.485.872
590808,1,4,3,1,1,1,1,4,3,,,,,150000,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,5,1,5,748.935.903.988.338
590809,1,3,2,1,1,1,1,4,1,,,25000000,180000,,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,1,5,1,5,954.575.952.317.198
590810,1,3,3,1,1,1,1,3,1,,,20000000,150000,,1,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,1,1,5,1,5,595.524.627.844.097
590811,1,3,2,1,1,1,1,3,3,,,,,580000,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,4,1,1,1,1,1,4,2,1,1,1,1,5,1,5,949.106.098.315.687
590812,1,3,1,1,1,1,1,1,1,,,70000000,450000,,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,1,1,1,1,5,1,5,726.179.636.793.056
590813,1,5,3,1,1,1,1,4,1,,,70000000,500000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,4,1,2,1,1,1,3,2,1,1,1,1,5,1,5,699.304.083.100.628
590814,1,4,2,1,1,1,1,3,1,,,99,500000,,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,4,1,1,1,1,1,3,2,1,1,1,1,5,1,5,903.680.083.128.235
590815,1,3,3,1,1,1,1,4,3,,,,,393000,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,1,3,2,1,1,1,1,5,1,5,711.441.926.058.611
590816,1,5,2,1,1,1,1,1,3,,,,,700000,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,4,2,1,1,1,1,5,1,5,719.741.693.995.875
590817,1,3,2,1,1,1,1,3,3,,,,,560000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,4,1,1,1,1,1,4,2,1,1,1,1,5,1,5,85.629.549.620.452
590818,1,4,3,1,1,1,1,4,3,,,,,300000,1,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,1,5,1,5,100.907.734.158.144
590819,1,3,2,1,1,1,1,1,4,,,,450000,,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,1,5,1,5,79.573.604.594.446
590820,1,4,3,1,1,1,1,3,3,,,,,450000,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,1,1,5,1,5,109.111.858.279.135
590821,1,3,1,1,1,1,1,3,1,,,65000000,450000,,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,1,3,5,1,5,837.935.981.944.073
590822,1,4,3,1,1,1,1,3,3,,,,,636000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,1,4,1,1,1,1,1,5,3,1,1,1,1,8,1,8,351.173.996.548.879
590823,1,4,3,1,1,1,1,3,4,,,,350000,,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,547.654.236.748.208
590824,1,4,3,1,1,1,1,3,3,,,,,880000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,2,1,4,1,1,1,1,1,5,3,1,1,1,1,8,1,8,522.013.377.494.497
590827,1,6,4,1,1,1,1,3,4,,,,450000,,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,1,8,1,8,325.042.919.782.297
