DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1994070;1;2;1;70;68;6;48;1; ;2;24;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8042;68;586,255405034647
1994073;1;1;1;70;68;4;54;5; ;2;16;4; ;1;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;41;53;55;1;1;5521;68;965,843749483675
1994087;1;3;1;70;68;10;48;1; ;2;10;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;65;1;1;6593;68;437,293595266552
1994088;1;3;1;70;68;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;68;481,021792407408
1994105;1;2;1;70;68;48;48;2; ;2;192;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;58;75;1;2;7522;68;601,526172155056
1994125;1;3;1;70;68;4;48;1; ;2;8;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;95;45;1;1;4521;68;464,124001786738
2005534;1;3;1;70;05;14;50;1; ;2;14;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;36;1;2;3611;05;1086,89192188621
2005539;1;3;1;70;05;199;50;1; ;2;199;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;2;5521;05;1014,79413973617
2005539;1;5;1;70;05;36;48;1; ;2;36;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;53;55;1;2;5521;05;1014,79413973617
2005540;1;1;1;70;05;36;50;3; ;2;36;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;05;924,180977054902
2005542;1;4;1;70;05;2;48;1; ;2;24;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;45;95;92;1;1;9214;05;748,626284161683
2005545;1;6;1;70;05;5;60;1; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;650000;2;98;98;60;1;1;6021;05;896,323112988895
2005546;1;2;1;70;05;24;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;92; ; ;1;2; ;05;693,271370266764
2005560;1;3;1;70;05;4;48;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;52;1;1;5233;05;875,635489858899
2005563;1;6;1;70;05;3;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;1159,57775554634
2005564;1;2;1;70;05;4;48;1; ;2;4;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;496900;2;79;79;93;1;1;9301;05;728,361844263177
2005575;1;3;1;70;05;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;05;935,286587039598
2005576;1;2;1;70;05;32;48;1; ;2;32;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;2;5521;05;1123,45283318076
2005578;1;2;1;70;05;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;960,762065271341
2005579;1;1;1;70;05;52;48;4; ;2;98;3; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;05;1024,83231873233
