Directorio;Secuencia_p;Orden;Regis;P7480;P7480s1;P7480s2;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s12;P7480s1a1;P7480s2a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;P7480s12a1;Clase;Dpto;Fex_c_2011
306984;2;1;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;7; ;7; ; ; ; ; ; ; ;2;23;1272,26736890908
306984;2;2;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;23;1272,26736890908
306985;2;1;90; ;1;2;1;2;1;2;2;2;2;2;2;2;4; ;35; ;15; ; ; ; ; ; ; ;2;23;1244,52489021901
306986;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;23;1126,05076893311
306986;2;2;90; ;1;2;1;2;2;2;2;2;2;2;2;2;5; ;35; ; ; ; ; ; ; ; ; ;2;23;1126,05076893311
306990;2;1;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;14; ;14; ; ; ; ; ; ; ;2;23;1125,21119779951
306990;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;36; ;14; ; ; ; ; ; ; ;2;23;1125,21119779951
306990;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;2;23;1125,21119779951
306991;2;1;90; ;1;2;1;2;2;2;2;2;2;2;2;2;7; ;36; ; ; ; ; ; ; ; ; ;2;23;1126,05076893311
306991;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;23;1126,05076893311
306995;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;23;1407,73795346715
306995;2;2;90; ;1;2;1;2;2;2;2;2;2;2;2;2;5; ;56; ; ; ; ; ; ; ; ; ;2;23;1407,73795346715
306995;2;3;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;23;1407,73795346715
306995;2;4;90; ;1;2;1;2;2;2;2;2;2;2;2;2;3; ;7; ; ; ; ; ; ; ; ; ;2;23;1407,73795346715
306996;2;1;90; ;1;2;1;2;1;2;2;2;2;2;2;2;7; ;56; ;12; ; ; ; ; ; ; ;2;23;1170,5833873946
306996;2;2;90; ;1;2;1;2;1;2;2;2;2;2;2;2;7; ;15; ;6; ; ; ; ; ; ; ;2;23;1170,5833873946
307591;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;50;584,816376466823
307591;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;28; ;25; ; ; ; ; ; ; ;2;50;584,816376466823
307592;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;50;567,668841943818
307592;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;32; ;25; ; ; ; ; ; ; ;2;50;567,668841943818
307592;2;3;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;567,668841943818
307593;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;2;50;440,850938003158
307593;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;48; ;15; ; ; ; ; ; ; ;2;50;440,850938003158
307593;2;5;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ; ;2;50;440,850938003158
307594;2;1;90; ;1;2;1;2;2;2;2;2;2;2;2;2;4; ;6; ; ; ; ; ; ; ; ; ;2;50;494,393795215354
