Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
306984;2;1;70;8;70;8; ;1;1;2;4;4; ;1;2;7; ;6; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;62;61;0118;01;23;1272,26736890908
306991;2;2;70;4;30;4; ;1;1;2;4;1; ;5;2;12;ESTABA TRABAJANDO EN OTRO PAIS Y NO TENIA CEDULA DE ESE PAIS;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;6640000;2;98;58;5521;55;23;1126,05076893311
306996;2;2;70;8;40;1; ;1;1;2;10;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;650000;2;45;62;0115;01;23;1170,5833873946
307612;2;2;70;4;48;1; ;1;1;2;56;3; ;1;2;3; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;45;54;9500;95;50;597,231424318808
310205;2;2;70;14;60;3; ;1;1;2;14;3; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2250000;2;54;54;9500;95;25;1810,15973268896
311752;2;1;70;13;36;8; ;1;1;2;13;4; ;1;2;8; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1152000;2;62;62;0140;01;23;1058,75737723294
311794;2;3;70;4;24;4; ;1;1;2;4;4; ;1;2;7; ;6; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;2;61;61;0118;01;23;662,594177922495
311794;2;5;70;4;24;4; ;1;1;2;4;4; ;1;2;7; ;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1300000;2;61;61;0118;01;23;662,594177922495
311807;2;3;70;8;40;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;23;716,492423515879
311810;2;1;70;3;40;8; ;1;1;2;3;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;1;200000;1;3000000;2;62;62;0118;01;23;1406,89838233355
311824;2;3;70;6;40;1; ;1;1;2;8;1; ;2;2;11; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;2;00;95;4521;45;23;1010,33504814318
