Directorio;Area;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Dpto;Orden;Fex_c_2011
304081;08;2;3;2;1;1;1;1;1;3;1; ; ;80000000;400000; ;1;1;1;2;1;1;1;2;2;2;1;1;2;1;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;4;3;1;01;08;1;484,044256119852
304084;08;2;4;2;1;1;1;1;1;3;1; ; ;98;800000; ;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;2;1;2;1;5;1;1;1;1;1;5;3;1;01;08;1;414,978557757342
304085;08;2;4;2;1;1;1;1;1;3;3; ; ; ; ;700000;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;2;2;1;2;1;2;1;4;1;1;1;1;1;5;3;1;01;08;1;520,1233860054
304086;08;2;4;3;1;1;1;1;1;3;2; ;380000;65000000;500000; ;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;1;1;1;4;1;1;1;1;1;4;3;1;01;08;1;514,587882527778
304087;08;2;3;1;1;1;1;1;1;3;3; ; ; ; ;500000;2;1;2;1;1;1;1;1;1;2;1;2;1;2;2;1;1;2;2;1;2;1;2;1;4;1;1;1;1;1;6;3;1;01;08;1;571,480644140492
304088;08;2;4;3;1;1;1;1;1;3;1; ; ;99;99; ;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;2;2;1;2;1;1;1;4;1;1;1;1;1;6;3;1;01;08;1;254,399103215634
304089;08;2;5;4;1;1;1;1;1;3;1; ; ;240000000;1500000; ;1;2;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;6;3;1;01;08;1;270,451438651345
304091;08;2;3;2;1;1;1;1;1;3;1; ; ;18000000;150000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;01;08;1;594,512224464402
304095;08;2;3;2;1;1;1;1;1;3;3; ; ; ; ;160000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;1;1;1;1;2;3;1;01;08;1;362,315943040037
304096;08;2;3;2;1;1;1;1;1;3;3; ; ; ; ;160000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;1;1;1;1;2;3;1;01;08;1;375,760407941828
