Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Fex_c_2011;Mes;Dpto
2969397;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;231,665037459272;06;73
2969397;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;73;231,665037459272;06;73
2969398;1;1;1;90; ;2;2;2;2;2;2;2;2;1;2; ; ; ; ; ; ; ; ;10; ;73;235,535506470169;06;73
2969398;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;73;235,535506470169;06;73
2969399;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;301,312007374586;06;73
2969399;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;24; ; ; ; ; ; ;73;301,312007374586;06;73
2969399;2;1;2;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;301,312007374586;06;73
2969399;2;2;2;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;12; ; ; ; ; ; ;73;301,312007374586;06;73
2969400;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;175,771861820795;06;73
2969401;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;73;370,091184698319;06;73
2969401;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;370,091184698319;06;73
2969401;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;370,091184698319;06;73
2969402;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;288,693818356267;06;73
2969403;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;73;175,771861820795;06;73
2969404;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;235,535506470169;06;73
2969404;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;73;235,535506470169;06;73
2969405;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;10; ; ; ; ;20; ; ; ;73;220,979775887375;06;73
2969405;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;73;220,979775887375;06;73
2969405;1;3;1;90; ;2;1;2;2;2;2;2;2;2;1; ;8; ; ; ; ; ; ; ;7;73;220,979775887375;06;73
2969406;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;25; ;45; ; ; ; ; ; ;73;244,283226477592;06;73
2969406;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;244,283226477592;06;73
2969406;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;244,283226477592;06;73
2969406;1;6;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;73;244,283226477592;06;73
2969406;1;7;1;90; ;2;1;2;1;2;2;2;2;2;2; ;6; ;4; ; ; ; ; ; ;73;244,283226477592;06;73
2969407;1;1;1;90; ;2;1;2;2;2;1;2;2;2;2; ;6; ; ; ;3; ; ; ; ;73;265,924491405072;06;73
2969407;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;265,924491405072;06;73
2969408;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;73;210,031315766594;06;73
2969410;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;73;210,031315766594;06;73
2969411;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;73;201,27605252437;06;73
2969411;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;73;201,27605252437;06;73
2969412;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;73;258,304833421365;06;73
2969413;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;14; ; ; ; ;12; ; ; ;73;175,771861820795;06;73
2969414;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;2;1;2;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;2;2;2;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;2;3;2;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;3;1;3;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;3;2;3;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969414;3;3;3;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;332,883568239243;06;73
2969415;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;73;178,506725573175;06;73
2969415;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;178,506725573175;06;73
2969415;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;178,506725573175;06;73
2969540;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;8; ; ; ; ;8; ; ; ;17;149,672704679135;06;17
2969540;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;7; ; ; ; ; ; ;17;149,672704679135;06;17
2969540;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;17;149,672704679135;06;17
2969541;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;188,472345602087;06;17
2969541;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;45; ;4; ; ; ; ; ; ;17;188,472345602087;06;17
2969541;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;17;188,472345602087;06;17
2969542;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;149,672704679135;06;17
2969542;1;2;1;90; ;2;1;2;1;1;2;2;2;2;2; ;4; ;6;4; ; ; ; ; ;17;149,672704679135;06;17
2969542;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;17;149,672704679135;06;17
2969543;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;7; ; ; ; ; ; ;17;280,149110469897;06;17
2969543;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;280,149110469897;06;17
2969545;1;1;1;90; ;2;1;2;2;1;2;1;2;2;2; ;28; ; ;16; ;48; ; ; ;17;138,188015262224;06;17
2969545;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;138,188015262224;06;17
2969546;1;1;1;90; ;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;16; ; ; ;17;118,759507127068;06;17
2969546;1;2;1;90; ;2;1;2;2;2;1;2;2;2;2; ;21; ; ; ;2; ; ; ; ;17;118,759507127068;06;17
