DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6410;P6640S1;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6585S4A2;P6773S1;P6775;P6772S1;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P9450;P6915S1;P6915;P6773;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011;P6643;P6643S1;P6643S2;P6644;P6644S1;P6644S2;P6643S3;P6644S3
2974776;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;36; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ;50000;1;480000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;10;2; ;10; ; ;1;14;16;2; ; ; ; ; ;1;5; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;8;4; ;2; ; ; ; ;36;2; ;2; ; ; ;1;30;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;4;4;2;2;3;3;3; ;45;52;1;4; ;5261; ; ;50000;06;63;651,988300249237; ; ; ; ; ; ; ; 
2974776;1;3;1;60;2;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;150000;1;400000;1; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;65; ;.;65; ; ;1;3;12;1;14;17;2; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;1;1;1;1;1;1;2;1;1;1;2; ;2;1; ;3;3;2;3;3;3;2;2;3;3; ;61;01;1;4; ;0121; ; ;150000;06;63;651,988300249237; ; ; ; ; ; ; ; 
2974778;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;24; ;1; ;500000;2; ; ;2; ;1; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;48; ;.;48; ; ;1;7;12;1;13;16;1;6;14;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;12;8; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;3;3;2;3;3;8; ;60;01;1;1; ;0117; ; ;500000;06;63;1008,79785750651; ; ; ; ; ; ; ; 
2974779;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;204; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;150000;1;1800000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;50; ;.;50; ; ;2; ; ; ; ; ; ; ; ;1;8; ;1;1;2;12;1;1; ; ; ; ; ; ; ; ;2;1;144;1; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;4;3;3; ;61;01;1;4; ;0111; ; ;150000;06;63;988,868974526934; ; ; ; ; ; ; ; 
2974790;1;1;1;60;2;1;2;1; ;2;1; ;1;1;1;6; ;1; ;567500;2; ; ;2; ;1;50000;2; ;2; ; ;62000;19000; ;2;2;2;1;1;42000;2;1;1;100000;2; ;2; ; ;250000; ;2;1;2;2; ; ; ; ;.; ; ; ; ; ;.;12;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;60; ;.;60; ; ;1;7;17;2; ; ; ; ; ;7;8; ;1;1;1;1;1; ; ; ; ; ; ; ;1; ;1;1;240;8; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;61;01;1;1;7491;0123;7491;74;617500;06;63;712,513150708182; ; ; ; ; ; ; ; 
2974790;1;2;1;60;2;1;2;1; ;2;1; ;1;1;1;1; ;1; ;350000;2; ; ;2; ;1;150000;2; ;2; ; ;62000;19000; ;2;2;1;1;1;42000;2;1;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;1;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;66; ;.;66; ; ;1;7;18;2; ; ; ; ; ;7;8; ;1;1;1;0;1; ; ; ; ; ; ; ;1; ;1;2; ; ; ;2; ; ; ; ; ;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;3; ;61;01;1;1;7491;0123;7491;74;500000;06;63;712,513150708182; ; ; ; ; ; ; ; 
2974791;1;1;1;60;2;1;2;1; ;2;1; ;1;1;1;36; ;1; ;567500;2; ; ;2; ;1;50000;2; ;2; ; ;62000;39700; ;2;2;2;1;1;42000;2;1;1;300000;2; ;1; ;225000;280000;280000;2;1;1;2; ; ; ; ;.; ; ; ; ; ;.;12;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;66; ;.;66; ; ;1;7;18;2; ; ; ; ; ;7;8; ;1;1;1;3;1; ; ; ; ; ;1; ; ; ;1;1;48;1; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;60;01;1;1;7491;0123;7491;74;617500;06;63;534,108372079548; ; ; ; ; ; ; ; 
2974791;1;2;1;60;2;1;2;1; ;2;1; ;1;1;1;36; ;1; ;320000;2; ; ;2; ;1;50000;2; ;2; ; ; ;39700; ;2; ;2;2;1;42000;2;1;2; ; ; ;2; ; ;220000;220000;2;1;1;2; ; ; ; ;.; ; ; ; ; ;.;12;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;66; ;.;66; ; ;1;7;18;2; ; ; ; ; ;7;8; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;3; ;61;01;1;1;7491;0123;7491;74;370000;06;63;534,108372079548; ; ; ; ; ; ; ; 
2974792;1;1;1;60;2;1;2;1; ;2;1; ;1;1;1;60; ;1; ;567500;2; ; ;2; ;2; ;2; ;2; ; ;62000;19000; ;2;2;2;1;1;42000;2;1;2; ; ; ;2; ; ;220000;220000;2;1;1;2; ; ; ; ;.; ; ; ; ; ;.;12;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;66; ;.;66; ; ;1;7;18;2; ; ; ; ; ;7;8; ;1;1;1;5;1; ; ; ; ; ; ; ;1; ;1;1;2;1; ;2; ; ; ; ;3;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;62;01;1;1;7491;0123;7491;74;567500;06;63;947,144144553981; ; ; ; ; ; ; ; 
2974792;1;4;1;60;2;1;2;1; ;2;1; ;1;1;1;11; ;1; ;567500;2; ; ;2; ;2; ;2; ;2; ; ;62000; ; ; ;2;2;1;2;45000;2;1;2; ; ; ;2; ; ;250000;250000;2;1;1;2; ; ; ; ;.; ; ; ; ; ;.;11;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;66; ;.;66; ; ;1;7;18;2; ; ; ; ; ;8;8; ;1;1;1;0;1; ; ; ; ; ; ; ;1; ;1;2; ; ; ;2; ; ; ; ; ;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;39;01;1;1;7491;0123;7491;74;567500;06;63;947,144144553981; ; ; ; ; ; ; ; 
2974796;1;1;1;60;2;1;1; ; ;1;1; ;1;2;2;9; ;1; ;440000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ;170000;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;60; ;.;60; ; ;1;7;12;1;13;18;2; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;18;3; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;3;2;2;2;3;8; ;62;01;1;8; ;0113; ; ;540000;06;63;472,454659127023; ; ; ; ; ; ; ; 
2974798;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;3; ;1; ;560000;2; ; ;2; ;1;50000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;98; ;.;98; ; ;1;3;12;1;13;18;2; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;3;8; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;1;1;1;1;1;2;2;2;2;2;2; ;2;1; ;3;3;3;3;3;3;2;2;3;8; ;62;01;1;8; ;0121; ; ;610000;06;63;1023,42706910884; ; ; ; ; ; ; ; 
2974810;1;1;1;60;2;1;2;1; ;2;1; ;1;1;1;6; ;1; ;566700;2; ; ;2; ;2; ;2; ;2; ; ; ;19700; ;2; ;2;2;1;23000;2;1;1;100000;2; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;70; ;.;70; ; ;1;6;12;1;13;17;2; ; ;7;8; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;2;2; ;2; ; ; ; ;1;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;2;2;2;3;2;3;3;7; ;62;01;1;1;7491;0123;7491;74;566700;06;63;901,323666446634; ; ; ; ; ; ; ; 
2974810;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;140000;1;1540000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;16;2; ;16; ; ;2; ; ; ; ; ; ; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;48;4; ;1;4;4; ;32000;0;1; ;1; ;1;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;3; ;77;15;1;4; ;1589; ; ;172000;06;63;901,323666446634; ; ; ; ; ; ; ; 
2974811;1;1;1;60;2;1;2;1; ;2;1; ;1;1;1;6; ;1; ;660000;2; ; ;2; ;1;30000;2; ;2; ; ; ;39400; ;2; ;1;2;1;22668;2;1;2; ; ; ;2; ; ; ;205000;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;70; ;.;70; ; ;1;6;12;1;13;17;2; ; ;7;8; ;1;1;1;6;1;1; ; ; ; ; ; ; ; ;1;1;60;4; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;6; ;62;01;1;1;7491;0123;7491;74;690000;06;63;867,970109908511; ; ; ; ; ; ; ; 
2974811;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;32000;1;192000;3; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;14;2; ;14; ; ;2; ; ; ; ; ; ; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;4; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;3; ;56;93;1;4; ;9301; ; ;32000;06;63;867,970109908511; ; ; ; ; ; ; ; 
2974812;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;150000;1;2000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;70; ;.;70; ; ;1;6;16;2; ; ; ; ; ;4;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;120;5; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;4;4;2;1;3;3;8; ;61;01;1;4; ;0121; ; ;150000;06;63;538,975340085986; ; ; ; ; ; ; ; 
2974812;1;4;1;60;2;2; ; ; ; ; ; ; ; ; ;200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;150000;1;2000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;50; ;.;50; ; ;2; ; ; ; ; ; ; ; ;4;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;3;3;4;3;2;2;1;3;3; ;61;01;1;4; ;0121; ; ;150000;06;63;538,975340085986; ; ; ; ; ; ; ; 
2974814;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;70000;1;250000;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;25;2; ;25; ; ;1;13;17;2; ; ; ; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;4; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;1;1;2;1;2;1;2;2;2;2;2; ;1;1; ;2;2;2;3;3;2;2;2;3;3; ;61;01;1;4; ;0111; ; ;70000;06;63;364,721064847563; ; ; ; ; ; ; ; 
2974814;1;6;1;60;2;2; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;180000;1;1000000;1; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;50; ;.;50; ; ;1;7;12;1;13;17;1;7;12;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;2;8; ;2; ; ; ; ;2;2; ;2; ; ; ;2; ; ; ;1;1;2;1;2;1;2;2;2;2;2; ;1;1; ;3;3;3;3;3;3;2;1;3;8; ;61;01;1;4; ;0140; ; ;180000;06;63;364,721064847563; ; ; ; ; ; ; ; 
2974815;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;18; ;1; ;480000;2; ; ;2; ;1;60000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;7; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;50; ;.;50; ; ;1;6;12;1;13;17;1;6;11;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;12;1; ;2; ; ; ; ;5;2; ;2; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;1;UNO CON PRESTAIONES SOCIALES;1;1; ;2;2;2;4;4;2;2;2;3;8; ;60;01;1;1; ;0113; ; ;540000;06;63;650,859437755658; ; ; ; ; ; ; ; 
