Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2983822;1;2;1;70;2;60;40;2; ;2;60;2; ;9;3; ; ; ; ; ; ; ;1; ; ; ;2; ;2;13;13;80;1;2;8012;06;19;1045,43470596348
2983835;1;1;1;70;2;24;40;1; ;2;24;1; ;2;8; ; ; ; ; ; ; ;1; ; ; ;2; ;2;53;53;80;1;2;8043;06;19;1737,37277692448
2983835;2;2;2;70;2;20;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;06;19;1737,37277692448
2983885;1;2;1;70;2;8;40;4; ;2;10;4; ;9;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;13;13;85;1;1;8532;06;19;2131,04234847404
2984071;1;2;1;70;2;2;48;1; ;2;8;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;39;74;1;1;7491;06;13;6142,59262231179
2984169;1;1;1;70;2;24;48;4; ;2;24;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;50;55;1;2;5521;06;41;1233,63420704873
2984169;1;2;1;70;2;24;48;1; ;2;24;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;53;55;1;2;5529;06;41;1233,63420704873
2984284;1;1;1;70;2;3;40;2; ;2;3;4; ;1;1; ; ; ; ;1; ; ; ; ; ; ;1;70000;2;55;61;01;1;1;0111;06;41;1004,92337441396
2984300;1;2;1;70;2;52;40;1; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;56;93;1;2;9301;06;41;1410,21833333848
2984327;1;2;1;70;2;22;48;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;41; ; ;1;2; ;06;68;2480,25103188359
2984342;1;2;1;70;2;22;48;4; ;2;22;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;75;1;2;7512;06;68;588,024243356455
2984781;1;2;1;70;2;3;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;06;19;1399,32604162951
2984804;1;1;1;70;2;25;48;4; ;2;2;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;680000;2;98;98;60;1;2;6022;06;19;1336,9778273357
2984811;1;1;1;70;2;6;44;3; ;2;10;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;28000;2;54;54;95;1;1;9500;06;19;1386,42051174329
2984847;1;3;1;70;2;4;48;3; ;2;3;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;19;545,955610828407
2984856;1;4;1;70;2;52;48;3; ;2;104;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;06;19;1630,18484511334
2984863;1;1;1;70;2;24;24;4; ;2;12;4; ;1;1; ; ; ; ; ;1; ; ; ; ; ;1;40000;2;95;95;45;1;2;4521;06;19;1029,56300736301
2984869;1;2;1;70;2;8;48;3; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;54;54;95;1;1;9500;06;19;1126,45224584134
2984915;1;2;1;70;2;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;03;03;01;1;1;0140;06;19;949,011602581968
2984923;1;3;1;70;2;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;19;1266,78495829731
2984926;1;1;1;70;2;24;24;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;150000;2;61;61;01;1;2;0116;06;19;1110,81710519957
2985188;1;2;1;70;2;2;24;8; ;2;3;8; ;4;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;53;53;01;1;1;0118;06;52;1537,61484479985
2985239;1;1;1;70;2;2;40;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;565600;2;95;95;45;1;1;4530;06;52;1164,45245263383
2985253;1;2;1;70;2;36;45;3; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;61;01;1;2;0125;06;52;1122,48567055464
2985288;1;6;1;70;2;8;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;52;1667,05020314314
2985335;1;2;1;70;2;26;40;4; ;2;26;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;61;01;1;2;0111;06;52;1340,49655062082
2985338;1;2;1;70;2;52;40;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;61;01;1;2;0111;06;52;1714,58302473021
2985359;1;2;1;70;2;3;40;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;61;61;01;1;1;0111;06;52;1250,46121233233
2985360;1;2;1;70;2;4;24;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;25000;2;61;56;93;1;1;9301;06;52;1616,97327163465
2985363;1;1;1;70;2;3;40;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;61;61;01;1;1;0140;06;52;1569,0458257088
2985368;1;2;1;70;2;13;40;1; ;2;13;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;61;01;1;1;0140;06;52;2436,46127828652
2985369;1;2;1;70;2;13;40;4; ;2;13;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0111;06;52;1459,34256262919
2985377;1;2;1;70;2;40;40;4; ;2;204;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;61;01;1;2;0111;06;52;1811,72243586456
2985377;1;3;1;70;2;26;24;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;61; ; ;1;2; ;06;52;1811,72243586456
2985378;1;1;1;70;2;13;54;1; ;2;13;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;98;98;60;1;1;6042;06;52;2404,33303467376
2985378;1;3;1;70;2;104;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;06;52;2404,33303467376
2985380;1;1;1;70;2;12;54;1; ;2;6;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;06;52;2987,83850082933
2985380;1;4;1;70;2;52;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;2; ;06;52;2987,83850082933
2985383;1;3;1;70;2;3;40;1; ;2;3;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;50;94;36;1;1;3699;06;52;1681,67850797828
2985384;1;2;1;70;2;8;24;3; ;2;26;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;06;52;2436,46127828652
2985392;1;1;1;70;2;52;40;3; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;45000;2;54;56;93;1;2;9301;06;52;1704,74906233466
2985392;1;2;1;70;2;4;16;3; ;2;21;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;1;5233;06;52;1704,74906233466
2985395;1;3;1;70;2;156;40;2; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;45;52;1;2;5236;06;52;2057,12893557003
2985421;1;1;1;70;2;2;40;4; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;61;61;01;1;1;0140;06;52;2346,42593999803
2985428;1;3;1;70;2;3;48;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;16000;2;61;61;01;1;1;0140;06;52;1374,43012909317
2985435;1;2;1;70;2;4;48;4; ;2;78;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;53;55;1;1;5521;06;52;2404,33303467376
2985440;1;2;1;70;2;26;40;1; ;2;26;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;16;16;74;1;2;7430;06;52;2659,34497263591
2985442;1;2;1;70;2;156;40;2; ;2;312;4; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;75;1;2;7512;06;52;2251,40775783873
2985442;1;3;1;70;2;7;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;52;2251,40775783873
2985444;1;1;1;70;2;2;45;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;61;61;01;1;1;0140;06;52;1469,17652502475
2985444;1;2;1;70;2;26;24;3; ;2;21;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;85;1;2;8511;06;52;1469,17652502475
2985604;1;2;1;70;2;6;30;3; ;2;40;3; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;54;54;95;1;1;9500;06;54;389,84981584051
2985605;1;4;1;70;2;4;40;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;06;54;1410,4639619064
2985612;1;2;1;70;2;1;48;8; ;2;1;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;62;62;01;1;1;0115;06;54;1417,29733300302
2985642;1;2;1;70;2;20;48;3; ;2;11;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;06;54;897,840437573309
2985671;1;1;1;70;2;4;45;1; ;2;4;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;95;45;1;1;4521;06;54;801,540701364737
2985710;1;3;1;70;2;1;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;06;54;1006,81024303144
2985710;1;4;1;70;2;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;06;54;1006,81024303144
2986842;1;7;1;70;2;32;48;4; ;2;48;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;2;7493;06;18;1696,59395477632
2986844;1;5;1;70;2;24;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;2; ;06;18;638,77567873183
2986845;1;2;1;70;2;8;48;1; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;61;01;1;1;0140;06;18;2216,68367314864
2986930;1;2;1;70;2;8;48;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;61; ; ;1;1; ;06;18;1284,21688862137
2986931;1;3;1;70;2;2;40;4; ;2;3;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;95;95;45;1;1;4521;06;18;1193,98559952558
2987200;1;1;1;70;2;24;48;1; ;2;32;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;54;95;1;2;9500;06;08;4397,79225434829
2987253;1;3;1;70;2;20;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;06;08;4767,66100993263
2988439;1;3;1;70;2;21;40;1; ;2;36;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;33;52;1;2;5211;06;25;2425,43877789453
2988464;1;2;1;70;2;51;48;1; ;2;52;3; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;06;25;3457,27765331526
2988485;1;2;1;70;2;1;48;1; ;2;1;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;34;66;1;1;6602;06;25;2327,64785182975
2988488;1;2;1;70;2;3;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;06;25;1240,31668159913
