Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
2969397;1;4;1;1;1;1;1;1;3;1; ; ;35000000;350000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;2;01;73;06;73;231,665037459272
2969398;1;4;2;1;1;1;1;1;3;3; ; ; ; ;400000;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;2;01;73;06;73;235,535506470169
2969399;1;3;2;1;1;1;1;1;3;4; ; ; ;300000; ;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;2;01;73;06;73;301,312007374586
2969399;2;2;2;1;1;1;1;1;3;4; ; ; ;400000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;2; ; ; ; ; ; ; ; ; ; ;2;01;73;06;73;301,312007374586
2969400;1;4;1;1;1;1;1;1;3;1; ; ;35000000;250000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;3;3;2;01;73;06;73;175,771861820795
2969401;1;3;3;1;1;1;1;1;3;1; ; ;55000000;250000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;2;01;73;06;73;370,091184698319
2969402;1;1;1;1;2;1;1;6; ;3; ; ; ; ;100000;2;2;1;2;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;4;1;2;1;1;1;2;3;2;01;73;06;73;288,693818356267
2969403;1;2;1;1;2;1;1;1;3;3; ; ; ; ;500000;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;4;1;4;1;1;1;1;1;2;3;2;01;73;06;73;175,771861820795
2969404;1;4;1;1;1;1;1;1;3;1; ; ;35000000;250000; ;1;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;1;2;1;1;1;1;1;1;3;2;01;73;06;73;235,535506470169
2969405;1;3;2;1;1;1;1;1;3;3; ; ; ; ;180000;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;3;2;2; ;3;1;1;1;2;1;1;1;1;1;1;3;2;01;73;06;73;220,979775887375
2969406;1;4;3;1;1;1;1;1;3;3; ; ; ; ;490000;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;5;2;2; ;8;1;1;1;4;1;1;1;1;1;2;3;2;01;73;06;73;244,283226477592
2969407;1;4;2;1;1;1;1;1;3;1; ; ;90000000;300000; ;1;1;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;3;1;01;73;06;73;265,924491405072
2969408;1;6;1;1;1;1;1;1;4;1; ; ;80000000;250000; ;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;3;3;1;01;73;06;73;210,031315766594
2969410;1;5;1;1;1;1;1;1;3;1; ; ;100000000;450000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;2; ;2;2; ;1;1;2;1;4;1;1;1;1;1;3;3;1;01;73;06;73;210,031315766594
2969411;1;3;2;1;1;1;1;1;3;2; ;70000;50000000;450000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;1;01;73;06;73;201,27605252437
2969412;1;1;1;1;1;1;1;6; ;3; ; ; ; ;150000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;2;1;2;1;2;1;1;1;3;3;1;01;73;06;73;258,304833421365
2969413;1;1;1;1;1;1;1;6; ;3; ; ; ; ;140000;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;3;3;1;01;73;06;73;175,771861820795
2969414;1;4;3;1;2;1;1;1;3;1; ; ;45000000;250000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;2;1;1;1;1;1;2;3;2;01;73;06;73;332,883568239243
2969414;2;1;1;1;2;1;1;1;3;4; ; ; ;200000; ;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;2; ; ; ; ; ; ; ; ; ; ;2;01;73;06;73;332,883568239243
