Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011;Area
3417631;1;3;1;1;1;1;1;1;3;3; ; ; ; ;90000;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;2;1;1;1;2;1;1;1;1;1;1;3;2;01;1;03;47;162,769803763164;47
3417634;1;2;1;1;1;1;1;3;3;3; ; ; ; ;350000;2;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;1;2;1;3;2;2; ;4;1;2;1;4;1;1;1;1;1;4;7;1;01;1;03;47;207,199201985095;47
3417635;1;4;3;1;1;1;1;1;3;1; ; ;50000000;350000; ;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;2;01;1;03;47;154,171064460392;47
3417636;1;3;2;1;1;1;1;1;3;5; ; ; ;300000; ;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;3;3;2;01;1;03;47;159,511480507323;47
3417637;1;5;1;1;1;1;1;1;3;3; ; ; ; ;350000;1;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;4;7;2;01;1;03;47;154,258978282372;47
3417638;1;3;1;1;1;1;1;1;3;3; ; ; ; ;400000;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;4;7;1;01;1;03;47;146,093077793992;47
3417639;1;3;2;1;1;1;2;4;3;3; ; ; ; ;300000;2;2;1;1;1;2;2;2;1;1;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;2;01;1;03;47;178,297778744035;47
3417640;1;2;1;1;2;1;1;1;3;4; ; ; ;200000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;2;01;1;03;47;167,013842374543;47
3417640;2;2;1;1;2;1;1;1;3;4; ; ; ;200000; ;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;2;2;1;4;1;1;1;1;1;3;3;2;01;1;03;47;167,013842374543;47
3417641;1;3;2;1;1;1;2;1;3;4; ; ; ;200000; ;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;4;1;1;1;2;1;1;1;1;1;2;3;2;01;1;03;47;187,849707726718;47
3417642;1;2;1;1;1;1;1;1;3;3; ; ; ; ;400000;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;4;7;1;01;1;03;47;152,530605078386;47
3417643;1;4;3;1;1;1;1;1;3;3; ; ; ; ;380000;2;2;1;2;1;1;2;2;1;1;2;1;2;2;1;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;3;3;1;01;1;03;47;178,289783911024;47
3417644;1;4;3;1;1;1;1;1;3;3; ; ; ; ;800000;1;2;1;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;4;3;1;01;1;03;47;169,914609424271;47
3417645;1;4;1;1;1;1;1;1;3;1; ; ;110000000;800000; ;1;2;1;2;1;2;2;1;1;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;4;3;1;01;1;03;47;154,258978282372;47
