DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,DSCY,OFICIO1,OFICIO2,RAMA2D_D,RAMA4D_D,DPTO,fex_c_2011
803743,1,1,1,70,8,30,48,4,,2,30,4,,5,6,,,,,,,,,,1,,2,,2,1,2,95,95,45,4521,8,515.307.629.090.438
803743,1,3,1,70,8,24,48,1,,2,30,1,,4,8,,,,,,,,,,1,,2,,2,1,2,77,77,15,1551,8,515.307.629.090.438
803762,1,5,1,70,8,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,39,,,,8,661.879.563.189.928
803763,1,5,1,70,8,8,48,4,,2,8,1,,9,6,,,,,,,,,,1,,2,,2,1,1,98,98,60,6022,8,569.183.058.512.141
803767,1,6,1,70,8,32,48,4,,2,32,2,,9,6,,,,,,,,,,1,,2,,2,1,2,6,6,75,7512,8,36.077.383.612.073
803769,1,4,1,70,8,24,60,1,,2,104,1,,4,1,,,,,,,,,,1,,2,,2,1,2,95,37,93,9301,8,582.166.747.855.218
803772,1,2,1,70,8,4,48,1,,2,4,1,,9,3,,,,,1,,,,,,,1,750000,2,1,1,39,39,52,5211,8,325.740.467.649.786
803774,1,2,1,70,8,5,48,1,,2,5,1,,6,1,,,,,,,,,,1,,1,250000,2,1,1,79,79,18,1810,8,567.277.111.466.711
803774,1,3,1,70,8,40,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,85,,,,8,567.277.111.466.711
803779,1,2,1,70,8,32,48,1,,2,32,1,,2,7,,,,,,,,,,1,,2,,2,1,2,32,38,64,6422,8,388.844.421.261.117
803781,1,2,1,70,8,250,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,32,,,,8,393.409.041.455.633
803785,1,1,1,70,8,3,72,4,,2,3,4,,1,1,,,,,,,,,,1,,2,,2,1,1,98,98,60,6022,8,413.204.075.929.107
803789,1,4,1,70,8,24,48,1,,2,24,1,,7,6,,,,,,,,,,1,,2,,2,1,2,59,59,85,8511,8,392.456.067.932.918
803795,1,2,1,70,8,16,48,1,,2,16,1,,9,4,,,,,,,,,,1,,2,,2,1,2,39,39,52,5261,8,33.840.254.490.975
803796,1,5,1,70,8,12,48,1,,2,12,1,,9,6,,,,,,,,,,1,,2,,2,1,1,17,17,92,9214,8,437.996.638.523.672
803802,1,2,1,70,8,8,48,1,,2,8,1,,9,2,,,,,,,,,,1,,2,,2,1,1,45,45,15,1511,8,504.882.843.382.208
803804,1,4,1,70,8,20,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,58,,,,8,45.624.866.038.479
803808,1,2,1,70,8,24,60,1,,2,24,1,,6,4,,,,,,,,,,1,,2,,2,1,2,54,54,55,5511,8,434.384.991.851.871
803816,1,1,1,70,8,12,48,4,,2,12,4,,1,6,,,,,,,,,,1,,2,,2,1,1,93,93,50,5020,8,380.568.870.594.204
803816,1,5,1,70,8,12,48,1,,2,12,1,,9,6,,,,,,,,,,1,,2,,2,1,1,45,45,15,1511,8,380.568.870.594.204
803822,1,1,1,70,8,12,48,1,,2,12,1,,9,6,,,,,,,,,,1,,2,,2,1,1,39,39,60,6042,8,44.244.962.977.026
803823,1,3,1,70,8,24,48,1,,2,24,1,,9,1,,,,,,,,,,1,,2,,2,1,2,39,39,27,2710,8,368.779.165.875.082
803831,1,2,1,70,8,20,48,1,,2,24,1,,9,4,,,,,,,,,,1,,2,,2,1,2,45,45,24,2423,8,358.867.889.075.299
803841,1,3,1,70,8,156,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,55,,,,8,649.466.414.024.688
803872,1,2,1,70,8,12,48,1,,2,16,1,,9,4,,,,,,,,,,1,,2,,2,1,1,3,3,45,4542,8,528.428.672.601.502
803872,1,4,1,70,8,20,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,85,,,,8,528.428.672.601.502
803875,1,3,1,70,8,6,60,4,,2,7,4,,1,1,,,,,,,,,,1,,2,,2,1,1,98,98,60,6031,8,248.829.996.169.842
803875,1,5,1,70,8,50,48,1,,2,54,1,,9,1,,,,,,,,,,1,,2,,2,1,2,32,59,85,8511,8,248.829.996.169.842
803879,1,2,1,70,8,3,48,3,,2,4,3,,1,1,,,,,,,,,,1,,1,180000,2,1,1,54,54,95,9500,8,519.634.847.519.453
803886,1,2,1,70,8,2,48,1,,2,2,1,,6,4,,,,,,,,,,1,,2,,2,1,1,2,2,45,4542,8,482.027.255.799.129
803890,1,3,1,70,8,32,72,1,,2,32,4,,1,4,,,,,,,,,,1,,2,,2,1,2,84,84,50,5020,8,368.779.165.875.082
803894,1,3,1,70,8,16,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,34,,,,8,8.595.240.409.696
803902,1,3,1,70,8,20,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,34,,,,8,603.084.929.166.455
803915,1,2,1,70,8,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,2,,,,8,513.513.741.300.243
803917,1,3,1,70,8,20,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,21,,,,8,325.458.234.126.454
803925,1,4,1,70,8,4,60,1,,2,4,1,,7,4,,,,,,,,,,1,,2,,2,1,1,58,58,52,5235,8,454.296.420.779.962
803925,1,5,1,70,8,8,60,1,,2,8,1,,7,4,,,,,,,,,,1,,2,,2,1,1,58,58,19,1921,8,454.296.420.779.962
803937,1,2,1,70,8,5,48,1,,2,5,1,,9,4,,,,,,,,,,1,,2,,2,1,1,21,59,85,8532,8,485.087.808.908.734
803941,1,4,1,70,8,20,48,3,,2,20,3,,1,4,,,,,,,,,,1,,2,,2,1,2,54,54,95,9500,8,482.309.919.629.769
803942,1,3,1,70,8,8,60,1,,2,2,1,,6,1,,,,,,,,,,1,,2,,2,1,1,80,81,36,3611,8,385.513.647.238.952
803942,1,4,1,70,8,4,48,3,,2,4,3,,1,1,,,,,,,,,,1,,2,,2,1,1,54,54,95,9500,8,385.513.647.238.952
803956,1,2,1,70,8,24,72,1,,2,24,1,,7,4,,,,,,,,,,1,,2,,2,1,2,58,58,52,5249,8,560.967.812.997.303
803958,1,4,1,70,8,16,48,1,,2,16,1,,6,1,,,,,,,,,,1,,2,,2,1,2,32,32,52,5249,8,476.956.074.021.966
803961,1,3,1,70,8,20,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,45,,,,8,646.405.860.915.083
803967,1,3,1,70,8,48,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,2,,,,8,60.447.693.699.613
803973,1,3,1,70,8,6,48,1,,2,7,1,,7,4,,,,,,,,1,,,,1,600000,2,1,1,39,39,52,5224,8,412.743.318.497.003
