Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3486779;1;1;1;80;73;1;4;6; ;2; ;2; ; ;2; ;1;1;1;06;73;276,520883846732
3486779;1;2;1;80;73;1;4;9;POR LA FALTA DE ESTUDIOS;2; ;2; ; ; ; ;8;2;1;06;73;276,520883846732
3486781;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;73;284,182861004665
3486782;1;2;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;73;162,09140604283
3486783;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;73;134,521829521835
3486784;1;2;1;80;73;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;73;318,211380336282
3486784;1;5;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;73;318,211380336282
3486789;1;3;1;80;73;1;2;9;ESTA EMBARAZADA;1;1;2; ; ;2; ;9;1;1;06;73;364,393216669874
3486789;1;7;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;73;364,393216669874
3486790;1;1;1;80;73;1;4;4; ;3; ;2; ; ; ; ;10;2;1;06;73;501,016677004217
3486791;1;4;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;73;472,890937879266
3486792;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;73;499,026087031537
3486793;1;2;1;80;73;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;73;250,508338502109
3486794;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;155,813599274371
3486794;1;4;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;52;155,813599274371
3486795;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;52;132,326015807274
3486797;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;207,978285376885
3486798;1;2;1;80;52;1;1;8; ;2; ;2; ; ; ; ;9;2;1;06;52;192,904208710412
3486799;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;150,339670808181
3486802;1;1;1;80;52;1;2;4; ;2; ;2; ; ; ; ;8;2;1;06;52;132,126588730171
3486802;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;8;2;1;06;52;132,126588730171
3486803;1;1;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;06;52;219,711431548609
3486803;1;2;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;06;52;219,711431548609
3486805;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;52;159,656281615029
3486805;1;3;1;80;52;1;1;4; ;2; ;2; ; ; ; ;4;2;1;06;52;159,656281615029
3486806;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;204,242655763722
3486808;1;3;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;06;52;127,653839114162
3486808;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;127,653839114162
3486811;1;5;1;80;52;1;2;4; ;2; ;2; ; ; ; ;4;2;1;06;52;179,746351511904
3486812;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;52;204,242655763722
3486812;1;4;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;52;204,242655763722
3486813;1;1;1;80;52;1;4;8; ;2; ;2; ; ; ; ;1;2;1;06;52;147,028074389672
3486815;1;3;1;80;52;2; ; ; ;2; ;2; ;1;1; ;2; ;1;06;52;118,650315115506
3486815;1;4;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;52;118,650315115506
3486819;1;3;1;80;52;1;1;8; ;2; ;2; ; ; ; ;1;2;1;06;52;177,180556547634
3486822;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;52;204,12827518705
3486823;1;2;1;80;52;1;2;3; ;2; ;2; ; ; ; ;9;2;1;06;52;204,12827518705
3486824;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;52;128,077872308817
3486824;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;128,077872308817
3486825;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;8;2;1;06;52;160,286348890379
3486826;1;1;1;80;52;1;4;1; ;2; ;2; ; ; ; ;4;2;1;06;52;128,077872308817
3486826;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;128,077872308817
3486828;1;2;1;80;52;1;1;3; ;2; ;2; ; ; ;EMBARAZO DE ALTO RIESGO;12;2;1;06;52;180,916186160797
3486829;1;2;1;80;52;1;2;3; ;2; ;2; ; ; ; ;9;2;1;06;52;204,12827518705
3486831;1;2;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;52;200,48984851341
3486842;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;218,664111649155
3486843;1;1;1;80;50;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;50;155,118005168876
3486843;1;2;1;80;50;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;50;155,118005168876
3486843;1;3;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;155,118005168876
3486844;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;235,703815938696
3486845;1;2;1;80;50;1;1;9;CAMBIO DE CIUDAD;2; ;2; ; ; ; ;9;2;1;06;50;225,136090536712
3486845;1;4;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;225,136090536712
3486847;1;3;1;80;50;1;1;3; ;2; ;2; ; ; ; ;9;2;1;06;50;226,882899859235
3486850;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;192,851902174858
3486871;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;17;180,865088229653
3486872;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;308,597164402772
3486872;1;2;1;80;17;1;4;8; ;2; ;2; ; ; ; ;9;2;1;06;17;308,597164402772
3486873;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;11;2;1;06;17;144,095695591149
3486873;1;2;1;80;17;1;4;5; ;2; ;2; ; ; ; ;8;2;1;06;17;144,095695591149
3486874;1;1;1;80;17;2; ; ; ;2; ;2; ;1;2; ;4; ;1;06;17;180,906256053801
3486875;1;2;1;80;17;1;2;8; ;2; ;2; ; ; ; ;9;2;1;06;17;189,976047944795
3486876;1;3;1;80;17;1;3;2; ;2; ;2; ; ; ; ;2;2;1;06;17;151,141220555619
3486879;1;1;1;80;17;1;3;2; ;2; ;2; ; ; ; ;2;2;1;06;17;211,609380759582
3486879;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;211,609380759582
3486880;1;1;1;80;17;1;4;3; ;3; ;2; ; ; ; ;9;2;1;06;17;191,037640624839
3486881;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;17;162,81553492994
3486881;1;4;1;80;17;1;4;8; ;2; ;2; ; ; ; ;1;2;1;06;17;162,81553492994
3486882;1;2;1;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;06;17;216,087795185057
3486882;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;17;216,087795185057
3486883;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;17;171,256208606004
3486885;1;1;1;80;17;1;4;4; ;3; ;2; ; ; ; ;4;2;1;06;17;283,144728269131
3486885;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;283,144728269131
3486887;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;9;2;1;06;17;154,683877057788
3486889;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;17;244,353857034088
3486889;1;4;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;17;244,353857034088
3486889;1;6;1;80;17;2; ; ; ;2; ;2; ;1;1; ;6; ;1;06;17;244,353857034088
3486891;1;1;1;80;17;1;4;6; ;2; ;2; ; ; ; ;8;2;1;06;17;108,227302702287
3486891;1;2;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;17;108,227302702287
3486891;1;3;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;17;108,227302702287
3486891;1;4;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;17;108,227302702287
3486893;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;200,058894410103
3486898;1;1;1;80;17;2; ; ; ;3; ;2; ;1;4; ;10; ;1;06;17;197,352279331419
3486898;1;2;1;80;17;1;4;5; ;3; ;2; ; ; ; ;11;2;1;06;17;197,352279331419
3486899;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;11;2;1;06;17;167,72262876976
3486899;1;2;1;80;17;1;4;5; ;3; ;2; ; ; ; ;9;2;1;06;17;167,72262876976
3486899;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;167,72262876976
3486901;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;11;2;1;06;17;155,512108132217
3486903;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;181,885513085548
