Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3496216;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3303,92115071024
3496216;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;3303,92115071024
3496216;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;3303,92115071024
3496216;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;3303,92115071024
3496217;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2567,8494811801
3496218;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2176,05374093663
3496219;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;1943,57338307691
3496221;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2899,51391313259
3496222;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2202,67857960012
3496222;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;2202,67857960012
3496222;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;2202,67857960012
3496228;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2523,42362947558
3496228;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;2523,42362947558
3496228;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;2523,42362947558
3496230;1;1;1;80;2;1;1;5; ;3; ;2; ; ; ; ;10;2;1;06;13;1403,03356264776
3496231;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;13;927,624176710575
3496231;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;927,624176710575
3496231;1;4;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;13;927,624176710575
3496231;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;927,624176710575
3496232;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;1181,22359077275
3496232;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;1181,22359077275
3496234;1;1;1;80;2;1;2;7; ;2; ;2; ; ; ; ;9;2;1;06;13;1209,68278382623
3496235;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;1612,96481224936
3496235;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;1612,96481224936
3496236;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2351,07100809839
3496237;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3040,79147208802
3496238;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2327,62108671073
3496239;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3044,76081774973
3496240;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2692,12045548037
3496240;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;2692,12045548037
3496240;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;2692,12045548037
3496241;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2445,44872427851
3496242;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;06;13;2445,44872427851
3496243;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;13;3316,07191082325
3496243;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;3316,07191082325
3496243;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;3316,07191082325
3496259;1;1;1;80;2;1;3;4; ;1;1;2; ; ; ; ;4;2;1;06;13;1194,26928745102
3496259;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;1194,26928745102
3496260;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;1597,63051957323
3496260;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;1597,63051957323
3496261;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;1086,87947505169
3496390;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;1210,33268636352
3496390;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;1210,33268636352
3496393;1;1;1;80;2;1;4;9;DEDICARSE A DESCANSAR;2; ;2; ; ; ; ;9;2;1;06;50;884,189762339419
3496393;1;2;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;50;884,189762339419
3496394;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;50;1107,70853152065
3496394;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;1107,70853152065
3496395;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;06;50;934,328132479476
3496396;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;1458,57615677097
3496396;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;1458,57615677097
3496396;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;1458,57615677097
3496397;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;1164,80598430352
3496398;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;4;2;1;06;50;546,340085711692
3496398;1;3;1;80;2;1;3;4; ;3; ;2; ; ; ; ;4;2;1;06;50;546,340085711692
3496399;1;2;1;80;2;1;1;8; ;2; ;1;98; ; ; ;9;2;1;06;50;1458,02847932708
3496399;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;1458,02847932708
3496399;1;5;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;06;50;1458,02847932708
3496401;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;1044,73022313129
3499414;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;2585,57206802128
3499414;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;2585,57206802128
3499414;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;2585,57206802128
3499416;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;05;2458,05368495967
3499416;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;05;2458,05368495967
3499417;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;05;3526,33973229926
3499417;1;2;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;05;3526,33973229926
3499420;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3288,88062072996
3499420;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3288,88062072996
3499421;1;4;1;80;2;1;2;6; ;2; ;2; ; ; ; ;1;2;1;06;05;4338,29294856643
3499422;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3148,9305115991
3499422;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3148,9305115991
3499443;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3221,25995480227
3499443;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3221,25995480227
3499444;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3530,47728162472
3499446;1;1;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;06;05;2961,46495202321
3499459;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;2684,85837575339
3499459;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;2684,85837575339
3499460;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3996,43020601206
3499461;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;05;3262,66389317883
3499461;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3262,66389317883
3499462;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3376,39727475856
3499463;1;2;1;80;2;1;3;8; ;2; ;2; ; ; ; ;1;2;1;06;05;3271,33157140776
3499463;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3271,33157140776
3499463;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3271,33157140776
3499471;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;05;3820,67690575134
3499471;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3820,67690575134
3499471;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3820,67690575134
3499471;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3820,67690575134
3499471;1;6;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3820,67690575134
3499472;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;06;05;3996,43020601206
3499474;1;2;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3188,26964281693
3499476;1;1;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;06;05;3998,4302538118
3499476;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3998,4302538118
3499476;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3998,4302538118
3499477;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3521,80960339579
3499478;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;05;3616,88348378619
3499478;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3616,88348378619
3499478;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3616,88348378619
3499480;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;1114,96644999555
3499481;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;1236,26154155612
3499500;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;06;05;3771,62556301808
3499500;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3771,62556301808
3499501;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;655,43682359738
3499501;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;655,43682359738
3499504;1;2;1;80;2;1;1;6; ;2; ;2; ; ; ; ;9;2;1;06;05;983,24867190886
3499521;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;05;3853,01792517457
3499521;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3853,01792517457
3499521;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3853,01792517457
3499522;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3996,43020601206
3499523;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3730,61686536592
3499523;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3730,61686536592
3499525;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;06;05;3507,01763329475
3499525;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3507,01763329475
3499525;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3507,01763329475
3499526;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;06;05;3843,68817457991
3499526;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3843,68817457991
3499526;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3843,68817457991
3499526;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;3843,68817457991
3499526;1;6;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;3843,68817457991
3499532;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;1329,77692269243
3499533;1;2;1;80;2;1;4;9;POR CAMBIO DE RECIDENCIA;2; ;2; ; ; ; ;9;2;1;06;05;1274,49623297805
3499533;1;5;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;06;05;1274,49623297805
