DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4513824;1;1;1;70;05;6;48;1; ;2;6;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737700;3; ;37;37;17;1;1;1749;01;05;1390,39311554381
4513824;1;2;1;70;05;3;48;1; ;2;152;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;54;45;55;1;1;5529;01;05;1390,39311554381
4513828;1;3;1;70;05;16;48;1; ;2;16;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;59;59;85;1;2;8511;01;05;1100,338929277
4513831;1;3;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737700; ; ;21; ; ;1;1; ;01;05;1042,77845153537
4513832;1;2;1;70;05;20;48;1; ;2;20;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;44;33;92;1;2;9249;01;05;1121,9145850716
4513835;1;3;1;70;05;54;24;1; ;2;4;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;60000;781242;2; ;03;54;95;1;2;9500;01;05;1000,96522691747
4513838;1;2;1;70;05;1;48;1; ;2;10;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;53;55;1;1;5521;01;05;1387,0744537118
4513840;1;2;1;70;05;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;59;59;85;1;2;8511;01;05;1265,41441952375
4513841;1;5;1;70;05;2;48;1; ;2;6;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;1;100000;783000;2; ;38;97;15;1;1;1521;01;05;1086,35836136302
4513845;1;1;1;70;05;12;48;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;54;54;95;1;1;9500;01;05;997,64656508546
4513848;1;2;1;70;05;52;48;1; ;2;94;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;45;52;1;2;5241;01;05;1246,33550404011
4513858;1;1;1;70;05;52;48;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737700;3; ;53;53;55;1;2;5529;01;05;1120,36260844934
4513860;1;2;1;70;05;2;48;4; ;2;4;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;98;98;1;2;13;13;80;1;1;8060;01;05;1266,12509555767
4513860;1;3;1;70;05;104;48;1; ;2;24;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;45;45;74;1;2;7430;01;05;1266,12509555767
4513862;1;3;1;70;05;5;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737700; ; ;45; ; ;1;1; ;01;05;1226,82161177863
4513865;1;1;1;70;05;3;48;1; ;2;20;4; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;3000000;1;1;02;02;74;1;1;7421;01;05;1240,87485671036
4513865;1;3;1;70;05;2;48;1; ;2;3;4; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;1;4500000;3000000;1;1;02;02;74;1;1;7421;01;05;1240,87485671036
4513877;1;1;1;70;05;4;48;4; ;2;4;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;2500000;3000000;1;2;08;08;75;1;1;7512;01;05;1387,0744537118
4513878;1;3;1;70;05;1;60;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;80;80;19;1;1;1929;01;05;1296,318649877
4513881;1;2;1;70;05;192;48;1; ;2;192;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;19;38;74;1;2;7499;01;05;1282,24010402252
