DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4519617;1;2;1;80;2;1;2;6; ;2; ; ;9; ;2; ;2; ;1;40;400000;2;1;01;23;1281,18604402955
4519617;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;23;1281,18604402955
4519617;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;23;1281,18604402955
4519620;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;23;1906,45973765341
4519620;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;23;1906,45973765341
4519620;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;23;1906,45973765341
4519621;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;23;1020,76549158628
4519621;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;23;1020,76549158628
4519623;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;23;695,013493045479
4519676;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;23;2210,78353643703
4519676;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;23;2210,78353643703
4519677;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;23;1595,82039763258
4519680;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;400000;2;1;01;23;1602,75175095012
4519680;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;23;1602,75175095012
4519680;1;7;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;23;1602,75175095012
4519681;1;1;1;80;2;1;3;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;23;2465,88630033992
4519682;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;23;2681,32183905493
4519682;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;23;2681,32183905493
