DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
4519616;1;4;3;2;1;4;4;1;5;1; ; ;6000000;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;5;2; ;1;1;5;1;2; ;2;2;2; ;2; ;01;2;01;23;1620,90395177673
4519617;1;1;1;6; ;4;3;1;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;1;5;1;2; ;2;2;2; ;2; ;01;2;01;23;1281,18604402955
4519618;1;2;1;6; ;4;4;1;5;1; ; ;700000;70000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;5;1;2; ;2;2;2; ;2; ;01;2;01;23;1461,88560216618
4519619;1;5;1;2;1;3;4;1;5;1; ; ;20000000;200000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;5;1;2; ;2;2;2; ;2; ;01;2;01;23;738,597172041598
4519620;1;4;4;2;1;4;4;1;5;4; ; ; ;70000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;8;2; ;1;1;5;2;2; ;2;2;2; ;2; ;01;2;01;23;1906,45973765341
4519621;1;4;2;2;2;4;6;5;5;1; ; ;99;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;1;1;1;2; ;2;2;2; ;2; ;01;2;01;23;1020,76549158628
4519621;2;1;1;2;2;4;6;6; ;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;2;1;1;1;2; ;2;2;2; ;2; ;01;2;01;23;1020,76549158628
4519622;1;2;1;2;1;3;4;5;5;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;5;1;2; ;2;2;2; ;2; ;01;2;01;23;1592,16265610874
4519623;1;3;2;2;1;4;4;1;5;1; ; ;5500000;80000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;5;1;2; ;2;2;2; ;2; ;01;2;01;23;695,013493045479
4519675;1;2;1;6; ;4;1;5;4;1; ; ;4000000;100000; ;2;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;1;1;4;2; ;1;1;7;1;1;1;2;2;2; ;1;2;01;2;01;23;2119,86836194015
4519676;1;3;2;6; ;4;1;1;5;1; ; ;4000000;30000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;2;4;2; ;1;1;5;1;1;1;2;2;2; ;1;2;01;2;01;23;2210,78353643703
4519677;1;3;2;6; ;4;1;5;5;4; ; ; ;80000; ;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;1;2;1;1;4;1;1;1;2;2;2; ;1;2;01;2;01;23;1595,82039763258
4519678;1;3;2;2;1;4;1;1;5;4; ; ; ;50000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;1;4;1;1;1;2;2;2; ;1;2;01;2;01;23;2003,19601844228
