DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011;AREA
4513824;1;3;1;80;1;1;4;6; ;2; ; ;4; ;2; ;2; ;2; ;500000;2;1;01;05;1390,39311554381;05
4513824;1;4;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;05;1390,39311554381;05
4513825;1;1;1;80;1;1;4;1; ;1; ;4;6; ;1; ;2; ; ; ; ;2;1;01;05;1201,47931684628;05
4513825;1;3;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;1201,47931684628;05
4513830;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1329,51397597017;05
4513831;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1042,77845153537;05
4513831;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1042,77845153537;05
4513834;1;2;1;80;1;1;4;8; ;1; ;1;9; ;2; ;2; ;2; ;781200;2;1;01;05;1100,338929277;05
4513836;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;737717;2;1;01;05;1427,88192397241;05
4513837;1;2;1;80;1;1;4;3; ;2; ; ;9; ;1; ;2; ; ; ; ;2;1;01;05;1185,00838716073;05
4513839;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1120,36260844934;05
4513841;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1086,35836136302;05
4513841;1;4;1;80;1;1;4;1; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;05;1086,35836136302;05
4513842;1;1;1;80;1;1;4;1; ;1; ;4;8; ;2; ;2; ; ; ; ;2;1;01;05;1185,00838716073;05
4513842;1;2;1;80;1;1;4;5; ;1; ;4;8; ;3; ;2; ; ; ; ;3;1;01;05;1185,00838716073;05
4513844;1;1;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;05;1015,88417998076;05
4513846;1;3;1;80;1;1;1;8; ;2; ; ;2; ;2; ;1;80000;1;40;737717;2;1;01;05;1181,09971645324;05
4513849;1;1;1;80;1;1;1;6; ;2; ; ;6; ;2; ;2; ;1;16;200000;2;1;01;05;1281,09231809549;05
4513850;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1100,41160629475;05
4513850;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1100,41160629475;05
4513851;1;2;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;48;98;2;1;01;05;1121,9145850716;05
4513855;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;1;400000;2; ;781200;2;1;01;05;1732,90333277705;05
4513857;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;959,875678861391;05
4513857;1;5;1;80;1;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;05;959,875678861391;05
4513859;1;1;1;80;1;1;4;3; ;2; ; ;9; ;1;2;2; ;1;48;737000;1;1;01;05;1266,12509555767;05
4513859;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;48;1100000;2;1;01;05;1266,12509555767;05
4513859;1;3;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1266,12509555767;05
4513860;1;1;1;80;1;1;3;5; ;1; ;3;12;BAJO SALARIO;3; ;2; ; ; ; ;3;1;01;05;1266,12509555767;05
4513861;1;2;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;01;05;1124,12924758709;05
4513863;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;48;800000;2;1;01;05;1226,82161177863;05
4513864;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;48;800000;2;1;01;05;1181,09971645324;05
4513864;1;3;1;80;1;1;2;2; ;2; ; ;2; ;2; ;2; ;2; ;900000;2;1;01;05;1181,09971645324;05
4513866;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1120,36260844934;05
4513867;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;1185,00838716073;05
4513867;1;2;1;80;1;1;4;4; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;1185,00838716073;05
4513868;1;1;1;80;1;1;3;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;01;05;1223,05497264088;05
