DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4682995;1;1;1;80;05;1;1;4;5; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;08;05;959,461409515687
4682995;1;2;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;05;959,461409515687
4682998;1;2;1;80;05;1;1;1;6; ;2; ; ;5; ;1; ;2; ;1;48;781242;2;1;08;05;1200,27850339878
4682998;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08;05;1200,27850339878
4682999;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;08;05;1010,29793928045
4682999;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;05;1010,29793928045
4683000;1;1;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;08;05;1131,30276427529
4683001;1;1;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;08;05;1001,89959340016
4683002;1;1;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;05;1010,29793928045
4683002;1;2;1;80;05;1;1;4;3; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;08;05;1010,29793928045
4683003;1;2;1;80;05;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;48;781242;2;1;08;05;1877,76963500821
4683005;1;1;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;1;550000; ; ; ;2;1;08;05;1658,98395399383
4683007;1;1;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;05;870,46576122387
