DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4682994;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1158,83932886577
4682994;1;2;1;50;05;1; ; ;2;6;INCAPACITADO POR ENFERMO;2;1; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1158,83932886577
4682994;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1158,83932886577
4682995;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;959,461409515687
4682995;1;2;1;50;05;1; ; ;2;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;959,461409515687
4682995;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;959,461409515687
4682995;1;4;1;50;05;1;2; ;4;3; ;2;2;2;1; ; ; ; ; ; ; ;1;08; ;1;05;959,461409515687
4682996;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1057,18750230685
4682997;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;936,182677312015
4682997;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;936,182677312015
4682998;1;1;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1200,27850339878
4682998;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;6; ;1;2; ; ; ;08;1;1;05;1200,27850339878
4682998;1;3;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;1200,27850339878
4682998;1;5;1;50;05;1; ; ;5;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1200,27850339878
4682999;1;1;1;50;05;1; ; ;1;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;1010,29793928045
4682999;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;1010,29793928045
4683000;1;1;1;50;05;1; ; ;1;6;PASEAR;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;1131,30276427529
4683001;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;1001,89959340016
4683002;1;1;1;50;05;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;1010,29793928045
4683002;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;1010,29793928045
4683003;1;1;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1877,76963500821
4683003;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;9; ; ; ; ; ; ;08;2;1;05;1877,76963500821
4683003;1;3;1;50;05;1;1; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;08; ;1;05;1877,76963500821
4683003;1;6;1;50;05;1; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1877,76963500821
4683004;1;1;1;50;05;1; ; ;1;6;DESCANSAR;1; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1131,30276427529
4683005;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;1658,98395399383
4683005;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1658,98395399383
4683006;1;1;1;50;05;1; ; ;1;6;VER TELEVISION;2;1; ; ; ; ; ; ; ; ; ; ;08; ;1;05;1131,30276427529
4683007;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08; ;1;05;870,46576122387
4683007;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08; ;1;05;870,46576122387
