DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4687881;1;1;1;10;1;1;4;1958;60;1;2;2; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;23;1228,19294043391
4687881;1;2;1;10;2;2;1;1963;55;2;2;2; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;08;23;1228,19294043391
4687881;1;3;1;10;1;1;11;2009;8;4; ;2; ;2; ; ; ;1; ; ;1;5; ;2;1;1;1;3;1; ; ;2;1;08;23;1228,19294043391
4687881;1;4;1;10;4;1;8;1984;34;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;08;23;1228,19294043391
4687881;1;5;1;10;5;2;8;1974;44;8;4;2; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;23;1228,19294043391
4687882;1;1;1;10;1;1;12;1960;57;1;2;2; ;3; ;2; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;08;23;2118,48537502948
4687882;1;2;1;10;2;1;7;2001;17;8;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;08;23;2118,48537502948
4687883;1;1;1;10;1;2;5;1958;60;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;23;1395,92823157888
4687883;1;2;1;10;2;1;2;1956;62;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;08;23;1395,92823157888
4687884;1;1;1;10;1;2;11;1948;69;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;23;1279,8480103176
4687884;1;2;1;10;2;1;11;1948;69;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;23;1279,8480103176
4687884;1;3;1;10;3;1;1;1981;37;3;4;1;2;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;08;23;1279,8480103176
4687884;1;4;1;10;4;2;1;1989;29;3;4;1;2;1;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;23;1279,8480103176
4687884;1;5;1;10;5;1;6;1994;24;3;4;1;2;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;08;23;1279,8480103176
4687885;1;1;1;10;1;2;5;1968;50;1;4;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;23;3232,89847333325
4687885;1;2;1;10;2;1;2;2000;18;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;08;23;3232,89847333325
4687885;1;3;1;10;1;2;2;2005;13;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;23;3232,89847333325
4687885;2;1;2;10;1;1;10;1978;39;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;23;3232,89847333325
4687885;2;2;2;10;2;2;5;1985;33;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;23;3232,89847333325
4687885;2;3;2;10;2;1;12;2006;11;3;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;08;23;3232,89847333325
4687885;2;4;2;10;2;1;5;2009;9;3; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;08;23;3232,89847333325
4687885;2;5;2;10;2;1;3;2012;6;3; ;2; ;1;2; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;08;23;3232,89847333325
4687885;2;6;2;10;2;1;12;2016;1;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;08;23;3232,89847333325
4687886;1;1;1;10;1;1;11;1954;63;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;23;1663,33519989647
4687887;1;1;1;10;1;2;12;1977;40;1;4;2; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;08;23;2250,30006209037
4687887;1;2;1;10;2;2;7;1997;21;3;4;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;08;23;2250,30006209037
4687887;1;3;1;10;2;1;10;2016;1;4; ;2; ;1;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;08;23;2250,30006209037
4687888;1;1;1;10;1;1;8;1936;81;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;23;1395,92823157888
4687888;1;2;1;10;2;2;3;1959;59;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;23;1395,92823157888
4687889;1;1;1;10;1;2;9;1994;23;1;4;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;08;23;3483,18312313285
4687889;1;2;1;10;1;1;9;2011;6;3; ;2; ;1;1; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;08;23;3483,18312313285
4687889;1;3;1;10;1;2;6;2014;4;3; ;2; ;1;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;23;3483,18312313285
4691108;1;1;1;10;1;1;7;1972;46;1;3;2; ;2; ;1;2;1; ; ;2;2;120000;2;1;2; ;5;11;2; ;2;11;08;66;721,180499199311
4691108;1;2;1;10;2;2;2;1974;44;2;3;2; ;2; ;1;1;1; ; ;2;5; ;2;1;2; ;4;8; ; ;2;8;08;66;721,180499199311
4691108;1;3;1;10;3;2;9;2004;13;3;6;1;1;1;2; ; ;1; ; ;2;5; ;2;1;1;1;4;7; ; ;2;7;08;66;721,180499199311
4691108;1;4;1;10;4;2;7;2008;10;3;6;1;1;1;2; ; ;1; ; ;2;5; ;2;1;1;1;4;7; ; ;2;7;08;66;721,180499199311
4691109;1;1;1;10;1;2;3;1967;51;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;08;66;1093,53978212556
4691109;1;2;1;10;2;2;5;1993;25;3;4;3; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;1093,53978212556
4691109;1;3;1;10;1;2;5;2012;6;4; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;0; ; ;2;0;08;66;1093,53978212556
4691110;1;1;1;10;1;2;12;1968;49;1;4;3; ;2; ; ; ;2;1;12; ; ; ;2;1;2; ;3;5; ; ;2;5;08;66;1972,16276717951
4691110;1;2;1;10;1;1;5;2008;10;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;08;66;1972,16276717951
4691110;1;3;1;10;3;1;2;1994;24;3;2;2; ;1;1;1;4;2;1;60; ; ; ;2;1;2; ;4;8; ; ;2;8;08;66;1972,16276717951
4691110;1;4;1;10;4;2;8;1996;21;5;2;2; ;2; ;1;3;1; ; ;1;5; ;2;1;2; ;4;7; ; ;2;7;08;66;1972,16276717951
4691110;1;5;1;10;4;2;10;2015;2;4; ;1;3;1;4; ; ;2;1;12; ; ; ;2; ; ; ; ; ; ; ;2; ;08;66;1972,16276717951
4691111;1;1;1;10;1;2;2;1956;62;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;1390,98187693681
4691111;1;2;1;10;2;2;3;1952;66;5;5;3; ;3; ; ; ;1; ; ;1;2;93749;2;1;2; ;5;11;2; ;2;11;08;66;1390,98187693681
4691112;1;1;1;10;1;1;4;1949;69;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;721,180499199311
4691112;1;2;1;10;2;2;2;1953;65;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;66;721,180499199311
4691112;1;3;1;10;3;2;3;2007;11;4;6;2; ;3; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;08;66;721,180499199311
4691112;1;4;1;10;2;1;11;1935;82;9;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;721,180499199311
4691113;1;1;1;10;1;1;4;1946;72;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;66;1013,32573254232
4691113;1;2;1;10;2;2;10;1949;68;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;08;66;1013,32573254232
4691114;1;1;1;10;1;1;10;1983;34;1;3;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;1951,74625848946
4691114;1;2;1;10;2;2;12;1990;27;2;3;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;08;66;1951,74625848946
4691114;1;3;1;10;3;1;4;2006;12;3;6;1;1;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;08;66;1951,74625848946
4691114;1;4;1;10;2;2;5;2014;4;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;1951,74625848946
4691115;1;1;1;10;1;2;9;1959;58;1;4;3; ;3; ; ; ;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;08;66;1717,64145741265
4691115;1;2;1;10;2;1;11;2004;13;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;08;66;1717,64145741265
4691116;1;1;1;10;1;1;8;1989;29;1;2;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;2636,82854497348
4691116;1;2;1;10;2;2;6;1994;24;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;6;3;3; ;2;14;08;66;2636,82854497348
4691116;1;3;1;10;2;2;2;2013;5;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;08;66;2636,82854497348
4691116;1;4;1;10;2;2;7;2016;2;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;08;66;2636,82854497348
4691117;1;1;1;10;1;1;2;1960;58;1;3;2; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;1347,49055623181
4691117;1;2;1;10;2;2;2;1962;56;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;1347,49055623181
4691117;1;3;1;10;2;1;8;1985;33;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;1347,49055623181
4691117;1;4;1;10;2;2;11;2008;9;4; ;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;08;66;1347,49055623181
4691117;1;5;1;10;5;1;6;1957;61;5;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;66;1347,49055623181
4691118;1;1;1;10;1;2;5;1970;48;1;3;3; ;2; ;1;2;2;1;9; ; ; ;1;1;2; ;3;5; ; ;2;5;08;66;1485,02292014097
4691118;1;2;1;10;2;1;10;1971;46;2;3;3; ;2; ;1;1;2;1;9; ; ; ;1;1;2; ;3;5; ; ;2;5;08;66;1485,02292014097
4691118;1;3;1;10;3;1;12;1989;28;3;2;2; ;1;1;1;4;2;2; ; ; ; ;1;1;2; ;4;7; ; ;2;7;08;66;1485,02292014097
4691118;1;4;1;10;4;2;5;2000;18;5;2;2; ;2; ;1;3;2;2; ; ; ; ;2;1;2; ;4;9; ; ;2;9;08;66;1485,02292014097
4691118;1;5;1;10;2;1;10;2017;0;4; ;2; ;2; ; ; ;2;1;3; ; ; ;1; ; ; ; ; ; ; ;2; ;08;66;1485,02292014097
4691119;1;1;1;10;1;1;8;1974;44;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;989,964554919694
4691119;1;2;1;10;2;2;11;1980;37;2;3;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;989,964554919694
4691119;1;3;1;10;2;1;2;2004;14;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;08;66;989,964554919694
4691119;1;4;1;10;2;2;11;2007;10;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;08;66;989,964554919694
4691120;1;1;1;10;1;1;8;1965;53;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;1444,81260581771
4691120;1;2;1;10;2;2;10;1957;60;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;1444,81260581771
4691121;1;1;1;10;1;1;11;1948;69;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;1013,32573254232
4691121;1;2;1;10;2;2;12;1955;62;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;1013,32573254232
4691123;1;1;1;10;1;2;1;1942;76;1;5;3; ;3; ; ; ;1; ; ;1;5; ;1;1;2; ;4;8; ; ;2;8;08;66;1444,81260581771
4691123;1;2;1;10;2;1;3;1972;46;3;6;3; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;1444,81260581771
4691124;1;1;1;10;1;2;2;1962;56;1;5;3; ;3; ; ; ;1; ; ;1;2;93749;2;1;2; ;4;8; ; ;2;8;08;66;1717,64145741265
4691124;1;2;1;10;1;1;12;2001;16;3;6;3; ;1;1; ; ;1; ; ;1;5; ;2;1;1;1;5;10;1; ;2;10;08;66;1717,64145741265
4691125;1;1;1;10;1;2;5;1962;56;1;4;2; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;08;66;721,180499199311
4691125;1;2;1;10;2;2;2;1984;34;3;6;2; ;1;1; ; ;1; ; ;1;1;31250;2;1;2; ;5;11;2; ;2;11;08;66;721,180499199311
4691125;1;3;1;10;3;2;3;2000;18;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;721,180499199311
4691126;1;1;1;10;1;1;9;1951;66;1;3;3; ;2; ;1;2;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;08;66;1013,32573254232
4691126;1;2;1;10;2;2;3;1953;65;2;3;3; ;3; ;1;1;1; ; ;1;2;93780;2;1;2; ;4;9; ; ;2;9;08;66;1013,32573254232
4691127;1;1;1;10;1;1;7;1974;44;1;3;3; ;3; ;1;2;1; ; ;1;1;32000;2;1;2; ;5;11;2; ;2;11;08;66;2360,1455994094
4691127;1;2;1;10;2;2;3;1989;29;2;3;3; ;3; ;1;1;1; ; ;1;5; ;2;1;1;2;6;1;2;2;2;12;08;66;2360,1455994094
4691127;1;3;1;10;2;2;8;2008;9;3; ;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;3;4; ; ;2;4;08;66;2360,1455994094
4691127;1;4;1;10;2;2;2;2010;8;3; ;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;3;2; ; ;2;2;08;66;2360,1455994094
4691128;1;1;1;10;1;1;2;1986;32;1;6;3; ;3; ; ; ;1; ; ;1;1;48000;2;1;2; ;6;3;3; ;2;14;08;66;1498,64333469862
4691128;1;2;1;10;2;1;1;1991;27;5;6;3; ;3; ; ; ;1; ; ;1;3;97700;2;1;2; ;3;5; ; ;2;5;08;66;1498,64333469862
4691129;1;1;1;10;1;1;1;1986;32;1;1;2; ;2; ;1;2;1; ; ;1;1;31250;2;1;2; ;4;7; ; ;2;7;08;66;941,40687807965
4691129;1;2;1;10;2;2;3;1993;25;2;1;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;941,40687807965
4691130;1;1;1;10;1;2;5;1975;43;1;5;2; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;961,823386769694
4691130;1;2;1;10;2;2;4;1997;21;3;6;3; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;6;2;3; ;2;13;08;66;961,823386769694
4691130;1;3;1;10;3;1;7;2000;18;3;6;3; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;08;66;961,823386769694
4691131;1;1;1;10;1;1;1;1961;57;1;3;2; ;3; ;1;2;1; ; ;1;2;93749;2;1;2; ;3;3; ; ;2;3;08;66;721,180499199311
4691131;1;2;1;10;2;2;1;1965;53;2;3;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;08;66;721,180499199311
4691131;1;3;1;10;3;1;7;1985;33;3;6;1;1;1;2; ; ;1; ; ;2;1;60000;2;1;2; ;6;5;4; ;2;16;08;66;721,180499199311
4691131;1;4;1;10;4;2;7;1988;30;3;6;1;1;1;2; ; ;1; ; ;1;3;97655;2;1;2; ;6;2;3; ;2;13;08;66;721,180499199311
4691132;1;1;1;10;1;1;4;1957;61;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;1039,01529327323
4691133;1;1;1;10;1;1;3;1977;41;1;4;2; ;3; ; ; ;1; ; ;1;1;400000;2;1;2; ;3;5; ; ;2;5;08;66;1470,50216654862
4691134;1;1;1;10;1;2;9;1992;25;1;2;2; ;2; ;1;2;1; ; ;1;5; ;2;1;2; ;4;9; ; ;2;9;08;66;2418,66345556074
4691134;1;2;1;10;2;1;5;1970;48;2;2;3; ;2; ;1;1;1; ; ;1;1;60000;2;1;2; ;5;11;2; ;2;11;08;66;2418,66345556074
4691134;1;3;1;10;1;1;8;2011;7;3; ;1;2;1;1; ; ;1; ; ;1;5; ;2;1;1;1;3;1; ; ;2;1;08;66;2418,66345556074
4691134;1;4;1;10;1;2;11;2016;1;3; ;1;2;1;1; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ;2; ;08;66;2418,66345556074
4691135;1;1;1;10;1;1;4;1978;40;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;08;66;1456,88175199097
4691135;1;2;1;10;2;2;11;1982;35;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;08;66;1456,88175199097
4691135;1;3;1;10;2;2;8;2005;12;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;08;66;1456,88175199097
4691135;1;4;1;10;2;1;8;2011;6;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;0; ; ;2;0;08;66;1456,88175199097
4691137;1;1;1;10;1;2;11;1979;38;1;2;2; ;2; ;1;2;2;1;10; ; ; ;2;1;2; ;4;9; ; ;2;9;08;66;721,180499199311
4691137;1;2;1;10;2;1;9;1964;53;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;721,180499199311
4691137;1;3;1;10;1;2;10;2001;16;3;6;1;2;1;1; ; ;2;1;10; ; ; ;2;1;1;1;4;8; ; ;2;8;08;66;721,180499199311
4691137;1;4;1;10;1;2;2;2006;12;3;6;1;2;1;1; ; ;2;1;10; ; ; ;2;1;1;1;4;0; ; ;2;5;08;66;721,180499199311
4691138;1;1;1;10;1;1;11;1945;72;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;66;721,180499199311
4691138;1;2;1;10;1;2;9;1973;44;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;721,180499199311
4691139;1;1;1;10;1;1;2;1939;79;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;1067,15646142323
4691139;1;2;1;10;2;1;7;1993;25;3;6;1;1;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;66;1067,15646142323
4691140;1;1;1;10;1;1;4;1985;33;1;3;2; ;2; ;1;2;1; ; ;1;1;31250;2;1;2; ;4;6; ; ;2;6;08;66;1290,93457466463
4691140;1;2;1;10;2;2;5;1980;38;2;3;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;4;7; ; ;2;7;08;66;1290,93457466463
4691140;1;3;1;10;3;1;5;2001;17;3;6;2; ;1;2; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;08;66;1290,93457466463
4691140;1;4;1;10;4;1;5;2003;15;3;6;2; ;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;9; ; ;2;9;08;66;1290,93457466463
4691140;1;5;1;10;5;2;12;2006;11;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;0; ; ;2;5;08;66;1290,93457466463
4691141;1;1;1;10;1;1;9;1947;70;1;3;3; ;3; ;2; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;66;1013,32573254232
4691141;1;2;1;10;1;2;12;1956;61;5;4;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;1013,32573254232
4691142;1;1;1;10;1;1;7;1972;46;1;2;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;08;66;1709,29409489587
4691142;1;2;1;10;2;2;1;1973;45;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;08;66;1709,29409489587
4691142;1;3;1;10;2;1;2;2011;7;3; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;08;66;1709,29409489587
4691143;1;1;1;10;1;1;5;1956;62;1;3;3; ;3; ;1;2;1; ; ;3; ; ;1;1;2; ;3;3; ; ;2;3;08;66;785,200463818292
4691143;1;2;1;10;2;2;6;1957;61;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;66;785,200463818292
4691143;1;3;1;10;3;2;9;1984;33;3;4;1;1;1;2; ; ;1; ; ;3; ; ;1;1;2; ;5;11;2; ;2;11;08;66;785,200463818292
4691143;1;4;1;10;4;1;10;2003;14;4;6;2; ;1;3; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;785,200463818292
4691144;1;1;1;10;1;1;1;1941;77;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;08;66;1013,32573254232
4691144;1;2;1;10;2;2;8;1960;58;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;66;1013,32573254232
4691145;1;1;1;10;1;1;11;1959;58;1;3;2; ;3; ;1;2;2;1;1; ; ; ;2;1;2; ;4;6; ; ;2;6;08;66;810,890024549199
4691145;1;2;1;10;2;2;3;1970;48;2;3;3; ;3; ;1;1;2;1;1; ; ; ;2;1;2; ;3;5; ; ;2;5;08;66;810,890024549199
4691145;1;3;1;10;3;1;9;2000;17;3;6;1;1;1;2; ; ;2;1;1; ; ; ;2;1;2; ;3;5; ; ;2;5;08;66;810,890024549199
4691146;1;1;1;10;1;1;10;1980;37;1;2;2; ;2; ;1;2;1; ; ;3; ; ;1;1;2; ;3;5; ; ;2;5;08;66;2418,66345556074
4691146;1;2;1;10;2;2;3;1986;32;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;08;66;2418,66345556074
4691146;1;3;1;10;2;2;8;2009;9;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;08;66;2418,66345556074
4691146;1;4;1;10;2;1;10;2010;7;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;08;66;2418,66345556074
4691147;1;1;1;10;1;2;5;1975;43;1;2;2; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;989,964554919694
4691147;1;2;1;10;2;1;9;1971;46;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;08;66;989,964554919694
